reviewId,patternId,lemma,priorReviewState,finalReviewState,editorialScopeTier,editorialScopeDigest,tier2DigestMovedByD31,editorialActorRef,editorialActorHuman,corroboratorRef,corroboratorHuman,decision,reviewedAt,blockingFindingsRecorded,blockingFindingsUnresolved,sourceReviewBasis,referenceVerificationEventsCreated,productApprovalCreated
P7-NR-021,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,rozmawiać,reference-verified,editorial-reviewed,native-linguistic,sha256:e268942eac8dfedde00e5b08dca41da1fa8176e92db5789bd45472d352e6c2ba,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-022,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,rozmawiać,reference-verified,editorial-reviewed,native-linguistic,sha256:65816700a113eafe5ba3012d2863af3c85df4b3e7141674426dbaa918fe51f1c,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-023,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się,reference-verified,editorial-reviewed,native-linguistic,sha256:4481113726c088065a7f0aaeb817216be026cbb9ef9f6fbcb96493875acf5a55,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-024,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,bać się,reference-verified,editorial-reviewed,native-linguistic,sha256:123fc42dcc69d4d997f7d2a64144de8c630105fc1148cb83db73b9ad29fe6c26,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-025,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być,reference-verified,editorial-reviewed,native-linguistic,sha256:5a8c8d36bc1a0031c34e63a7eb3b85f3883cde91936bab66e15a265b01123fe2,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-026,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,znać,reference-verified,editorial-reviewed,native-linguistic,sha256:edf334b37733d060d1dd54713838e57e783a810cad15297ac96340b7f5d20dc2,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-027,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lubić,reference-verified,editorial-reviewed,native-linguistic,sha256:7e69ef7fa90872760b9ea1e37fc0ea176f7576246cd9e9f499b7e9330cdd4ede,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-028,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lubić,reference-verified,editorial-reviewed,native-linguistic,sha256:c3048bd0a53d6c9d079b224769f48d153b90d2f2321ddaf52cf2c4fa348e72ca,yes,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,1,0,"D1 ACCEPT WITH NOTE; blind D2 CHANGES NEEDED; D3 D2 blocker UPHELD, but D2's proposed shipping-card edit was REJECTED; only canonical examples[0].en changes; D3.1 approved correction implemented",0,no
P7-NR-029,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,mówić,reference-verified,editorial-reviewed,native-linguistic,sha256:be4cecd0d8a46882fe783c4bfb11a3eb1c145d0e947bdb04245f6f7fff332012,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-030,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,mówić,reference-verified,editorial-reviewed,native-linguistic,sha256:ffd4265d1bb231c05615399b3830307be9a68fc694f5998a6dd237fef8c27c52,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-031,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,pytać,reference-verified,editorial-reviewed,native-linguistic,sha256:ef4b0d243f3fd50041ac2eb850f3641a99797d71331142449675aa94a7c3c7fc,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-032,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,pytać,reference-verified,editorial-reviewed,native-linguistic,sha256:dca644f3a9f2d8899bb17ae98640de5694447f69b03dd24afbc23081a0423dca,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-033,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,widzieć,reference-verified,editorial-reviewed,native-linguistic,sha256:9c5ab6f466b2e7c1136ce5dd02dd9ea2d4acdb1e5041e496d7d62797cd9fcab1,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-034,vp-p-miec-possess-accusative-object-7181f802bd57,mieć,reference-verified,editorial-reviewed,native-linguistic,sha256:181040f8007f772c44b5b81584fbd9d5744f7fdf4c1785e4b953d36a58f2f128,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-035,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć,reference-verified,editorial-reviewed,native-linguistic,sha256:dcb5046c21990eada062f991521c0d32be745ecec9fb0a91b0d0a7b208f55fc7,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-036,vp-p-znalezc-find-accusative-object-d80c52211462,znaleźć,reference-verified,editorial-reviewed,native-linguistic,sha256:ec1a17385d91e5a7fee8fa6f6f45df96ce6b4a0c32a694eec463a3658546f459,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-037,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się,reference-verified,editorial-reviewed,native-linguistic,sha256:1e9bc9735bade2c87d6594a2f96de2d982b69dcfd6c2238697d2a18564e9e06e,yes,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,1,0,D1 ACCEPT WITH NOTE; blind D2 CHANGES NEEDED; D3 D2 blocker UPHELD; D3.1 approved correction implemented,0,no
P7-NR-038,vp-p-ufac-trust-dative-object-10988adac8cd,ufać,reference-verified,editorial-reviewed,native-linguistic,sha256:024d43b443215b5fd2fc7c25896bd6fe8f6216b723741ecd9ec6e9b60b6b1b92,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-039,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć,reference-verified,editorial-reviewed,native-linguistic,sha256:b982bc9a16702034af3b284c2499ae10cc2fcb54548b2d893b5b8965e21a2f37,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-040,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,wierzyć,reference-verified,editorial-reviewed,native-linguistic,sha256:953624e7dbc93f30127aeb511e4852f532a1fa7a0de194bb9cc0ca5425471e06,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-041,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się,reference-verified,editorial-reviewed,native-linguistic,sha256:441143ff34875fd8c61ddc708a2bff26623991d37618d7eb4993fe522fe68676,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-042,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,zajmować się,reference-verified,editorial-reviewed,native-linguistic,sha256:2d1f19426dcf4b5dcdb57070c968b6ef124ba80ce28f88799ba2c2aaccafa2bd,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-043,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się,reference-verified,editorial-reviewed,native-linguistic,sha256:e594cbae2316369e805b284ff14aa95f485a2d2769c81a3c9cafb38b55f11dbe,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-044,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,zależeć,reference-verified,editorial-reviewed,native-linguistic,sha256:045fea80c132a5055c776ab94e66f531fbf1f7edf1adce1fb12b0304c9e53851,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT; blind D2 ACCEPT; no adjudication required,0,no
P7-NR-045,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,zależeć,reference-verified,editorial-reviewed,native-linguistic,sha256:bf55e1a1ac1c4335a9d2eefcd8503858192c01c9e2cb272d2626e6c79d8cd4b4,no,priority7-editorial-review,false,priority7-editorial-corroboration,false,ACCEPT,2026-08-17,0,0,D1 ACCEPT WITH NOTE; blind D2 ACCEPT; no adjudication required,0,no
