app_lemma,scope,surface_sie_form,card_count,card_ids,levels,standalone_card_count,phrase_card_count,repository_pair_lemmas,direct_match_basis,direct_source_entry_numbers,linked_repository_forms,linked_source_entry_numbers,opposite_reflexivity_collision_entry_numbers,review_flags,method_note,rights_note
czuć,core-A1-B1,false,1,b1-idioms-006,B1,0,1,,source-entry-string-after-conservative-normalization,50,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
czuć się,podcast-only,true,1,podcasts-toxic-productivity-012,Podcasts,0,1,,source-entry-string-after-conservative-normalization,51,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
czytać,core-A1-B1,false,1,a1-free-time-003,A1,1,0,czytać;przeczytać,source-entry-string-after-conservative-normalization,54,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
dbać,core-A1-B1,false,1,b1-healthy-lifestyle-012,B1,0,1,dbać;zadbać,source-entry-string-after-conservative-normalization,60,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
denerwować się,core-A1-B1,true,1,b1-character-emotions-008,B1,1,0,denerwować się;zdenerwować się,source-entry-string-after-conservative-normalization,64,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
gotować,core-A1-B1,false,2,a1-free-time-010;a2-food-shopping-005,A1;A2,2,0,gotować;ugotować,source-entry-string-after-conservative-normalization,128,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
grać,core-A1-B1,false,3,a1-free-time-006;a1-free-time-007;a1-free-time-015,A1,1,2,grać;zagrać,source-entry-string-after-conservative-normalization,129,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
harować,core-A1-B1,false,1,b1-corporate-slang-007,B1,1,0,harować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
interesować się,core-A1-B1,true,1,a2-leisure-culture-002,A2,1,0,interesować się;zainteresować się,source-entry-string-after-conservative-normalization,141,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
inwestować,core-A1-B1,false,2,a2-ecology-026;b1-money-finance-014,A2;B1,2,0,inwestować;zainwestować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
iść,core-A1-B1,false,3,a1-first-verbs-006;a2-directions-orientation-006;a2-nature-animals-021,A1;A2,1,2,iść;pójść,source-entry-string-after-conservative-normalization,143,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
jebać,core-A1-B1,false,1,b1-swearing-023,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
jechać,core-A1-B1,false,1,a1-first-verbs-007,A1,1,0,jechać;pojechać,source-entry-string-after-conservative-normalization,144,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
jeść,core-A1-B1,false,2,a1-morning-routine-012;a1-first-verbs-013,A1,1,1,jeść;zjeść,source-entry-string-after-conservative-normalization,145,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
jeździć,core-A1-B1,false,1,a1-free-time-014,A1,0,1,jeździć,source-entry-string-after-conservative-normalization,146,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kminić,core-A1-B1,false,1,b1-everyday-slang-014,B1,1,0,kminić;rozkminić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kochać,core-A1-B1,false,2,a1-first-verbs-019;b1-relationships-005,A1;B1,2,0,kochać;pokochać,source-entry-string-after-conservative-normalization,162,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kombinować,core-A1-B1,false,1,b1-everyday-slang-018,B1,1,0,kombinować;wykombinować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kosztować,core-A1-B1,false,1,a2-quantities-money-002,A2,1,0,,source-entry-string-after-conservative-normalization,174,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kupować,core-A1-B1,false,3,a1-first-verbs-015;a2-ecology-021;b1-idioms-021,A1;A2;B1,2,1,kupić;kupować,source-entry-string-after-conservative-normalization,185,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kłaść,podcast-only,false,1,podcasts-work-life-001,Podcasts,0,1,,source-entry-string-after-conservative-normalization,159,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
kłaść się,core-A1-B1,true,1,a2-daily-life-008,A2,0,1,kłaść się;położyć się,source-entry-string-after-conservative-normalization,160,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
lecieć,core-A1-B1,false,1,b1-urban-party-slang-009,B1,1,0,lecieć;polecieć,source-entry-string-after-conservative-normalization,190,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
leżeć,core-A1-B1,false,1,a2-appearance-clothes-008,A2,0,1,,source-entry-string-after-conservative-normalization,194,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
lubić,core-A1-B1,false,2,a1-first-verbs-018;b1-relationships-022,A1;B1,2,0,lubić;polubić,source-entry-string-after-conservative-normalization,197,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
malować,core-A1-B1,false,1,a1-free-time-011,A1,1,0,malować;namalować,source-entry-string-after-conservative-normalization,205,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
marnować,core-A1-B1,false,3,a2-ecology-016;podcasts-toxic-productivity-010;podcasts-meaning-of-life-007,A2;Podcasts,1,2,marnować;zmarnować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
mieszkać,core-A1-B1,false,1,a1-first-verbs-016,A1,1,0,mieszkać;zamieszkać,source-entry-string-after-conservative-normalization,218,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
mieć,core-A1-B1,false,8,a1-first-verbs-002;a2-appearance-clothes-003;b1-character-emotions-002;b1-idioms-010;b1-idioms-023;b1-swearing-009;b1-swearing-026;podcasts-meaning-of-life-002,A1;A2;B1;Podcasts,1,7,mieć,source-entry-string-after-conservative-normalization,214,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
minąć,core-A1-B1,false,1,a2-directions-orientation-007,A2,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
musieć,core-A1-B1,false,1,a1-first-verbs-005,A1,1,0,musieć,source-entry-string-after-conservative-normalization,227,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
myć,core-A1-B1,false,1,a1-morning-routine-006,A1,0,1,myć;umyć,source-entry-string-after-conservative-normalization,228,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
móc,core-A1-B1,false,1,a1-first-verbs-004,A1,1,0,móc,source-entry-string-after-conservative-normalization,225,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
mówić,core-A1-B1,false,1,a1-first-verbs-009,A1,1,0,mówić;powiedzieć,source-entry-string-after-conservative-normalization,226,powiedzieć,464,,repository-pair-semantics-unreviewed,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
naprawić,core-A1-B1,false,1,a2-apartment-015,A2,1,0,naprawiać;naprawić,none,,naprawiać,253,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
negocjować,core-A1-B1,false,1,b1-career-013,B1,1,0,negocjować;wynegocjować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
nosić,core-A1-B1,false,2,a1-colours-clothes-019;a2-appearance-clothes-004,A1;A2,2,0,nosić,source-entry-string-after-conservative-normalization,270,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
obciąć,core-A1-B1,false,1,b1-getting-things-done-011,B1,0,1,obcinać;obciąć,none,,obcinać,278,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
obczaić,core-A1-B1,false,1,b1-everyday-slang-015,B1,1,0,obczaić;obczajać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
oddawać,core-A1-B1,false,1,a2-ecology-001,A2,1,0,oddawać;oddać,source-entry-string-after-conservative-normalization,304,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odebrać,core-A1-B1,false,1,b1-getting-things-done-012,B1,1,0,odbierać;odebrać,none,,odbierać,297,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odpierdalać,core-A1-B1,false,1,b1-swearing-020,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odpoczywać,core-A1-B1,false,2,a2-daily-life-007;b1-healthy-lifestyle-016,A2;B1,2,0,odpoczywać;odpocząć,source-entry-string-after-conservative-normalization,327,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odreagować,podcast-only,false,1,podcasts-toxic-productivity-016,Podcasts,0,1,odreagować;odreagowywać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odwołać,core-A1-B1,false,1,b1-getting-things-done-015,B1,0,1,odwołać;odwoływać,none,,odwoływać,339,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odwracać,core-A1-B1,false,1,b1-idioms-018,B1,0,1,,none,,,,341,opposite-reflexivity-base-collision-not-a-match;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
odżywiać się,core-A1-B1,true,1,b1-healthy-lifestyle-003,B1,1,0,odżywiać się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ogarnąć,core-A1-B1,false,2,b1-everyday-slang-016;b1-corporate-slang-009,B1,1,1,ogarniać;ogarnąć,none,,ogarniać,346,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
oglądać,core-A1-B1,false,1,a1-free-time-004,A1,1,0,obejrzeć;oglądać,source-entry-string-after-conservative-normalization,347,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
olać,core-A1-B1,false,1,b1-everyday-slang-020,B1,0,1,olać;olewać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
oszczędzać,core-A1-B1,false,2,a2-ecology-013;b1-money-finance-004,A2;B1,2,0,oszczędzać;oszczędzić;zaoszczędzić,source-entry-string-after-conservative-normalization,377,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pakować,core-A1-B1,false,1,a2-ecology-023,A2,1,0,pakować;zapakować,source-entry-string-after-conservative-normalization,390,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pasować,core-A1-B1,false,3,a1-colours-clothes-021;a2-appearance-clothes-007;b1-idioms-022,A1;A2;B1,1,2,pasować,source-entry-string-after-conservative-normalization,396,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
paść,podcast-only,false,1,podcasts-toxic-productivity-017,Podcasts,0,1,padać;paść,none,,padać,389,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
piec,core-A1-B1,false,1,a2-food-shopping-007,A2,1,0,piec;upiec,source-entry-string-after-conservative-normalization,401,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pieprzyć,core-A1-B1,false,1,b1-swearing-012,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pierdolić,core-A1-B1,false,1,b1-swearing-018,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pić,core-A1-B1,false,1,a1-first-verbs-014,A1,1,0,pić;wypić,source-entry-string-after-conservative-normalization,400,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
planować,core-A1-B1,false,1,a2-leisure-culture-016,A2,1,0,planować;zaplanować,source-entry-string-after-conservative-normalization,405,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
podpisać,core-A1-B1,false,2,a2-official-matters-012;b1-getting-things-done-010,A2;B1,1,1,podpisać;podpisywać,none,,podpisywać,426,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
podróżować,core-A1-B1,false,1,a1-free-time-017,A1,1,0,podróżować,source-entry-string-after-conservative-normalization,430,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pogodzić się,core-A1-B1,true,1,b1-relationships-015,B1,1,0,godzić się;pogodzić się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pokłócić się,core-A1-B1,true,1,b1-relationships-014,B1,1,0,kłócić się;pokłócić się,none,,kłócić się,161,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
polecać,core-A1-B1,false,1,b1-culture-entertainment-018,B1,1,0,polecać;polecić,source-entry-string-after-conservative-normalization,438,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
