example_id,lemma,pattern_id,exact_polish,normalized_utterance,classification,manifest_key,manifest_polish,existing_source_context,mp3_path,mp3_exists,mp3_nonempty,key_matches_sha256,normalization_collision,duplicate_utterance_relationship,tts_risk,special_issue,note
vp-e-prosic-request-accusative-person-o-accusative-thing-asking-the-boss-for-a-raise-edec4ed77571,prosić,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,Będę prosić szefa o podwyżkę.,Będę prosić szefa o podwyżkę.,exact-existing-reuse,659202bdae2d,Będę prosić szefa o podwyżkę.,card:b1-career-006:ex,audio/659202bdae2d.mp3,true,true,true,none,none,moderate,none,Human QA should check podwyżkę
vp-e-prosic-request-o-accusative-request-passport-please-37568555b13c,prosić,vp-p-prosic-request-o-accusative-request-06d776fbfd20,Proszę o paszport.,Proszę o paszport.,exact-existing-reuse,3d07dad604dc,Proszę o paszport.,card:a2-official-matters-007:ex,audio/3d07dad604dc.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-pytac-ask-for-information-accusative-person-o-accusative-topic-asking-a-friend-about-a-restaurant-4e51f8927a78,pytać,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,Pytam koleżankę o nową restaurację.,Pytam koleżankę o nową restaurację.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-pytac-ask-for-information-o-accusative-topic-asking-about-the-price-662fceb895d3,pytać,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,Zawsze pytam o cenę.,Zawsze pytam o cenę.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-rozmawiac-talk-with-o-locative-topic-talking-about-music-94c6280fa290,rozmawiać,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,Zawsze rozmawiamy o muzyce.,Zawsze rozmawiamy o muzyce.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-rozmawiac-talk-with-z-instrumental-interlocutor-talking-to-mum-every-day-e0d2b75493db,rozmawiać,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,Codziennie rozmawiam z mamą.,Codziennie rozmawiam z mamą.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-rozmawiac-talk-with-z-instrumental-o-locative-doctor-about-test-results-6080f6504f29,rozmawiać,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,Rozmawiam z lekarzem o wynikach badań.,Rozmawiam z lekarzem o wynikach badań.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-sluchac-listen-to-genitive-target-music-on-the-way-ecf258289d6e,słuchać,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,Słucham muzyki w drodze do pracy.,Słucham muzyki w drodze do pracy.,exact-existing-reuse,175f92e0a287,Słucham muzyki w drodze do pracy.,card:a1-free-time-005:ex,audio/175f92e0a287.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-sluchac-obey-genitive-object-dog-obeys-its-owner-f1216029cb1b,słuchać,vp-p-sluchac-obey-genitive-object-674adae2dec3,Ten pies słucha swojego pana.,Ten pies słucha swojego pana.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-szukac-seek-genitive-target-looking-for-cafe-efdccf7a5ba6,szukać,vp-p-szukac-seek-genitive-target-71dc6eff512c,Szukam dobrej kawiarni.,Szukam dobrej kawiarni.,exact-existing-reuse,0f240d86c0b9,Szukam dobrej kawiarni.,card:a1-first-verbs-020:ex,audio/0f240d86c0b9.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-tesknic-miss-za-instrumental-target-missing-you-b98f2f56ea9f,tęsknić,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,"Tęsknię za tobą, kiedy wyjeżdżasz.","Tęsknię za tobą, kiedy wyjeżdżasz.",exact-existing-reuse,f175bee41549,"Tęsknię za tobą, kiedy wyjeżdżasz.",card:b1-relationships-012:ex,audio/f175bee41549.mp3,true,true,true,none,none,low,comma/clause prosody,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-uczyc-sie-study-genitive-subject-matter-polish-for-a-year-180cd560a0ec,uczyć się,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,Uczę się polskiego od roku.,Uczę się polskiego od roku.,exact-existing-reuse,5ff75aa1203e,Uczę się polskiego od roku.,card:a1-about-me-004:ex,audio/5ff75aa1203e.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-uczyc-sie-study-infinitive-skill-learning-guitar-fc75e418733b,uczyć się,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,Uczę się grać na gitarze.,Uczę się grać na gitarze.,exact-existing-reuse,579583c55712,Uczę się grać na gitarze.,card:a1-free-time-007:ex,audio/579583c55712.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-ufac-trust-dative-object-trusting-my-teacher-618816d6a6ea,ufać,vp-p-ufac-trust-dative-object-10988adac8cd,Ufam swojej nauczycielce.,Ufam swojej nauczycielce.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-uzywac-use-genitive-object-using-an-app-4ea0e75b504a,używać,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,Używam tej aplikacji do nauki języków.,Używam tej aplikacji do nauki języków.,exact-existing-reuse,803bbbca2219,Używam tej aplikacji do nauki języków.,card:b1-media-technology-001:ex,audio/803bbbca2219.mp3,true,true,true,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-widziec-perceive-visually-accusative-object-saw-your-sister-ec51af47f224,widzieć,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,Czy widzisz tę czerwoną torbę?,Czy widzisz tę czerwoną torbę?,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,question intonation,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-wierzyc-have-trust-dative-object-believing-a-friend-b65c5d71b199,wierzyć,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,"Wierzę koleżance, bo nigdy nie kłamie.","Wierzę koleżance, bo nigdy nie kłamie.",new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,comma/clause prosody,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-wierzyc-have-trust-w-accusative-target-believing-in-the-team-9695f1faa84b,wierzyć,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,Trener wierzy w tę drużynę.,Trener wierzy w tę drużynę.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-zajmowac-sie-look-after-person-instrumental-object-looking-after-my-sisters-daughter-1976cdf5b971,zajmować się,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,"Kiedy siostra jest w pracy, zajmuję się jej córką.","Kiedy siostra jest w pracy, zajmuję się jej córką.",new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,moderate,comma/clause prosody,Human QA should check multi-clause prosody
vp-e-zajmowac-sie-occupation-activity-instrumental-topic-dad-repairs-computers-1ad6678e41cb,zajmować się,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,Mój tata zajmuje się naprawą komputerów.,Mój tata zajmuje się naprawą komputerów.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-zalezec-depend-on-od-genitive-source-plans-depend-on-the-weather-e539ac27be66,zależeć,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,Nasze plany zależą od pogody.,Nasze plany zależą od pogody.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-zalezec-matter-to-someone-dative-experiencer-na-locative-this-job-matters-to-me-49c780e0667f,zależeć,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,Bardzo mi zależy na tej pracy.,Bardzo mi zależy na tej pracy.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-znac-be-acquainted-with-accusative-object-know-this-restaurant-966b2c8de5a3,znać,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,Czy znasz tę restaurację?,Czy znasz tę restaurację?,exact-existing-reuse,bbbbd3a2d4ff,Czy znasz tę restaurację?,card:a1-first-verbs-012:ex,audio/bbbbd3a2d4ff.mp3,true,true,true,none,none,low,question intonation,"No number, proper-name or abbreviation issue; routine human QA still required."
vp-e-znalezc-find-accusative-object-finally-found-a-flat-3609f7a71e3f,znaleźć,vp-p-znalezc-find-accusative-object-d80c52211462,W końcu znalazłam nową pracę.,W końcu znalazłam nową pracę.,new-audio-required,,,none (editorial-generated example),,false,false,false,none,none,low,none,"No number, proper-name or abbreviation issue; routine human QA still required."
