rank,lemma,recommendation,likely_cefr,provisional_key_constructions,likely_case_preposition_value,likely_meanings_range,likely_patterns_range,aspect_reflexive_considerations,exact_infinitive_mentions,repository_evidence,known_uncertainty,everyday_usefulness,a1_b1_relevance,repository_frequency,conversation_reuse,case_preposition_learning_value,learner_error_risk,clear_construction,deterministic_exercise_fit,national_relevance,contemporary_standard_usage,source_corroboration_quality,overlap_duplication_risk,editorial_complexity,meaning_complexity,pattern_complexity,aspect_reflexive_complexity,example_reuse_potential,audio_reuse_potential,audio_complexity,total_score,example_source_opportunity,audio_opportunity,evidence_status
20,dawać,include,A2,Dative recipient + Accusative thing,dative+accusative,1,1-2,imperfective; dać separate,1,grammar-cases-dative-001; a2-holidays-traditions-007,Two-complement ordering and pronouns need review,5,4,2,4,5,4,4,4,3,3,1,1,2,1,1,3,2,2,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
21,dać,include,A2,Dative recipient + Accusative thing,dative+accusative,1-2,1-3,perfective; separate from dawać,2,grammar-cases-dative-002; verbs-motion-prefixes-012,Imperative/idiomatic uses should be deferred,4,4,3,4,5,4,3,3,3,3,2,2,4,2,2,3,3,3,1,30,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
22,brać,include,A2,Accusative object; brać udział w + Locative as separate meaning,accusative; preposition+locative,2-3,2-4,imperfective; wziąć separate,22,a1-morning-routine-005; scenarios-pharmacy,Very broad phraseology; selective scope essential,4,4,5,4,5,4,3,3,3,3,2,1,4,3,3,3,3,3,1,31,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
23,wziąć,include,A2,Accusative object; wziąć udział w + Locative,accusative; preposition+locative,2-3,2-4,perfective; separate from brać,7,a2-restaurant-019; scenarios-gym,Aspect/idiom complexity,4,4,4,4,5,4,3,3,3,3,2,2,4,3,3,3,3,3,1,29,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
24,czytać,include,A1,Accusative text,accusative,1,1,imperfective; przeczytać separate,7,a1-free-time-003; verbs-aspect-004,Straightforward,4,5,4,4,3,2,4,4,3,3,2,1,2,1,1,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
25,przeczytać,include,A2,Accusative text,accusative,1,1,perfective; separate from czytać,2,verbs-past-tense; verbs-aspect,Aspect relation requires reciprocal review,4,4,3,4,3,2,4,4,3,3,2,2,3,1,1,3,3,3,1,31,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
26,pisać,include,A1,Accusative text; do + Genitive addressee,accusative; preposition+genitive,2,2-3,imperfective; napisać separate,5,verbs-present-tense; b1-career-012,Write-to frame needs selective meaning split,4,5,4,4,5,4,3,3,3,3,2,1,4,2,2,3,3,3,1,33,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
27,napisać,include,A2,Accusative text; do + Genitive addressee,accusative; preposition+genitive,2,2-3,perfective; separate from pisać,1,verbs-aspect; verbs-future-tense-005,Aspect partner does not imply identical set,4,4,2,4,5,4,4,3,3,3,1,2,2,2,2,3,2,2,1,29,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
28,czuć się,include,A1,adverb/adjective predicate; Instrumental identity only if supported,predicate construction,1-2,1-2,lexical się; keep czuć separate,5,verbs-reflexive-003; b1-character-emotions,Predicate category must fit closed complement vocabulary,4,5,4,4,3,2,4,4,3,3,2,1,2,2,1,3,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
29,nazywać się,include,A1,Nominative name predicate,nominative/predicate,1,1,lexical się,3,verbs-reflexive-001; verbs-reflexive-004,Name-predicate representation needs model fit,4,5,3,4,3,2,3,4,3,3,2,1,4,1,1,3,3,3,1,31,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
30,spotykać się,include,A2,z + Instrumental person,preposition+instrumental,1-2,1-2,lexical się; spotkać się separate,6,a1-free-time-016; verbs-reflexive-006,Meeting time/place are adjuncts,4,4,4,4,5,4,4,4,3,3,2,1,3,2,1,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
31,spotkać się,include,A2,z + Instrumental person,preposition+instrumental,1,1,perfective lexical się; separate from spotykać się,2,a2-leisure-culture-011,Reciprocal aspect link requires review,4,4,3,4,5,4,4,4,3,3,2,2,3,1,1,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
32,umówić się,include,A2,z + Instrumental person; na + Accusative appointment; do + Genitive professional,multi-preposition,2,2-4,perfective lexical się; umawiać się may merit reserve lemma,12,a2-healthcare-appointments-003; scenarios-healthcare-appointments,Meaning and complement combinations are domain-sensitive,4,4,5,4,5,4,4,3,3,3,2,1,2,2,3,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
33,dzwonić,include,A2,do + Genitive person; w sprawie + Genitive,preposition+genitive,2,2-3,imperfective; zadzwonić reserved,1,a2-healthcare-appointments-002; scenarios-healthcare-appointments,Ring versus call meanings must be separated,4,4,2,4,5,4,4,3,3,3,1,1,2,2,2,1,2,2,1,32,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
34,odpowiadać,include,A2,Dative person; na + Accusative question,dative; preposition+accusative,2,2-3,imperfective; odpowiedzieć may later pair,0,building-sentences-relative-clauses; repository-wide inflected occurrences,Exact source frame must be located in Phase 3,4,4,1,3,5,4,4,3,3,3,1,1,2,2,2,1,2,2,1,30,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
35,powiedzieć,include,A2,Dative recipient + Accusative/że clause; żeby clause,dative+accusative/clause,2-3,3-4,perfective; relation to mówić requires separate lemma and selective patterns,9,grammar-cases-dative-006; building-sentences-so-that-004,High polysemy and clause complexity,4,4,4,4,5,4,3,3,3,3,2,1,4,3,3,3,3,3,1,30,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
36,oglądać,include,A1,Accusative content,accusative,1,1,imperfective; obejrzeć separate,2,a1-free-time-004,Straightforward,4,5,3,4,3,2,4,4,3,3,2,1,2,1,1,3,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
37,obejrzeć,include,A2,Accusative content,accusative,1,1,perfective; separate from oglądać,6,b1-culture-entertainment-019; verbs-modal-verbs-008,Aspect link requires review,4,4,4,4,3,2,4,4,3,3,2,2,3,1,1,3,3,3,1,32,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
38,gotować,include,A1,Accusative food; Dative beneficiary only if supported,accusative/dative,1-2,1-2,imperfective; ugotować reserve,6,a1-free-time-010; a2-food-shopping-005,Transitive/intransitive uses need scope,4,5,4,4,5,4,4,4,3,3,2,1,2,2,1,1,3,3,1,40,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
39,zamawiać,include,A2,Accusative item; u + Genitive provider,accusative; preposition+genitive,1-2,1-2,imperfective; zamówić reserve,0,a2-restaurant; scenarios-shops-services,Repository evidence is inflected; frame needs Phase 3 verification,4,4,1,3,5,4,4,4,3,3,1,1,3,2,1,1,2,2,1,31,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
40,rezerwować,include,A2,Accusative booking; dla + Genitive person,accusative; preposition+genitive,1-2,1-2,imperfective; zarezerwować reserve,2,a2-travel-holidays-007; politeness-conditional-011,Beneficiary may be adjunct,4,4,3,4,5,4,4,4,3,3,2,1,3,2,1,1,3,3,1,37,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
41,zaczynać,include,A2,Accusative activity; + infinitive,accusative/infinitive,1-2,2,imperfective; zacząć separate,0,a2-daily-life; repository inflected occurrences,Frame evidence needs direct extraction,4,4,1,3,3,2,4,4,3,3,1,1,3,2,1,3,2,2,1,25,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
42,zacząć,include,A2,Accusative activity; + infinitive,accusative/infinitive,1-2,2,perfective; separate from zaczynać,0,repository inflected occurrences,Frame evidence needs direct extraction,4,4,1,3,3,2,4,4,3,3,1,2,3,2,1,3,2,2,1,24,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
43,kończyć,include,A2,Accusative task; + infinitive only if corroborated,accusative,1-2,1-2,imperfective; skończyć separate,0,scenarios-work-university; repository inflected occurrences,Transitive/intransitive scope,4,4,1,3,3,2,4,4,3,3,1,1,2,2,1,3,2,2,1,26,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
44,skończyć,include,A2,Accusative task; z + Instrumental only in supported sense,accusative; preposition+instrumental,1-2,1-3,perfective; separate from kończyć,2,scenarios-work-university,Several colloquial frames; defer weak ones,4,4,3,3,5,4,3,3,3,3,2,2,4,2,2,3,3,3,1,29,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
45,wracać,include,A1,do + Genitive; z + Genitive origin,preposition+genitive,1,2,imperfective; wrócić separate,2,a2-daily-life-004,Motion adjunct boundaries,4,5,3,4,5,4,4,4,3,3,2,1,3,1,1,3,3,3,1,37,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
46,wrócić,include,A2,do + Genitive; z + Genitive origin,preposition+genitive,1,2,perfective; separate from wracać,3,scenarios-doctor; a2-daily-life-004,Aspect link requires review,4,4,3,4,5,4,4,4,3,3,2,2,3,1,1,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
47,przyjść,include,A2,do + Genitive person/place; na + Accusative event,preposition+genitive/accusative,1-2,2-3,perfective motion; przychodzić reserve,6,verbs-verbs-of-motion-007; verbs-motion-prefixes-002,Motion/event frames need separation,4,4,4,4,5,4,4,3,3,3,2,1,2,2,2,3,3,3,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
48,przyjechać,include,A2,do + Genitive; z + Genitive origin,preposition+genitive,1,2,perfective vehicle motion; przyjeżdżać reserve,3,verbs-motion-prefixes-008; scenarios-city-transport,Vehicle may be adjunct,4,4,3,4,5,4,4,4,3,3,2,1,3,1,1,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
49,wyjść,include,A2,z + Genitive; do + Genitive destination; na + Accusative event,preposition+genitive/accusative,2,2-4,perfective motion; wychodzić reserve,10,verbs-motion-prefixes-003; a1-morning-routine-017,Literal and idiomatic exit senses,4,4,5,4,5,4,3,3,3,3,2,1,4,2,3,3,3,3,1,32,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
50,wyjechać,include,A2,z + Genitive origin; do + Genitive destination,preposition+genitive,1,2,perfective vehicle motion; wyjeżdżać reserve,3,verbs-motion-prefixes-010,Movement frame selective,4,4,3,4,5,4,3,4,3,3,2,1,4,1,1,3,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
51,cieszyć się,include,A2,z + Genitive cause; że clause,preposition+genitive/clause,1-2,2,lexical się; ucieszyć się may be later partner,3,b1-character-emotions-011; data-verbs reflexive teach,Cause versus anticipatory sense,4,4,3,4,5,4,4,4,3,3,2,1,2,2,1,3,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
52,martwić się,include,A2,o + Accusative person/thing; że clause,preposition+accusative/clause,1-2,2,lexical się,1,verbs-imperative-003; b1-character-emotions,Overlap with released bać się 'worry about' needs distinction,4,4,2,4,5,4,4,4,3,3,1,2,3,2,1,3,2,2,1,30,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
53,zgadzać się,include,A2,z + Instrumental person/view; na + Accusative proposal,preposition+instrumental/accusative,2,2-3,lexical się; zgodzić się separate future candidate,3,b1-expressing-opinions-002; b1-relationships-021,Agree-with versus consent-to meanings,4,4,3,4,5,4,4,3,3,3,2,1,2,2,2,3,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
54,pamiętać,include,A2,o + Locative; Accusative remembered content; żeby clause,preposition+locative/accusative/clause,2-3,2-4,imperfective,0,b1-media-technology-007; b1-urban-party-slang-004,Multiple meanings and clause types,4,4,1,3,5,4,3,3,3,3,1,1,4,3,3,1,2,2,1,25,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
55,zapominać,include,A2,o + Locative; Genitive object; żeby clause,preposition+locative/genitive/clause,2,2-4,imperfective; zapomnieć may later pair,0,repository inflected occurrences,Direct repository frame evidence is weak,4,4,1,2,5,4,3,3,3,3,1,1,4,2,3,1,2,2,1,25,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
56,próbować,include,A2,+ infinitive; Genitive sampled object as separate meaning,infinitive/genitive,2,2,imperfective,0,a2-food-shopping; repository inflected occurrences,Needs contemporary frame verification,4,4,1,2,5,4,4,4,3,3,1,1,3,2,1,1,2,2,1,30,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
57,przepraszać,include,A2,Accusative person; za + Accusative reason,accusative; preposition+accusative,1,1-2,imperfective; przeprosić reserve,4,b1-relationships-016; politeness-formal-address-004,Person omission common; keep complement optionality explicit,4,4,3,4,3,2,4,4,3,3,2,1,3,1,1,1,3,3,1,34,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
58,zapraszać,include,A2,Accusative person; na + Accusative event; do + Genitive place,accusative; preposition+accusative/genitive,1-2,2-3,imperfective; zaprosić reserve,3,a2-leisure-culture-014; a2-holidays-traditions-019,Multi-complement combinations need evidence,4,4,3,4,5,4,4,3,3,3,2,1,2,2,2,1,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
59,polecać,include,A2,Dative recipient + Accusative item; + infinitive,dative+accusative/infinitive,2,2-3,imperfective; polecić reserve,4,b1-culture-entertainment-018; scenarios-pharmacy,Recommend versus advise treatment,4,4,3,4,5,4,4,3,3,3,2,1,2,2,2,1,3,3,1,36,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
60,pozwalać,include,B1,Dative person + infinitive; na + Accusative,dative+infinitive; preposition+accusative,2,2-3,imperfective; pozwolić later candidate,0,repository contextual occurrences require extraction,Low direct repository evidence; high governance need,4,3,1,2,5,4,4,3,3,3,1,1,2,2,2,1,2,2,1,28,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
61,radzić,include,B1,Dative person + infinitive; Dative + clause,dative+infinitive/clause,2,2-3,imperfective; do not merge radzić sobie,1,b1-healthy-lifestyle-014; scenarios-neighbours,Advice sense must be separated from cope,4,3,2,3,5,4,4,3,3,3,1,1,2,2,2,1,2,2,1,30,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
62,życzyć,include,A2,Dative recipient + Genitive wished thing,dative+genitive,1,1,imperfective,1,people-numbers-every-all-010; scenarios-doctor,Formulaic ellipsis and full frame,4,4,2,4,5,4,4,4,3,3,1,1,2,1,1,1,2,2,1,35,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
63,unikać,include,B1,Genitive object; + infinitive,genitive/infinitive,1,1-2,imperfective,0,repository learner-error gap; no strong direct ref,Low repository evidence; strong case value,4,3,1,1,5,4,4,4,3,3,1,1,2,1,1,1,2,2,1,30,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
64,wymagać,include,B1,Genitive object; od + Genitive person,genitive; preposition+genitive,1-2,1-2,imperfective,0,b1-character-emotions-007; b1-healthy-lifestyle-018,Impersonal subject patterns need care,4,3,1,3,5,4,4,4,3,3,1,1,2,2,1,1,2,2,1,31,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
65,należeć,include,A2,do + Genitive membership/ownership,preposition+genitive,1-2,1-2,imperfective,0,repository contextual occurrences require extraction,Weak repository evidence; highly teachable,4,4,1,1,5,4,3,4,3,3,1,1,4,2,1,1,2,2,1,27,future editorial-generated unless Phase 3 locates a suitable exact source,unknown until final text freeze,repository-supported planning evidence only; contemporary reference verification required in Phase 3
66,korzystać,include,A2,z + Genitive resource,preposition+genitive,1,1,imperfective,3,scenarios-gym explicit teach and npc,Strong domain-specific repository evidence,4,4,3,4,5,4,4,4,3,3,2,1,2,1,1,1,3,3,1,39,repository-reuse candidate; exact sentence must be re-reviewed,existing clip likely if exact repository utterance is retained,repository-supported planning evidence only; contemporary reference verification required in Phase 3
