"verification_order","lemma","phase3_disposition","phase3_representation_fit","evidence_strength","independent_slot_signal","aspect_partner","double_selected_pair","normalized_pair_recommendation","narrowing_summary","authoring_constraint","product_redundancy_summary","human_freeze_recommendation","human_freeze_rationale","reserve_gate_needed","notes"
"11","przyjechać","KEEP WITH NARROWING","compatible with narrowing","A","moderate","przyjeżdżać","no","not applicable","The exact arrival sense selects generalized DOKĄD, realized by documented do/na forms; proposed source and vehicle frames do not survive.","Author do/na only as destination realizations, not exclusive government; exclude source, vehicle, route, and time from the lexical pattern.","BORDERLINE OPPORTUNITY COST — Selected goal evidence is valid, but only a generalized-role realization survives and the moderate slot sits within the 12-lemma motion concentration.","RETAIN - BORDERLINE OPPORTUNITY COST","Selected goal evidence is valid, but only a generalized-role realization survives and the moderate slot sits within the 12-lemma motion concentration. Retention remains viable and no linguistic disposition changes.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"12","wyjść","KEEP WITH NARROWING","compatible with narrowing","A","strong","wychodzić","no","not applicable","Literal exit selects optional SKĄD and DOKĄD, with z/do/na forms as realizations; the separate sport/result na sense does not survive in this record.","Keep literal exit separate from sport/result meanings and label every concrete source/destination form as a generalized-role realization.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"13","wyjechać","KEEP WITH NARROWING","compatible with narrowing","A","moderate","wyjeżdżać","no","not applicable","The exact vehicle-departure sense retains generalized SKĄD with z + Genitive as a realization; proposed destination and vehicle positions do not survive.","Author only the source-role realization; do not add destination, vehicle, route, or time frames and do not imply exclusive z government.","BORDERLINE OPPORTUNITY COST — Selected source evidence is valid, but only one narrowed realization survives and the moderate slot sits within the 12-lemma motion concentration.","RETAIN - BORDERLINE OPPORTUNITY COST","Selected source evidence is valid, but only one narrowed realization survives and the moderate slot sits within the 12-lemma motion concentration. Retention remains viable and no linguistic disposition changes.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"14","przynosić","KEEP WITH NARROWING","compatible with narrowing","A","moderate","","no","not applicable","The exact imperfective carrying sense retains Accusative only; the proposed Dative recipient does not survive and nothing is borrowed from przynieść.","Keep the exact imperfective identity and Accusative object; do not author a Dative recipient or inherit any construction from przynieść.","BORDERLINE OPPORTUNITY COST — The exact lemma remains useful, but rejection of the proposed Dative leaves only an ordinary Accusative construction, creating material opportunity cost.","RETAIN - BORDERLINE OPPORTUNITY COST","The exact lemma remains useful, but rejection of the proposed Dative leaves only an ordinary Accusative construction, creating material opportunity cost. Retention remains viable and no linguistic disposition changes.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"15","odpowiadać","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","The answer sense retains na + Accusative and a że clause; the proposed Dative addressee does not survive.","Author the exact answer sense with alternative na-question and że-content schemas; exclude an unverified Dative person and unrelated meanings.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"16","zamawiać","KEEP WITH NARROWING","compatible with narrowing","A","strong","zamówić","no","not applicable","Accusative item, optional Dative or dla beneficiary survive exactly; provider u + Genitive survives only as a documented realization of generalized GDZIE.","Keep beneficiary schemas alternative, label u + Genitive as a realization rather than exclusive provider government, and do not build a maximal frame.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"17","zaczynać","KEEP VERIFIED","compatible","A","moderate","zacząć","yes","COLLAPSE CANDIDATE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","COLLAPSE CANDIDATE — Both exact lemmas independently support Accusative and infinitive onset schemas, but the inventories coincide, the morphology is regular, and one full pattern plus partner metadata could carry most of the contrast.","COLLAPSE / REMOVE CANDIDATE FOR HUMAN REVIEW","Both exact lemmas independently support Accusative and infinitive onset schemas, but the inventories coincide, the morphology is regular, and one full pattern plus partner metadata could carry most of the contrast. Phase 3B must choose whether to retain both or collapse the family to one full lemma pattern plus independently labelled partner metadata.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 2."
"18","zacząć","KEEP VERIFIED","compatible","A","moderate","zaczynać","yes","COLLAPSE CANDIDATE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","COLLAPSE CANDIDATE — Both exact lemmas independently support Accusative and infinitive onset schemas, but the inventories coincide, the morphology is regular, and one full pattern plus partner metadata could carry most of the contrast.","COLLAPSE / REMOVE CANDIDATE FOR HUMAN REVIEW","Both exact lemmas independently support Accusative and infinitive onset schemas, but the inventories coincide, the morphology is regular, and one full pattern plus partner metadata could carry most of the contrast. Phase 3B must choose whether to retain both or collapse the family to one full lemma pattern plus independently labelled partner metadata.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 2."
"19","kończyć","KEEP VERIFIED","compatible","A","moderate","skończyć","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The frames are direct, but independent pair opportunity cost cannot be settled before later-queue skończyć receives its own exact-form review.","RETAIN BOTH - BORDERLINE — The completion schemas overlap, while skończyć independently adds a separate colloquial cessation sense with z + Instrumental; that extra construction offsets but does not erase the second-slot cost.","RETAIN - BORDERLINE OPPORTUNITY COST","The completion schemas overlap, while skończyć independently adds a separate colloquial cessation sense with z + Instrumental; that extra construction offsets but does not erase the second-slot cost. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 2."
"20","pamiętać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Both exact sense inventories and their construction boundaries are explicit; no independently inspectable lemma-level valency source was available for corroboration.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 2; no reserve evidence or final freeze is implied."
"21","zapominać","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","Recall-sense objects, o + Locative, że/interrogative content and the separate obligation-sense infinitive survive; the proposed żeby clause does not.","Keep recall and failure-to-act senses separate and omit the unverified żeby schema.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"22","próbować","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","No independent lemma-level valency corroboration was inspectable, but both exact sense schemas are direct and unambiguous.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"23","pozwalać","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","Permission/enabling alternatives survive, but the evidence does not support one combined Dative-person plus infinitive schema.","Author the listed alternative schemas separately; do not freely combine Dative, na + Accusative, infinitive, and żeby positions or transfer participants across senses.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"24","unikać","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","The exact Genitive construction survives; apparent action complements are Genitive gerunds and do not establish the proposed infinitive.","Author direct Genitive only and omit infinitive government.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"25","wymagać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must keep the demander/source restrictions and two meanings visible rather than flatten them.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"26","należeć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","The two meanings require separate product patterns or explicit sense labels even though the surface construction is shared.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"27","kłócić się","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve lexical się and the singular/plural alternation without presenting every complement as simultaneously required.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"28","pokazywać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Optional GDZIE is intentionally not converted into a concrete product pattern; other pokazywać senses were not inspected.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"29","radzić sobie","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve the full lexical identity radzić sobie and not strip sobie or merge the entry with radzić.","NO MATERIAL REDUNDANCY — advice radzić and lexical coping radzić sobie have independently verified identities, meanings, and construction inventories.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 3; no reserve evidence or final freeze is implied."
"30","kupować","KEEP VERIFIED","compatible","A","moderate","kupić","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The independent imperfective evidence is clear, but final two-slot opportunity cost must wait for authorized exact-form review of kupić in Batch 4.","RETAIN BOTH - BORDERLINE — Both independently verify the same purchase schemas. Process or habitual purchase versus bounded acquisition is central and practical, but construction coverage is fully duplicated.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently verify the same purchase schemas. Process or habitual purchase versus bounded acquisition is central and practical, but construction coverage is fully duplicated. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 3."
"31","kupić","KEEP VERIFIED","compatible","A","moderate","kupować","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The lemma evidence is direct; final two-slot value remains a Phase 3B product decision because its constructions duplicate kupować.","RETAIN BOTH - BORDERLINE — Both independently verify the same purchase schemas. Process or habitual purchase versus bounded acquisition is central and practical, but construction coverage is fully duplicated.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently verify the same purchase schemas. Process or habitual purchase versus bounded acquisition is central and practical, but construction coverage is fully duplicated. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"32","dawać","KEEP VERIFIED","compatible","A","strong","dać","yes","RETAIN BOTH - STRONG","none — authoritative Phase 3 disposition is KEEP VERIFIED","The direct construction is clear; final allocation of two family slots remains a Phase 3B product decision.","RETAIN BOTH - STRONG — Both exact lemmas independently support Dative recipient plus Accusative transfer. The highly central transfer contrast and morphologically important partner relation justify two slots despite construction overlap.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"33","dać","KEEP VERIFIED","compatible","A","strong","dawać","yes","RETAIN BOTH - STRONG","none — authoritative Phase 3 disposition is KEEP VERIFIED","The direct construction is clear; final allocation of two family slots remains a Phase 3B product decision.","RETAIN BOTH - STRONG — Both exact lemmas independently support Dative recipient plus Accusative transfer. The highly central transfer contrast and morphologically important partner relation justify two slots despite construction overlap.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"34","brać","KEEP VERIFIED","compatible","A","strong","wziąć","yes","RETAIN BOTH - STRONG","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must encode udział as required lexical material and keep participation separate from generic taking.","RETAIN BOTH - STRONG — Both exact lemmas independently support literal taking and fixed udział w + Locative participation. Suppletive morphology and high practical value make explicit dual coverage unusually valuable.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"35","wziąć","KEEP VERIFIED","compatible","A","strong","brać","yes","RETAIN BOTH - STRONG","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must encode udział as required lexical material and keep participation separate from generic taking.","RETAIN BOTH - STRONG — Both exact lemmas independently support literal taking and fixed udział w + Locative participation. Suppletive morphology and high practical value make explicit dual coverage unusually valuable.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"36","czytać","KEEP VERIFIED","compatible","A","moderate","przeczytać","yes","COLLAPSE CANDIDATE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The lemma is independently verified; whether its completion partner merits a second slot is deferred to Phase 3B.","COLLAPSE CANDIDATE — Both exact lemmas independently support near-identical reading inventories. Whole-text completion is real, but one full pattern plus explicit partner metadata could teach most of the contrast at lower diversity cost.","COLLAPSE / REMOVE CANDIDATE FOR HUMAN REVIEW","Both exact lemmas independently support near-identical reading inventories. Whole-text completion is real, but one full pattern plus explicit partner metadata could teach most of the contrast at lower diversity cost. Phase 3B must choose whether to retain both or collapse the family to one full lemma pattern plus independently labelled partner metadata.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"37","przeczytać","KEEP VERIFIED","compatible","A","moderate","czytać","yes","COLLAPSE CANDIDATE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The completion meaning is pedagogically real, but its marginal slot value over explicit aspect metadata remains a Phase 3B decision.","COLLAPSE CANDIDATE — Both exact lemmas independently support near-identical reading inventories. Whole-text completion is real, but one full pattern plus explicit partner metadata could teach most of the contrast at lower diversity cost.","COLLAPSE / REMOVE CANDIDATE FOR HUMAN REVIEW","Both exact lemmas independently support near-identical reading inventories. Whole-text completion is real, but one full pattern plus explicit partner metadata could teach most of the contrast at lower diversity cost. Phase 3B must choose whether to retain both or collapse the family to one full lemma pattern plus independently labelled partner metadata.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"38","pisać","KEEP VERIFIED","compatible","A","strong","napisać","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve the creation/correspondence sense split and schema alternatives; final two-slot allocation remains Phase 3B.","RETAIN BOTH - BORDERLINE — Both independently support creation and correspondence schemas. Ongoing or repeated writing versus completed communication is highly practical, but architecture coverage largely duplicates.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently support creation and correspondence schemas. Ongoing or repeated writing versus completed communication is highly practical, but architecture coverage largely duplicates. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"39","napisać","KEEP VERIFIED","compatible","A","strong","pisać","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve the creation/correspondence sense split and schema alternatives; final two-slot allocation remains Phase 3B.","RETAIN BOTH - BORDERLINE — Both independently support creation and correspondence schemas. Ongoing or repeated writing versus completed communication is highly practical, but architecture coverage largely duplicates.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently support creation and correspondence schemas. Ongoing or repeated writing versus completed communication is highly practical, but architecture coverage largely duplicates. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"40","spotykać się","KEEP VERIFIED","compatible","A","strong","spotkać się","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The independent imperfective result is clear; pair opportunity cost cannot be assessed until order 41 receives authorized review.","RETAIN BOTH - BORDERLINE — Both lexical-się lemmas independently support the same meeting-partner construction. Recurring contact versus a bounded meeting is practical, but regular morphology and identical coverage create real slot cost.","RETAIN - BORDERLINE OPPORTUNITY COST","Both lexical-się lemmas independently support the same meeting-partner construction. Recurring contact versus a bounded meeting is practical, but regular morphology and identical coverage create real slot cost. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 4."
"41","spotkać się","KEEP VERIFIED","compatible","A","strong","spotykać się","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The lemma result is exact; final two-slot allocation remains subject to the common Phase 3 synthesis rubric.","RETAIN BOTH - BORDERLINE — Both lexical-się lemmas independently support the same meeting-partner construction. Recurring contact versus a bounded meeting is practical, but regular morphology and identical coverage create real slot cost.","RETAIN - BORDERLINE OPPORTUNITY COST","Both lexical-się lemmas independently support the same meeting-partner construction. Recurring contact versus a bounded meeting is practical, but regular morphology and identical coverage create real slot cost. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 5."
"42","oglądać","KEEP VERIFIED","compatible","A","strong","obejrzeć","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must gloss the optional w-position narrowly and keep it distinct from free viewing-location and medium adjuncts.","RETAIN BOTH - BORDERLINE — Both independently support Accusative viewing, while oglądać adds an exact optional w + Locative presentation-context position. The extra position and central aspect contrast partly offset substantial overlap.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently support Accusative viewing, while oglądać adds an exact optional w + Locative presentation-context position. The extra position and central aspect contrast partly offset substantial overlap. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 5."
