lemma_id,lemma,reflexive,aspect,aspect_partner_ids,meaning_id,meaning_glosses_en,pattern_id,relation_type,complements_json,complement_types,cases,prepositions,cefr_recognition,cefr_production,teaching_status,example_id,example_pl,example_en,example_origin,origin_repository_ref,content_refs_json,error_notes_json,review_state,release_mode,review_event_chain,activity_eligibility,audio_eligible
vp-l-miec-3d78141ba164,mieć,false,imperfective,,vp-m-miec-possess-1ba1201b22bf,have | own,vp-p-miec-possess-accusative-object-7181f802bd57,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""object""}]",case,accusative,,A1,A1,active-production,vp-e-miec-possess-accusative-object-two-cats-and-a-dog-2ce2746c0cfc,Mam dwa koty i psa.,I have two cats and a dog.,repository-reuse,card:a1-first-verbs-002:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-002"",""purpose"":""support""},{""kind"":""topic"",""id"":""building-sentences-negation"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-mowic-5f4740bd3f57,mówić,false,imperfective,,vp-m-mowic-tell-content-15073cbb8666,say | tell,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":false,""role"":""recipient""},{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""content""}]",case|case,dative|accusative,|,A2,B1,active-production,vp-e-mowic-tell-content-dative-recipient-accusative-content-telling-parents-the-truth-cc31a97d5386,Zawsze mówię rodzicom prawdę.,I always tell my parents the truth.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-mowic-5f4740bd3f57,mówić,false,imperfective,,vp-m-mowic-tell-content-15073cbb8666,say | tell,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":false,""role"":""recipient""},{""type"":""clause"",""clauseKind"":""ze"",""required"":true,""role"":""content""}]",case|clause,dative|,|,A2,B1,active-production,vp-e-mowic-tell-content-dative-recipient-ze-clause-telling-you-its-a-good-idea-ed20965f4251,"Mówię ci, że to dobry pomysł.",I'm telling you that it's a good idea.,editorial-generated,,"[{""kind"":""topic"",""id"":""building-sentences-so-that"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-myslec-8be636ebca9e,myśleć,false,imperfective,,vp-m-myslec-think-about-fa2e0ab5d95a,think about,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""locative"",""required"":true,""role"":""topic""}]",preposition-case,locative,o,A2,A2,active-production,vp-e-myslec-think-about-o-locative-topic-thinking-about-the-exam-10ede796a5be,Ciągle myślę o egzaminie.,I keep thinking about the exam.,editorial-generated,,"[{""kind"":""card"",""id"":""b1-expressing-opinions-009"",""purpose"":""contrast""},{""kind"":""drill"",""id"":""grammar-cases-locative-006"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-locative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""myślę o wakacje"",""guidanceEn"":""After o in this meaning use the Locative: myślę o wakacjach (I'm thinking about the holidays).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-opiekowac-sie-3a290ee21577,opiekować się,true,imperfective,,vp-m-opiekowac-sie-care-for-278e820d8562,look after | care for,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,lexical-frame,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""object""}]",case,instrumental,,B1,B1,active-production,vp-e-opiekowac-sie-care-for-instrumental-object-caring-for-a-sick-grandmother-5d1ea100cdfa,Dziś opiekuję się młodszą siostrą.,Today I'm looking after my younger sister.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""opiekuję się o babcię"",""guidanceEn"":""No preposition: use the bare Instrumental, opiekuję się babcią (I look after my grandmother).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-placic-d709669437d2,płacić,false,imperfective,,vp-m-placic-pay-dd4705572184,pay,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,means-method,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""means""}]",case,instrumental,,A1,A1,active-production,vp-e-placic-pay-instrumental-method-paying-cash-e1eba53e074b,Płacę gotówką.,I am paying in cash.,repository-reuse,card:a1-numbers-prices-017:ex,"[{""kind"":""card"",""id"":""a1-numbers-prices-017"",""purpose"":""support""},{""kind"":""card"",""id"":""a2-quantities-money-022"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""płacę z kartą"",""guidanceEn"":""No preposition here: the means of payment is a bare Instrumental, płacę kartą (I'm paying by card).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-placic-d709669437d2,płacić,false,imperfective,,vp-m-placic-pay-dd4705572184,pay,vp-p-placic-pay-za-accusative-goods-73c6760c091d,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""za"",""case"":""accusative"",""required"":true,""role"":""target""}]",preposition-case,accusative,za,A1,A2,active-production,vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,editorial-generated,,"[{""kind"":""card"",""id"":""a1-numbers-prices-015"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-podobac-sie-26084690c7ca,podobać się,true,imperfective,,vp-m-podobac-sie-appeal-to-a74665181e3f,like (something appeals to someone),vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,subject-experiencer,"[{""type"":""case"",""case"":""nominative"",""required"":true,""role"":""subject""},{""type"":""case"",""case"":""dative"",""required"":true,""role"":""experiencer""}]",case|case,nominative|dative,|,A2,A2,active-production,vp-e-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-honest-opinion-about-the-film-c11dccc4e223,"Szczerze mówiąc, nie podoba mi się ten film.","To be honest, I don't like this movie.",repository-reuse,card:b1-expressing-opinions-004:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-018"",""purpose"":""contrast""},{""kind"":""card"",""id"":""b1-culture-entertainment-021"",""purpose"":""support""},{""kind"":""card"",""id"":""b1-expressing-opinions-004"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""podobam ten film"",""guidanceEn"":""The thing liked is the subject and the person is Dative: ten film mi się podoba (I like this film).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-pomagac-54633912de9a,pomagać,false,imperfective,,vp-m-pomagac-assist-a4c05bbfc25c,help | assist,vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""recipient""}]",case,dative,,A1,A1,active-production,vp-e-pomagac-assist-dative-recipient-helping-a-neighbour-da22c7a69e27,Często pomagam sąsiadce.,I often help my neighbour.,editorial-generated,,"[{""kind"":""card"",""id"":""a1-first-verbs-022"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-dative-003"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""pomagam mamę"",""guidanceEn"":""The person helped is Dative, not Accusative: pomagam mamie (I help my mum).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-pomagac-54633912de9a,pomagać,false,imperfective,,vp-m-pomagac-assist-a4c05bbfc25c,help | assist,vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""recipient""},{""type"":""preposition-case"",""preposition"":""w"",""case"":""locative"",""required"":true,""role"":""topic""}]",case|preposition-case,dative|locative,|w,A2,A2,active-production,vp-e-pomagac-assist-dative-recipient-w-locative-area-helping-with-maths-adfee546f29a,Pomagam bratu w matematyce.,I help my brother with maths.,editorial-generated,,"[{""kind"":""drill"",""id"":""grammar-cases-dative-003"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-locative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-potrzebowac-8b78ee8b092d,potrzebować,false,imperfective,,vp-m-potrzebowac-need-1112b46d1be1,need,vp-p-potrzebowac-need-genitive-object-437fafad17d2,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""object""}]",case,genitive,,A1,A2,active-production,vp-e-potrzebowac-need-genitive-object-certificate-from-work-9bb3306bf0ee,Potrzebuję zaświadczenia z pracy.,I need a certificate from work.,repository-reuse,card:a2-official-matters-019:ex,"[{""kind"":""card"",""id"":""a2-pharmacy-002"",""purpose"":""support""},{""kind"":""drill"",""id"":""people-numbers-comparison-003"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""potrzebuję zaświadczenie"",""guidanceEn"":""Potrzebować takes the Genitive: potrzebuję zaświadczenia (I need a certificate).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-prosic-82f143d28483,prosić,false,imperfective,,vp-m-prosic-request-12aaa8159096,ask for | request,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""interlocutor""},{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""target""}]",case|preposition-case,accusative|accusative,|o,A2,B1,active-production,vp-e-prosic-request-accusative-person-o-accusative-thing-asking-the-boss-for-a-raise-edec4ed77571,Będę prosić szefa o podwyżkę.,I will ask my boss for a raise.,repository-reuse,card:b1-career-006:ex,"[{""kind"":""card"",""id"":""a2-restaurant-012"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""proszę mamie o pomoc"",""guidanceEn"":""The person asked is Accusative, not Dative: proszę mamę o pomoc (I ask my mum for help).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-prosic-82f143d28483,prosić,false,imperfective,,vp-m-prosic-request-12aaa8159096,ask for | request,vp-p-prosic-request-o-accusative-request-06d776fbfd20,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""target""}]",preposition-case,accusative,o,A1,A2,active-production,vp-e-prosic-request-o-accusative-request-passport-please-37568555b13c,Proszę o paszport.,"Your passport, please.",repository-reuse,card:a2-official-matters-007:ex,"[{""kind"":""card"",""id"":""a2-restaurant-012"",""purpose"":""support""},{""kind"":""drill"",""id"":""politeness-conditional-004"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-pytac-0410b0f88718,pytać,false,imperfective,,vp-m-pytac-ask-for-information-edc2b66ff9d6,ask | ask about,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""interlocutor""},{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""topic""}]",case|preposition-case,accusative|accusative,|o,A2,B1,active-production,vp-e-pytac-ask-for-information-accusative-person-o-accusative-topic-asking-a-friend-about-a-restaurant-4e51f8927a78,Pytam koleżankę o nową restaurację.,I am asking my friend about the new restaurant.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""pytam mamie o adres"",""guidanceEn"":""The person asked is Accusative: pytam mamę o adres (I ask my mum for the address).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-pytac-0410b0f88718,pytać,false,imperfective,,vp-m-pytac-ask-for-information-edc2b66ff9d6,ask | ask about,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""accusative"",""required"":true,""role"":""topic""}]",preposition-case,accusative,o,A2,A2,active-production,vp-e-pytac-ask-for-information-o-accusative-topic-asking-about-the-price-662fceb895d3,Zawsze pytam o cenę.,I always ask about the price.,editorial-generated,,"[{""kind"":""card"",""id"":""a2-healthcare-appointments-017"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-rozmawiac-dd7ecc80c231,rozmawiać,false,imperfective,,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk | have a conversation,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""o"",""case"":""locative"",""required"":true,""role"":""topic""}]",preposition-case,locative,o,A2,A2,active-production,vp-e-rozmawiac-talk-with-o-locative-topic-talking-about-music-94c6280fa290,Zawsze rozmawiamy o muzyce.,We always talk about music.,editorial-generated,,"[{""kind"":""drill"",""id"":""grammar-cases-locative-003"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-locative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-rozmawiac-dd7ecc80c231,rozmawiać,false,imperfective,,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk | have a conversation,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""z"",""case"":""instrumental"",""required"":true,""role"":""interlocutor""}]",preposition-case,instrumental,z,A2,A2,active-production,vp-e-rozmawiac-talk-with-z-instrumental-interlocutor-talking-to-mum-every-day-e0d2b75493db,Codziennie rozmawiam z mamą.,I talk to my mum every day.,editorial-generated,,"[{""kind"":""drill"",""id"":""grammar-cases-instrumental-005"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-rozmawiac-dd7ecc80c231,rozmawiać,false,imperfective,,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk | have a conversation,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""z"",""case"":""instrumental"",""required"":true,""role"":""interlocutor""},{""type"":""preposition-case"",""preposition"":""o"",""case"":""locative"",""required"":true,""role"":""topic""}]",preposition-case|preposition-case,instrumental|locative,z|o,B1,B1,active-production,vp-e-rozmawiac-talk-with-z-instrumental-o-locative-doctor-about-test-results-6080f6504f29,Rozmawiam z lekarzem o wynikach badań.,I'm talking to the doctor about the test results.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-locative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""rozmawiam z pracy"",""guidanceEn"":""Keep the two roles apart: z + Instrumental is the person, o + Locative is the topic.""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
