reviewId,lemmaId,lemma,meaningId,patternId,relationType,teachingStatus,cefrRecognition,cefrProduction,exampleId,exampleOrigin,d2Verdict,severity,editorialAcceptanceRecommended,meaningFit,patternCorrectness,complementCorrectness,learnerExplanationAssessment,errorNotesAssessment,exampleAssessment,englishAssessment,cefrAssessment,statusAssessment,siblingPatternAssessment,provenanceAssessment,findingId,findingCategory,findingSummary,blockingField,currentValue,blockingRationale,recommendedCorrection,affectsTier1ReferenceScope,freshReferenceVerificationRequired,requiredCanonicalChange,nonblockingNote
P7-NR-011,vp-l-dziekowac-8e4ca359cb86,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,lexical-frame,active-production,A2,B1,vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,editorial-generated:priority7-example-generation:2026-08-16,CHANGES NEEDED,MEDIUM,NO,PASS — The thank scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — dative (recipient, required); za + accusative (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","BLOCK — Semantically aligned, but not natural standalone English; it reads as a literal grammar gloss.",PASS — Recognition A2 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Editorial-generated provenance truthfully records process without claiming human authorship or repository reuse.,P7-D2-001,learner-facing English wording,"The English example is a deliberately literal case-teaching gloss, not a natural standalone translation.",pattern vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f examples[0].en,I thank my sister for dinner.,"With a third-person recipient and no habitual or narrative context, the simple-present English is stilted; the authoring specification requires a natural situation translation rather than a literal mapping chosen to display Polish roles.",Set examples[0].en to 'I say thank you to my sister for dinner.',NO,NO,"FIELD: pattern vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f examples[0].en; CURRENT: I thank my sister for dinner.; WHY: With a third-person recipient and no habitual or narrative context, the simple-present English is stilted; the authoring specification requires a natural situation translation rather than a literal mapping chosen to display Polish roles.; CORRECTION: Set examples[0].en to 'I say thank you to my sister for dinner.'; TIER-1/REFERENCE SCOPE: unaffected; FRESH REFERENCE VERIFICATION: no.",
P7-NR-012,vp-l-placic-d709669437d2,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,lexical-frame,active-production,A1,A2,vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT,NONE,YES,PASS — The pay scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — za + accusative (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,"PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Editorial-generated provenance truthfully records process without claiming human authorship or repository reuse.,,,,,,,,,,,
P7-NR-013,vp-l-placic-d709669437d2,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,means-method,active-production,A1,A1,vp-e-placic-pay-instrumental-method-paying-cash-e1eba53e074b,repository-reuse:card:a1-numbers-prices-017.ex,ACCEPT,NONE,YES,PASS — The pay scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — means-method is appropriate for this selective, meaning-specific construction.","PASS — instrumental (means, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-014,vp-l-uzywac-a617dcf0b2fc,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,lexical-frame,active-production,A2,A2,vp-e-uzywac-use-genitive-object-using-an-app-4ea0e75b504a,repository-reuse:card:b1-media-technology-001.ex,ACCEPT,NONE,YES,PASS — The use scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (object, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A2 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-015,vp-l-prosic-82f143d28483,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-o-accusative-request-06d776fbfd20,lexical-frame,active-production,A1,A2,vp-e-prosic-request-o-accusative-request-passport-please-37568555b13c,repository-reuse:card:a2-official-matters-007.ex,ACCEPT,NONE,YES,PASS — The request scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — o + accusative (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,"PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A1 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-016,vp-l-prosic-82f143d28483,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,lexical-frame,active-production,A2,B1,,,ACCEPT,NONE,YES,PASS — The request scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — accusative (interlocutor, required); o + accusative (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.",PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition A2 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-017,vp-l-interesowac-sie-594d3cf1b5a6,interesować się,vp-m-interesowac-sie-be-interested-in-7a9b8150975b,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,lexical-frame,active-production,A2,A2,vp-e-interesowac-sie-be-interested-in-instrumental-topic-politics-and-sport-9678fabc81e9,repository-reuse:card:a2-leisure-culture-002.ex,ACCEPT,NONE,YES,PASS — The be-interested-in scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — instrumental (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A2 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-018,vp-l-dbac-15ed83f8434d,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,lexical-frame,active-production,B1,B1,vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,editorial-generated:priority7-example-generation:2026-08-16,CHANGES NEEDED,MEDIUM,NO,PASS — The take-care-of scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — o + accusative (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,"PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","BLOCK — The situation is recoverable, but 'look after my fitness' is not an idiomatic neutral-English rendering.",PASS — Recognition B1 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Editorial-generated provenance truthfully records process without claiming human authorship or repository reuse.,P7-D2-002,learner-facing English wording,The English example uses the non-idiomatic collocation 'look after my fitness'.,pattern vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c examples[0].en,I look after my fitness every day.,"English 'look after' normally expresses care or responsibility for a person or thing, not maintaining one's physical condition; the translation is therefore not natural for 'dbam o kondycję'.",Set examples[0].en to 'I work on my fitness every day.',NO,NO,"FIELD: pattern vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c examples[0].en; CURRENT: I look after my fitness every day.; WHY: English 'look after' normally expresses care or responsibility for a person or thing, not maintaining one's physical condition; the translation is therefore not natural for 'dbam o kondycję'.; CORRECTION: Set examples[0].en to 'I work on my fitness every day.'; TIER-1/REFERENCE SCOPE: unaffected; FRESH REFERENCE VERIFICATION: no.",
P7-NR-019,vp-l-tesknic-3c9b07c066c3,tęsknić,vp-m-tesknic-miss-d796ac98d4f5,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,lexical-frame,active-production,B1,B1,vp-e-tesknic-miss-za-instrumental-target-missing-you-b98f2f56ea9f,repository-reuse:card:b1-relationships-012.ex,ACCEPT,NONE,YES,PASS — The miss scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — za + instrumental (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition B1 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — No sibling-pattern conflict exists for this canonical lemma/meaning.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
P7-NR-020,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,lexical-frame,active-production,A2,A2,,,ACCEPT,NONE,YES,PASS — The talk-with scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — z + instrumental (interlocutor, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition A2 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-021,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,lexical-frame,active-production,A2,A2,,,ACCEPT,NONE,YES,PASS — The talk-with scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — o + locative (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.",PASS — No error note is required; the omission creates no contradiction or teaching gap.,PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition A2 and production A2 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-022,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,lexical-frame,active-production,B1,B1,,,ACCEPT,NONE,YES,PASS — The talk-with scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — z + instrumental (interlocutor, required); o + locative (topic, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.",PASS — No example is authored for this row; the locked 29-example pilot does not require one here and the remaining learner material is coherent.,PASS — Not applicable because this pattern has no canonical example.,PASS — Recognition B1 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Not applicable because this row has no canonical example.,,,,,,,,,,,
P7-NR-023,vp-l-bac-sie-0fcafe1aef9f,bać się,vp-m-bac-sie-be-afraid-of-60cc08a05be5,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,lexical-frame,active-production,A2,B1,vp-e-bac-sie-be-afraid-of-genitive-stimulus-spiders-and-flying-05ebb1adaeeb,repository-reuse:card:b1-character-emotions-010.ex,ACCEPT,NONE,YES,PASS — The be-afraid-of scope and glosses isolate the authored sense without claiming exhaustive dictionary valency.,"PASS — lexical-frame is appropriate for this selective, meaning-specific construction.","PASS — genitive (target, required) correctly states the participants, roles, government, and required/optional choices of this pattern.","PASS — Concise, construction-specific, accurate about roles and government, and consistent with the final pattern.","PASS — The note is grammatical, relevant, internally coherent, and pedagogically useful.","PASS — The Polish example is natural, sense-specific, standalone, level-appropriate, and illustrates the governed construction.","PASS — The English is natural and preserves the situation, sense, and participants.",PASS — Recognition A2 and production B1 fit the locked curriculum semantics.,PASS — active-production and the default-false activity allowlist are internally consistent.,PASS — The sibling rows preserve distinct senses/frames and the learner wording keeps their participant mappings coherent.,PASS — Repository reuse resolves to the declared source exactly.,,,,,,,,,,,
