patternId,lemma,meaningKey,priorState,finalState,reviewerRef,reviewedAt,scopeVersion,tier3ScopeDigest,supersededDigest,supersededReviewedAt,tier1Current,tier2Current,contentChanged
vp-p-miec-possess-accusative-object-7181f802bd57,mieć,possess,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:c0511d930f936124ffdaac2bcd74b2e2f84d5f2613c40006305365b8242181e3,sha256:5bbf5716859eaec828d092c5e47e927a208a262b9047b267e810eeee6974f063,2026-08-17,yes,yes,no
vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,mówić,tell-content,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:8a1e38583a1e4d2e74f544c1664bf35df7546000fab93fbe97a80965d23a513f,sha256:6e435a1762ed9bd59cdb5f75856b45abd3cef4499e4badac7e513962a3b31305,2026-08-17,yes,yes,no
vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,mówić,tell-content,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:4cbae9363bbf497b4618b30716b90722f6166d39cf2c28bf09a9c0fb5ae71d41,sha256:c34a591c0b0a93540045e98ef97ff93b198e05da098f51e85b5d8a0621ecdd25,2026-08-17,yes,yes,no
vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć,think-about,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:a7f44ca64aaf37059092e52e780acca06fdb61ab23e4062389cd83cfab8253b3,sha256:5e5d5049cc9adcc5c7e724ce0735954f39e13c1e12583837631e0b1cb13b200e,2026-08-17,yes,yes,no
vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się,care-for,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:d88db8cd82a6ac17a51ce1a4689e3648db5c15ea07c52b4a924e1e73356246db,sha256:fca3774cddae09c439994c8fbc4fc0f2a4a8602797c24b3c2e78a8d843261b9c,2026-08-17,yes,yes,no
vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić,pay,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:0f5a91b7d14414957e3d66756e3fdb829aaa7941a23146f43a36ef650970e1bb,sha256:30b29bde926cbb98d9e9e15d366cd63081d2157d752cd4f1b932404040d49431,2026-08-17,yes,yes,no
vp-p-placic-pay-za-accusative-goods-73c6760c091d,płacić,pay,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:ad740bee93176d65e5bf531fdeceec1fa2e9dd93cbaf94998a13500d00bf5691,sha256:23261f22a5b3d63a92c5f50e0f1b7a2e90a0dcefcdd1c2086bb6d9c738fa6cef,2026-08-17,yes,yes,no
vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się,appeal-to,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:6968668d63136cdce1af2b72f18b005d46c3ad3550e58d7b89bc2e94edcbe2c2,sha256:efab9b694b8c5ba244fe023319a76ee9d97767f2e618442188ebe32d7f1c8610,2026-08-17,yes,yes,no
vp-p-pomagac-assist-dative-recipient-9f0a375c5e81,pomagać,assist,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:55c47b9c41b525c0084825b5d32742ad2f561de502d2681a5dea338b679c8717,sha256:727e97ffe99ff5fa98062a07544f746595aab4eda7402d9d5545e94bbacf7f79,2026-08-17,yes,yes,no
vp-p-pomagac-assist-dative-recipient-w-locative-area-1e507dcdb869,pomagać,assist,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:444c5599f784b03e99e3ad62a24b335838b8231f2629ef3e2d8fc7faa0149440,sha256:e047e3e99416736206c2a85ce52f6c047c0f3ffc82ac52eced291ee59d012aa7,2026-08-17,yes,yes,no
vp-p-potrzebowac-need-genitive-object-437fafad17d2,potrzebować,need,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:fbe7df00f4970510ea9750b8fc65bb2185fae4747f8fc27bcd36c050ea2ac8c9,sha256:9b12fa472a765996d432a0d6c793da02f864106d5ef86e4ddb950fda40d864ed,2026-08-17,yes,yes,no
vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,prosić,request,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:d65de8e66247b3a0cd88159aecc7d0fe381420ce91f5720633376aaef5246232,sha256:c0f610357cf3818af0ef92afd784f5960b3ae63c6e2a05039ae1f62e81385ff2,2026-08-17,yes,yes,no
vp-p-prosic-request-o-accusative-request-06d776fbfd20,prosić,request,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:6defb789f3d948b78cb56d671c8514de315dc1188ebdbb8c5eb0715830e1d37d,sha256:2b4a9b94f8a453386670c76226ce21e21454c97a152bb53962bf19181c9c43c5,2026-08-17,yes,yes,no
vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,pytać,ask-for-information,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:1c87e8ab48c6e30b81af986d50901747d464bf5e80fdeed065c3d0fecde7fb9b,sha256:bb12b72ca3782911e0f7781c94af3dc8f5330a34ca1ea01eeedae21f4acc0d7d,2026-08-17,yes,yes,no
vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,pytać,ask-for-information,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:0cad580360cd7cc676796b055c737a89fb34d317c5eec1cf03ed38a5ccda96c1,sha256:4a10ef11c4933c7e8dfcec109df6ab8b9d14e7e13becd650900143c5a0bc6514,2026-08-17,yes,yes,no
vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,rozmawiać,talk-with,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:e5e4d6a88ad646926139715d119ce68fce1edeb0992086ba0618fa1d09989490,sha256:63ab2a847cea4ee1f0c1365fad4be6b557921897713b58ea57197ce5e7237c07,2026-08-17,yes,yes,no
vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,rozmawiać,talk-with,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:80063bbc73fa99ac80f5724f692594b356ed0334ef5a813860f1d33e974c66e6,sha256:5603893c77f77a03244f556f1517f195f76226e03a11180c8a42913c45116b8d,2026-08-17,yes,yes,no
vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,rozmawiać,talk-with,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:196259c091bec738bc68e790fd61d30499abe4adb97d70e0342505c147c5dd06,sha256:e664ac2a00806eda09d4886e9b10a86e492669a767e71d8b514a536de1647762,2026-08-17,yes,yes,no
vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,słuchać,listen-to,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:b6af0c7dff15e195cc8cadb110b5e3b38aa1b1cb48350c10b03cf63662079ca6,sha256:8cec11d2b3047a29c8f3518178ef5deb2d0ff643274bc0efe8645583c126a09c,2026-08-17,yes,yes,no
vp-p-sluchac-obey-genitive-object-674adae2dec3,słuchać,obey,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:9d2f2898321c3dbbb8569105a13040f6fa9b058aec72bb5574a43287cf22e092,sha256:d5bc1c16955e2392c3e4f0e18993fc2f78fa8f37b6aec9e733c2822935b0beb0,2026-08-17,yes,yes,no
vp-p-szukac-seek-genitive-target-71dc6eff512c,szukać,seek,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:d1f2c661160acaa717f4fe9e7f0c01fd18208e1aa62138e63fe34fb7acc2b970,sha256:4792776f3021d9fe40bc378d5b85b54bc40d3642a31c300a32bd0155e45e1884,2026-08-17,yes,yes,no
vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić,miss,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:41a31b3a295660387c2d08a2488b36cc9bf3f8947b1d91500e5819d1167e0e92,sha256:7b900a6bf50ee0ea96984114cefe53de04fe573e6d81125e17f59be3d2dc5db0,2026-08-17,yes,yes,no
vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,uczyć się,study,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:45773301f3764fd2c1160901210ebdcc715ec6242059dab211d35be30e0c2544,sha256:7d69f8f0353ec7651617b6bf967dada9411c181ae40bf623ac123a70ea3de471,2026-08-17,yes,yes,no
vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,uczyć się,study,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:af2dcfd0088ff2c9ea05df3a9e3b6abb454d3690c35e39080bbb8b501a1af858,sha256:13ee3d7420a8f9a86b0a7559282fe70330c8f5bf1097a45db1c774e8badcd9ee,2026-08-17,yes,yes,no
vp-p-ufac-trust-dative-object-10988adac8cd,ufać,trust,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:45195955f24b35064fea249eee3b8262ed7f434cebfce1dcbd7ae666312c6258,sha256:0b1da43bfe1cb1b3a0c67a3ea49ece406e028da1f686ecf5c4ef34beaa92c96c,2026-08-17,yes,yes,no
vp-p-uzywac-use-genitive-object-2c5cb44fe85d,używać,use,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:a74cb0058a51b20f31a8a449f47fe328de8800a83fb7dbd59583d20b5c5b4a6a,sha256:ac7d9f5756a661e03295cc72795613d270b5d84e78c364ad1c8d63e211609f9b,2026-08-17,yes,yes,no
vp-p-widziec-perceive-visually-accusative-object-80b697e51432,widzieć,perceive-visually,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:d1a067b778dd61badcca0f68f4fc782f4d42584988d5134d17fe16f72da5d0f6,sha256:d7a426241913e2fd63c5419bb9ded99fbe9814082fcfcbf83eae68234823c6a9,2026-08-17,yes,yes,no
vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć,have-trust,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:e1574564b89fd3adb9e052c7d2b21c0e8798e3ad014263331464b737d5c8638c,sha256:b749444696a140eef0a4adb5f841913944152c47469a09640db817b00d71bc65,2026-08-17,yes,yes,no
vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,wierzyć,have-trust,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:2852c0883199fdca98c2398f729a5d187f27debe5b5b3e908e63bd32523178eb,sha256:8b4098137c3bbc61f18075b37d8a1f9dd7a4b130f2453da73c68d9b579ff3bd7,2026-08-17,yes,yes,no
vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się,occupation-activity,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:9f5c0105cd951cf7a6645c4de4903320935fe62085fd93da989681ff78cc81fe,sha256:e40f3578ea259cdc1a1d69124ab9376ecc19511085f58db5db5e29198e80ad71,2026-08-17,yes,yes,no
vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,zależeć,depend-on,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:16281abeda74d4588ef26cc4c0de3458c1555a4f3332f3f4170ac37b14111e6f,sha256:770600fe533ff87a9af6e0e4cfae3fe847353ccaac4cde0a9577208600bea520,2026-08-17,yes,yes,no
vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,zależeć,matter-to-someone,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:ba575f3e28d89a552526e023f5881503d2534f7dcabaad5aa2852113a719b6dd,sha256:5ba0eb15397f5234360d55760fce081732048738fc39d5bfcde4f1a35cb4b911,2026-08-17,yes,yes,no
vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,znać,be-acquainted-with,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:29a82711a7bfef3bc63672f8d6dbf2576c038aa8c28802132e60b7882c302fe5,sha256:5b9b4e8826a2ad89f543b80e9663d30ce0ba1caa721884a2b0e168e40a6c624f,2026-08-17,yes,yes,no
vp-p-znalezc-find-accusative-object-d80c52211462,znaleźć,find,editorial-reviewed,approved,product-owner-001,2026-08-18,1,sha256:fddd4b01dc3340abc593e004f69923891f308dcb365b26e51837417767a1e52c,sha256:7d237d060db6320cadbe1ef2c562e4493decd1ee71928045b2eea449ff545594,2026-08-17,yes,yes,no
