reviewId,patternId,lemma,priorState,finalState,productApprovalScopeTier,productApprovalScopeDigest,digestRecomputesAgainstLiveRow,productOwnerRef,productOwnerHuman,productOwnerRoles,acknowledgedReleaseMode,decision,approvalDate,sourceDecision,productOwnerPerformedLinguisticReview,referenceAcceptancesPreserved,editorialAcceptancesPreserved,contentFieldsChanged,activityEligibilityGranted,releaseActionCreated
P7-NR-016,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,prosić,editorial-reviewed,approved,product-approval,sha256:c0f610357cf3818af0ef92afd784f5960b3ae63c6e2a05039ae1f62e81385ff2,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-017,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,interesować się,editorial-reviewed,approved,product-approval,sha256:f3680a2819261c5fdce2b5c8edbeb742443b8a3d615ad76d1b44502383a98f65,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-018,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,dbać,editorial-reviewed,approved,product-approval,sha256:695241db94fb86a1a01629a64441a604daf3da762c8c62986895e29fea0beb41,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-019,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić,editorial-reviewed,approved,product-approval,sha256:7b900a6bf50ee0ea96984114cefe53de04fe573e6d81125e17f59be3d2dc5db0,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-020,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,rozmawiać,editorial-reviewed,approved,product-approval,sha256:5603893c77f77a03244f556f1517f195f76226e03a11180c8a42913c45116b8d,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-021,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,rozmawiać,editorial-reviewed,approved,product-approval,sha256:63ab2a847cea4ee1f0c1365fad4be6b557921897713b58ea57197ce5e7237c07,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-022,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,rozmawiać,editorial-reviewed,approved,product-approval,sha256:e664ac2a00806eda09d4886e9b10a86e492669a767e71d8b514a536de1647762,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-023,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się,editorial-reviewed,approved,product-approval,sha256:a7f666441f7ad0bac6f4a26a6e80fe41ea9c635b6ebeaea03e0ab25a25607ac0,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-024,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,bać się,editorial-reviewed,approved,product-approval,sha256:001086f30b7487e8d6149d3db165be3ff4c26b0f1bfa8522a68f3b56b423fea6,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-025,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być,editorial-reviewed,approved,product-approval,sha256:e661ea4801e087f0781c02a3408fa68e3510e1f0c2374d2c9a629e4a9554e990,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-026,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,znać,editorial-reviewed,approved,product-approval,sha256:5b9b4e8826a2ad89f543b80e9663d30ce0ba1caa721884a2b0e168e40a6c624f,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-027,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lubić,editorial-reviewed,approved,product-approval,sha256:c54a7cfe7429e84c7394d6ba5670a17e1bebc401090f6a707417fca236151d7f,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-028,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lubić,editorial-reviewed,approved,product-approval,sha256:b64dfc696aec6a0639bf4d9db24daeb475a4c30d60692be4ef0898da6ed208f4,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-029,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,mówić,editorial-reviewed,approved,product-approval,sha256:6e435a1762ed9bd59cdb5f75856b45abd3cef4499e4badac7e513962a3b31305,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,2,1,0,0,no
P7-NR-030,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,mówić,editorial-reviewed,approved,product-approval,sha256:c34a591c0b0a93540045e98ef97ff93b198e05da098f51e85b5d8a0621ecdd25,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,2,1,0,0,no
P7-NR-031,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,pytać,editorial-reviewed,approved,product-approval,sha256:4a10ef11c4933c7e8dfcec109df6ab8b9d14e7e13becd650900143c5a0bc6514,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-032,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,pytać,editorial-reviewed,approved,product-approval,sha256:bb12b72ca3782911e0f7781c94af3dc8f5330a34ca1ea01eeedae21f4acc0d7d,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-033,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,widzieć,editorial-reviewed,approved,product-approval,sha256:d7a426241913e2fd63c5419bb9ded99fbe9814082fcfcbf83eae68234823c6a9,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-034,vp-p-miec-possess-accusative-object-7181f802bd57,mieć,editorial-reviewed,approved,product-approval,sha256:5bbf5716859eaec828d092c5e47e927a208a262b9047b267e810eeee6974f063,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-035,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć,editorial-reviewed,approved,product-approval,sha256:5e5d5049cc9adcc5c7e724ce0735954f39e13c1e12583837631e0b1cb13b200e,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-036,vp-p-znalezc-find-accusative-object-d80c52211462,znaleźć,editorial-reviewed,approved,product-approval,sha256:7d237d060db6320cadbe1ef2c562e4493decd1ee71928045b2eea449ff545594,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-037,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się,editorial-reviewed,approved,product-approval,sha256:efab9b694b8c5ba244fe023319a76ee9d97767f2e618442188ebe32d7f1c8610,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-038,vp-p-ufac-trust-dative-object-10988adac8cd,ufać,editorial-reviewed,approved,product-approval,sha256:0b1da43bfe1cb1b3a0c67a3ea49ece406e028da1f686ecf5c4ef34beaa92c96c,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-039,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć,editorial-reviewed,approved,product-approval,sha256:b749444696a140eef0a4adb5f841913944152c47469a09640db817b00d71bc65,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-040,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,wierzyć,editorial-reviewed,approved,product-approval,sha256:8b4098137c3bbc61f18075b37d8a1f9dd7a4b130f2453da73c68d9b579ff3bd7,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-041,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się,editorial-reviewed,approved,product-approval,sha256:e40f3578ea259cdc1a1d69124ab9376ecc19511085f58db5db5e29198e80ad71,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-042,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,zajmować się,editorial-reviewed,approved,product-approval,sha256:4c0444dbef473a5ef9f757f4724834dc2a3bfb3db6e28db4bbb27a4f3c38bb7b,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-043,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się,editorial-reviewed,approved,product-approval,sha256:fca3774cddae09c439994c8fbc4fc0f2a4a8602797c24b3c2e78a8d843261b9c,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-044,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,zależeć,editorial-reviewed,approved,product-approval,sha256:770600fe533ff87a9af6e0e4cfae3fe847353ccaac4cde0a9577208600bea520,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
P7-NR-045,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,zależeć,editorial-reviewed,approved,product-approval,sha256:5ba0eb15397f5234360d55760fce081732048738fc39d5bfcde4f1a35cb4b911,yes,product-owner-001,true,product-approval,solo-maintainer-reference-backed,ACCEPT,2026-08-17,"Single explicit product-owner decision APPROVE ALL, returned after visual inspection of all 45 patterns in the Priority 7 learner interface",no,1,1,0,0,no
