provisional_rank,lemma,phase0_rank,phase0_score,provisional_status,cefr_hypothesis,aspect,aspect_partner,aspect_partner_status,reflexive,repository_evidence_summary,coverage_opportunity,representation_fit,motion_flag,meaning_sensitive_flag,phase3_risk,phase3_verification_question,replacement_priority,selection_rationale
24,czytać,24,35,provisional - Phase 3 verification required,A1,imperfective,przeczytać,selected provisional,no,a1-free-time-003; verbs-aspect-004,Accusative text [accusative],compatible,no,no,medium,"Does contemporary evidence support Accusative text for czytać, and does czytać independently justify a slot apart from przeczytać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 3/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
25,przeczytać,25,31,provisional - Phase 3 verification required,A2,perfective,czytać,selected provisional,no,verbs-past-tense; verbs-aspect,Accusative text [accusative],compatible,no,no,medium,"Does contemporary evidence support Accusative text for przeczytać, and does przeczytać independently justify a slot apart from czytać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 3/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
26,pisać,26,33,provisional - Phase 3 verification required,A1,imperfective,napisać,selected provisional,no,verbs-present-tense; b1-career-012,Accusative text; do + Genitive addressee [accusative; preposition+genitive],compatible,no,yes,medium,"Does contemporary evidence support Accusative text; do + Genitive addressee for pisać, and does pisać independently justify a slot apart from napisać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
27,napisać,27,29,provisional - Phase 3 verification required,A2,perfective,pisać,selected provisional,no,verbs-aspect; verbs-future-tense-005,Accusative text; do + Genitive addressee [accusative; preposition+genitive],compatible,no,yes,medium,"Does contemporary evidence support Accusative text; do + Genitive addressee for napisać, and does napisać independently justify a slot apart from pisać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 2/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
28,przynosić,28,32,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-healthcare-appointments-016,Dative recipient + Accusative thing [dative+accusative],probably compatible - verify,no,no,high,"Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for the imperfective przynosić itself, independent of evidence for przynieść?",high,Everyday usefulness 3/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
29,radzić sobie,96,33,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,no,b1-healthy-lifestyle-014; scenarios-neighbours,z + Instrumental problem [preposition+instrumental],compatible,no,no,high,"Does contemporary evidence support radzić sobie + z + Instrumental as a governed architecture-compatible coping construction, and does the lexical phrase independently justify a slot alongside advice-sense radzić?",medium,"Everyday usefulness 3/5; repository-frequency signal 2/5; construction-learning value 5/5; promoted for direct repository coping contexts, non-motion preposition + Instrumental diversity, locked-model fit, and lower complexity than competing reserves; syntax and independent identity remain unverified."
30,spotykać się,30,36,provisional - Phase 3 verification required,A2,imperfective,spotkać się,selected provisional,yes,a1-free-time-016; verbs-reflexive-006,z + Instrumental person [preposition+instrumental],compatible,no,yes,medium,"Does contemporary evidence support z + Instrumental person for spotykać się, and does spotykać się independently justify a slot apart from spotkać się without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
31,spotkać się,31,35,provisional - Phase 3 verification required,A2,perfective,spotykać się,selected provisional,yes,a2-leisure-culture-011,z + Instrumental person [preposition+instrumental],compatible,no,no,medium,"Does contemporary evidence support z + Instrumental person for spotkać się, and does spotkać się independently justify a slot apart from spotykać się without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
32,umówić się,32,35,provisional - Phase 3 verification required,A2,perfective,,no in-pool partner identified,yes,a2-healthcare-appointments-003; scenarios-healthcare-appointments,z + Instrumental person; na + Accusative appointment; do + Genitive professional [multi-preposition],probably compatible - verify,no,yes,medium,"Which combinations of z + Instrumental, na + Accusative, and do + Genitive are governed for each appointment/agreement meaning, and which are adjuncts?",medium,"Everyday usefulness 4/5; repository-frequency signal 5/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
33,dzwonić,33,32,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-healthcare-appointments-002; scenarios-healthcare-appointments,do + Genitive person; w sprawie + Genitive [preposition+genitive],compatible,no,yes,medium,"Does contemporary evidence support do + Genitive person; w sprawie + Genitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 2/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
34,odpowiadać,34,30,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,building-sentences-relative-clauses; repository-wide inflected occurrences,Dative person; na + Accusative question [dative; preposition+accusative],probably compatible - verify,no,yes,high,"Does contemporary evidence support Dative person and na + Accusative question for the exact scoped meanings, and can an exact repository frame be located?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
35,powiedzieć,35,30,provisional - Phase 3 verification required,A2,perfective,,no in-pool partner identified,no,grammar-cases-dative-006; building-sentences-so-that-004,Dative recipient + Accusative/że clause; żeby clause [dative+accusative/clause],probably compatible - verify,no,yes,medium,"Which recipient, object, że-clause, and żeby-clause combinations are governed in distinct scoped meanings rather than collapsed polysemy?",medium,"Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
36,oglądać,36,34,provisional - Phase 3 verification required,A1,imperfective,obejrzeć,selected provisional,no,a1-free-time-004,Accusative content [accusative],compatible,no,no,medium,"Does contemporary evidence support Accusative content for oglądać, and does oglądać independently justify a slot apart from obejrzeć without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 3/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
37,obejrzeć,37,32,provisional - Phase 3 verification required,A2,perfective,oglądać,selected provisional,no,b1-culture-entertainment-019; verbs-modal-verbs-008,Accusative content [accusative],compatible,no,no,medium,"Does contemporary evidence support Accusative content for obejrzeć, and does obejrzeć independently justify a slot apart from oglądać without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 3/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
38,gotować,38,40,provisional - Phase 3 verification required,A1,imperfective,,no in-pool partner identified,no,a1-free-time-010; a2-food-shopping-005,Accusative food; Dative beneficiary only if supported [accusative/dative],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Accusative food; Dative beneficiary only if supported as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
39,zamawiać,39,31,provisional - Phase 3 verification required,A2,imperfective,zamówić,reserve,no,a2-restaurant; scenarios-shops-services,Accusative item; u + Genitive provider [accusative; preposition+genitive],probably compatible - verify,no,yes,high,"Does contemporary evidence support Accusative item; u + Genitive provider as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
40,rezerwować,40,37,provisional - Phase 3 verification required,A2,imperfective,zarezerwować,reserve,no,a2-travel-holidays-007; politeness-conditional-011,Accusative booking; dla + Genitive person [accusative; preposition+genitive],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Accusative booking; dla + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
41,zaczynać,41,25,provisional - Phase 3 verification required,A2,imperfective,zacząć,selected provisional,no,a2-daily-life; repository inflected occurrences,Accusative activity; + infinitive [accusative/infinitive],probably compatible - verify,no,yes,high,"Does contemporary evidence support Accusative activity; + infinitive for zaczynać, and does zaczynać independently justify a slot apart from zacząć without pattern inheritance?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 3/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
42,zacząć,42,24,provisional - Phase 3 verification required,A2,perfective,zaczynać,selected provisional,no,repository inflected occurrences,Accusative activity; + infinitive [accusative/infinitive],probably compatible - verify,no,yes,high,"Does contemporary evidence support Accusative activity; + infinitive for zacząć, and does zacząć independently justify a slot apart from zaczynać without pattern inheritance?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 3/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
43,kończyć,43,26,provisional - Phase 3 verification required,A2,imperfective,skończyć,selected provisional,no,scenarios-work-university; repository inflected occurrences,Accusative task; + infinitive only if corroborated [accusative],probably compatible - verify,no,yes,high,"Does contemporary evidence support Accusative task; + infinitive only if corroborated for kończyć, and does kończyć independently justify a slot apart from skończyć without pattern inheritance?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 3/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
44,skończyć,44,29,provisional - Phase 3 verification required,A2,perfective,kończyć,selected provisional,no,scenarios-work-university,Accusative task; z + Instrumental only in supported sense [accusative; preposition+instrumental],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Accusative task; z + Instrumental only in supported sense for skończyć, and does skończyć independently justify a slot apart from kończyć without pattern inheritance?",medium,Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; provisionally clears the independent aspect-value test; Phase 3 must confirm the extra slot beats opportunity cost.
45,wracać,45,37,provisional - Phase 3 verification required,A1,imperfective,wrócić,selected provisional,no,a2-daily-life-004,do + Genitive; z + Genitive origin [preposition+genitive],probably compatible - verify,yes,no,high,Does either proposed do/z + Genitive expression qualify as governed for the scoped return meaning rather than goal/source adjunct?,medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
46,wrócić,46,35,provisional - Phase 3 verification required,A2,perfective,wracać,selected provisional,no,scenarios-doctor; a2-daily-life-004,do + Genitive; z + Genitive origin [preposition+genitive],probably compatible - verify,yes,no,high,Does this perfective independently justify a slot and support any governed complement not inherited from wracać?,medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
47,przyjść,47,35,provisional - Phase 3 verification required,A2,perfective,przychodzić,reserve,no,verbs-verbs-of-motion-007; verbs-motion-prefixes-002,do + Genitive person/place; na + Accusative event [preposition+genitive/accusative],probably compatible - verify,yes,yes,high,Which proposed event/person expressions are governed rather than ordinary arrival destination/time adjuncts?,medium,"Everyday usefulness 4/5; repository-frequency signal 4/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
48,przyjechać,48,36,provisional - Phase 3 verification required,A2,perfective,przyjeżdżać,reserve,no,verbs-motion-prefixes-008; scenarios-city-transport,do + Genitive; z + Genitive origin [preposition+genitive],probably compatible - verify,yes,no,high,"Is there an independently useful governed frame after destination, source, route, time, and vehicle adjuncts are removed?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
49,wyjść,49,32,provisional - Phase 3 verification required,A2,perfective,wychodzić,reserve,no,verbs-motion-prefixes-003; a1-morning-routine-017,z + Genitive; do + Genitive destination; na + Accusative event [preposition+genitive/accusative],probably compatible - verify,yes,yes,high,Are z + Genitive and any na + Accusative use selected in the exact scoped exit/event senses rather than free adjuncts?,medium,"Everyday usefulness 4/5; repository-frequency signal 5/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
50,wyjechać,50,34,provisional - Phase 3 verification required,A2,perfective,wyjeżdżać,reserve,no,verbs-motion-prefixes-010,z + Genitive origin; do + Genitive destination [preposition+genitive],probably compatible - verify,yes,no,high,Is there a governed source/goal construction that independently justifies the slot after ordinary motion adjuncts are removed?,medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; strong practical/repository motion value justifies provisional research, but no adjunct coverage is credited and the family is capped."
51,cieszyć się,51,36,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,yes,b1-character-emotions-011; data-verbs reflexive teach,z + Genitive cause; że clause [preposition+genitive/clause],compatible,no,yes,medium,"Does contemporary evidence support z + Genitive cause; że clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
52,martwić się,52,30,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,yes,verbs-imperative-003; b1-character-emotions,o + Accusative person/thing; że clause [preposition+accusative/clause],compatible,no,yes,medium,Does the proposed o + Accusative / clause scope remain distinct enough from released bać się to justify a separate lemma?,medium,"Everyday usefulness 4/5; repository-frequency signal 2/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
53,zgadzać się,53,34,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,yes,b1-expressing-opinions-002; b1-relationships-021,z + Instrumental person/view; na + Accusative proposal [preposition+instrumental/accusative],compatible,no,yes,medium,"Does contemporary evidence support z + Instrumental person/view; na + Accusative proposal as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
54,pamiętać,54,25,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,b1-media-technology-007; b1-urban-party-slang-004,o + Locative; Accusative remembered content; żeby clause [preposition+locative/accusative/clause],probably compatible - verify,no,yes,high,"Which of o + Locative, direct Accusative, and żeby-clause belong to distinct supported meanings and fit deterministic teaching?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
55,zapominać,55,25,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,repository inflected occurrences,o + Locative; Genitive object; żeby clause [preposition+locative/genitive/clause],probably compatible - verify,no,yes,high,"Does contemporary evidence support the proposed o + Locative, Genitive object, and żeby-clause scopes despite weak direct repository evidence?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
56,próbować,56,30,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-food-shopping; repository inflected occurrences,+ infinitive; Genitive sampled object as separate meaning [infinitive/genitive],probably compatible - verify,no,yes,high,"Does contemporary evidence support + infinitive; Genitive sampled object as separate meaning as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
57,przepraszać,57,34,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,b1-relationships-016; politeness-formal-address-004,Accusative person; za + Accusative reason [accusative; preposition+accusative],compatible,no,no,low,"Does contemporary evidence support Accusative person; za + Accusative reason as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 3/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
