reviewId,patternId,lemma,changeTypes,fieldPath,polishIllustration,newEnglishGloss,beforeFieldText,afterFieldText,newExamplePl,newExampleEn,exampleOrigin,repositorySource,priorState,finalState,correctionEventCreated,tier1Changed,tier2Changed,tier3Changed,freshProductApprovalCreated
P7-NR-014,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,używać,translation-gloss,errorNotes[0].guidanceEn,używam tej aplikacji,I use this app,Używać takes the Genitive: używam tej aplikacji.,Używać takes the Genitive: używam tej aplikacji (I use this app).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-015,vp-p-prosic-request-o-accusative-request-06d776fbfd20,prosić,translation-gloss,learnerExplanationEn,proszę o rachunek,"the bill, please",Use o + Accusative for what you ask for: proszę o rachunek.,"Use o + Accusative for what you ask for: proszę o rachunek (the bill, please).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-016,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,prosić,translation-gloss+first-example,errorNotes[0].guidanceEn,proszę mamę o pomoc,I ask my mum for help,"The person asked is Accusative, not Dative: proszę mamę o pomoc.","The person asked is Accusative, not Dative: proszę mamę o pomoc (I ask my mum for help).",Będę prosić szefa o podwyżkę.,I will ask my boss for a raise.,repository-reuse,card:b1-career-006.ex,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-017,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,interesować się,translation-gloss,errorNotes[0].guidanceEn,interesuję się sportem,I'm interested in sport,"No preposition: use the bare Instrumental, interesuję się sportem.","No preposition: use the bare Instrumental, interesuję się sportem (I'm interested in sport).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-018,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,dbać,translation-gloss,learnerExplanationEn,dbam o zdrowie,I take care of my health,Use o + Accusative for what you take care of: dbam o zdrowie.,Use o + Accusative for what you take care of: dbam o zdrowie (I take care of my health).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-019,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić,translation-gloss,learnerExplanationEn,tęsknię za domem,I miss home,Use za + Instrumental for whoever or whatever you miss: tęsknię za domem.,Use za + Instrumental for whoever or whatever you miss: tęsknię za domem (I miss home).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-019,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić,translation-gloss,errorNotes[0].guidanceEn,tęsknię za tobą,I miss you,Tęsknić needs za with the Instrumental: tęsknię za tobą.,Tęsknić needs za with the Instrumental: tęsknię za tobą (I miss you).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-020,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,rozmawiać,translation-gloss+first-example,learnerExplanationEn,rozmawiam z koleżanką,I'm talking to a friend,Use z + Instrumental for the person you talk to: rozmawiam z koleżanką.,Use z + Instrumental for the person you talk to: rozmawiam z koleżanką (I'm talking to a friend).,Codziennie rozmawiam z mamą.,I talk to my mum every day.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-021,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,rozmawiać,translation-gloss+first-example,learnerExplanationEn,rozmawiamy o pracy,we're talking about work,Use o + Locative for the topic you talk about: rozmawiamy o pracy.,Use o + Locative for the topic you talk about: rozmawiamy o pracy (we're talking about work).,Zawsze rozmawiamy o muzyce.,We always talk about music.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-022,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,rozmawiać,first-example,,,,,,Rozmawiam z lekarzem o wynikach badań.,I'm talking to the doctor about the test results.,editorial-generated,,approved,editorial-reviewed,no,no,yes,yes,no
P7-NR-023,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się,translation-gloss,learnerExplanationEn,boję się burzy,I'm afraid of the storm,What you are afraid of goes in the Genitive: boję się burzy.,What you are afraid of goes in the Genitive: boję się burzy (I'm afraid of the storm).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-023,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się,translation-gloss,errorNotes[0].guidanceEn,boję się pająków,I'm afraid of spiders,Bać się takes the Genitive: boję się pająków.,Bać się takes the Genitive: boję się pająków (I'm afraid of spiders).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-024,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,bać się,translation-gloss+first-example,learnerExplanationEn,boję się o dzieci,I'm worried about the children,"To say who you worry about, use o + Accusative: boję się o dzieci.","To say who you worry about, use o + Accusative: boję się o dzieci (I'm worried about the children).","Boimy się o dziadka, bo mieszka sam.",We're worried about our grandad because he lives alone.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-025,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być,translation-gloss,learnerExplanationEn,jestem studentem,I'm a student,"For a role or profession after być, use the Instrumental: jestem studentem.","For a role or profession after być, use the Instrumental: jestem studentem (I'm a student).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-025,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być,translation-gloss,errorNotes[0].guidanceEn,jestem studentem,I'm a student,After być a role or profession takes the Instrumental: jestem studentem.,After być a role or profession takes the Instrumental: jestem studentem (I'm a student).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-026,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,znać,translation-gloss,learnerExplanationEn,znam tę restaurację,I know this restaurant,Znać takes a plain Accusative object: znam tę restaurację.,Znać takes a plain Accusative object: znam tę restaurację (I know this restaurant).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-027,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lubić,translation-gloss,learnerExplanationEn,lubię kawę,I like coffee,"For a thing you enjoy, lubić takes a plain Accusative object: lubię kawę.","For a thing you enjoy, lubić takes a plain Accusative object: lubię kawę (I like coffee).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-028,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lubić,translation-gloss,learnerExplanationEn,lubię czytać,I like reading,"To say which activity you enjoy, use an infinitive: lubię czytać.","To say which activity you enjoy, use an infinitive: lubię czytać (I like reading).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-029,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,mówić,translation-gloss+first-example,learnerExplanationEn,mówię prawdę,I'm telling the truth,The thing told is Accusative and the person told is Dative; the person can be left out: mówię prawdę.,The thing told is Accusative and the person told is Dative; the person can be left out: mówię prawdę (I'm telling the truth).,Zawsze mówię rodzicom prawdę.,I always tell my parents the truth.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-030,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,mówić,translation-gloss+first-example,learnerExplanationEn,"mówię, że to prawda",I say that it's true,"The same meaning with clause content: że introduces what is said, and the person, if named, is Dative: mówię, że to prawda.","The same meaning with clause content: że introduces what is said, and the person, if named, is Dative: mówię, że to prawda (I say that it's true).","Mówię ci, że to dobry pomysł.",I'm telling you that it's a good idea.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-031,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,pytać,translation-gloss,learnerExplanationEn,pytam o cenę,I ask about the price,Use o + Accusative for what you ask about: pytam o cenę.,Use o + Accusative for what you ask about: pytam o cenę (I ask about the price).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-032,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,pytać,translation-gloss,errorNotes[0].guidanceEn,pytam mamę o adres,I ask my mum for the address,The person asked is Accusative: pytam mamę o adres.,The person asked is Accusative: pytam mamę o adres (I ask my mum for the address).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-033,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,widzieć,translation-gloss,learnerExplanationEn,widzę kota,I see a cat,Widzieć takes a plain Accusative object: widzę kota.,Widzieć takes a plain Accusative object: widzę kota (I see a cat).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-034,vp-p-miec-possess-accusative-object-7181f802bd57,mieć,translation-gloss,learnerExplanationEn,mam psa,I have a dog,Mieć takes a plain Accusative object: mam psa.,Mieć takes a plain Accusative object: mam psa (I have a dog).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-035,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć,translation-gloss,learnerExplanationEn,myślę o wakacjach,I'm thinking about the holidays,Use o + Locative for what you think about: myślę o wakacjach.,Use o + Locative for what you think about: myślę o wakacjach (I'm thinking about the holidays).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-035,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć,translation-gloss,errorNotes[0].guidanceEn,myślę o wakacjach,I'm thinking about the holidays,After o in this meaning use the Locative: myślę o wakacjach.,After o in this meaning use the Locative: myślę o wakacjach (I'm thinking about the holidays).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-036,vp-p-znalezc-find-accusative-object-d80c52211462,znaleźć,translation-gloss,errorNotes[0].guidanceEn,znaleźć mieszkanie,to find a flat,Znaleźć takes the Accusative: znaleźć mieszkanie. Only szukać uses the Genitive.,Znaleźć takes the Accusative: znaleźć mieszkanie (to find a flat). Only szukać uses the Genitive.,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-037,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się,translation-gloss+first-example,learnerExplanationEn,ten film mi się podoba,I like this film,The thing liked is the subject and the person is Dative: ten film mi się podoba.,The thing liked is the subject and the person is Dative: ten film mi się podoba (I like this film).,"Szczerze mówiąc, nie podoba mi się ten film.","To be honest, I don't like this movie.",repository-reuse,card:b1-expressing-opinions-004.ex,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-037,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się,translation-gloss+first-example,errorNotes[0].guidanceEn,ten film mi się podoba,I like this film,The thing liked is the subject and the person is Dative: ten film mi się podoba.,The thing liked is the subject and the person is Dative: ten film mi się podoba (I like this film).,"Szczerze mówiąc, nie podoba mi się ten film.","To be honest, I don't like this movie.",repository-reuse,card:b1-expressing-opinions-004.ex,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-038,vp-p-ufac-trust-dative-object-10988adac8cd,ufać,translation-gloss+first-example,learnerExplanationEn,ufam bratu,I trust my brother,The person you trust goes in the Dative: ufam bratu.,The person you trust goes in the Dative: ufam bratu (I trust my brother).,Ufam swojej nauczycielce.,I trust my teacher.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-038,vp-p-ufac-trust-dative-object-10988adac8cd,ufać,translation-gloss+first-example,errorNotes[0].guidanceEn,ufam mojemu bratu,I trust my brother,"Ufać takes the Dative, not the Accusative: ufam mojemu bratu.","Ufać takes the Dative, not the Accusative: ufam mojemu bratu (I trust my brother).",Ufam swojej nauczycielce.,I trust my teacher.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-039,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć,translation-gloss+first-example,learnerExplanationEn,wierzę ci,I believe you,"To believe a person, use the Dative: wierzę ci.","To believe a person, use the Dative: wierzę ci (I believe you).","Wierzę koleżance, bo nigdy nie kłamie.",I believe my friend because she never lies.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-039,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć,translation-gloss+first-example,errorNotes[0].guidanceEn,nie wierzę mu,I don't believe him,Wierzyć takes the Dative: nie wierzę mu.,Wierzyć takes the Dative: nie wierzę mu (I don't believe him).,"Wierzę koleżance, bo nigdy nie kłamie.",I believe my friend because she never lies.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-040,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,wierzyć,translation-gloss+first-example,learnerExplanationEn,wierzę w tego lekarza,I believe in this doctor,"For confidence in a person or thing, use w + Accusative: wierzę w tego lekarza.","For confidence in a person or thing, use w + Accusative: wierzę w tego lekarza (I believe in this doctor).",Trener wierzy w tę drużynę.,The coach believes in this team.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-041,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się,translation-gloss+first-example,learnerExplanationEn,zajmuję się marketingiem,I work in marketing,What you do or deal with takes the bare Instrumental: zajmuję się marketingiem.,What you do or deal with takes the bare Instrumental: zajmuję się marketingiem (I work in marketing).,Mój tata zajmuje się naprawą komputerów.,My dad works in computer repair.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-041,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się,translation-gloss+first-example,errorNotes[0].guidanceEn,zajmuję się marketingiem,I work in marketing,"No preposition: use the bare Instrumental, zajmuję się marketingiem.","No preposition: use the bare Instrumental, zajmuję się marketingiem (I work in marketing).",Mój tata zajmuje się naprawą komputerów.,My dad works in computer repair.,editorial-generated,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-042,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,zajmować się,none,,,,,,,,,,approved,approved,no,no,no,no,no
P7-NR-043,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się,translation-gloss,learnerExplanationEn,opiekuję się babcią,I look after my grandmother,Who or what you look after takes the bare Instrumental: opiekuję się babcią.,Who or what you look after takes the bare Instrumental: opiekuję się babcią (I look after my grandmother).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-043,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się,translation-gloss,errorNotes[0].guidanceEn,opiekuję się babcią,I look after my grandmother,"No preposition: use the bare Instrumental, opiekuję się babcią.","No preposition: use the bare Instrumental, opiekuję się babcią (I look after my grandmother).",,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-044,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,zależeć,translation-gloss,learnerExplanationEn,to zależy od pogody,it depends on the weather,Use od + Genitive for what something depends on: to zależy od pogody.,Use od + Genitive for what something depends on: to zależy od pogody (it depends on the weather).,,,,,approved,editorial-reviewed,yes,no,yes,yes,no
P7-NR-045,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,zależeć,first-example,,,,,,Bardzo mi zależy na tej pracy.,This job really matters to me.,editorial-generated,,approved,editorial-reviewed,no,no,yes,yes,no
