verification_order,provisional_rank,lemma,queue_priority,primary_risk_driver,representation_fit,motion_flag,aspect_pair_flag,phase3_verification_question,replacement_profile
29,29,radzić sobie,high,lexical identity and non-duplicative value alongside radzić,compatible,no,no,"Does contemporary evidence support radzić sobie + z + Instrumental as a governed architecture-compatible coping construction, and does the lexical phrase independently justify a slot alongside advice-sense radzić?","if independent value fails, return it to reserve and choose a verified non-motion diversity candidate"
30,15,kupować,medium,double-slotted aspect partner / independent-value test,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative goods; dla + Genitive beneficiary for kupować, and does kupować independently justify a slot apart from kupić without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
31,16,kupić,medium,double-slotted aspect partner / independent-value test,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative goods; Dative recipient in give/buy-for contexts only if supported for kupić, and does kupić independently justify a slot apart from kupować without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
32,20,dawać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Dative recipient + Accusative thing for dawać, and does dawać independently justify a slot apart from dać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
33,21,dać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Dative recipient + Accusative thing for dać, and does dać independently justify a slot apart from dawać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
34,22,brać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative object; brać udział w + Locative as separate meaning for brać, and does brać independently justify a slot apart from wziąć without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
35,23,wziąć,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative object; wziąć udział w + Locative for wziąć, and does wziąć independently justify a slot apart from brać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
36,24,czytać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative text for czytać, and does czytać independently justify a slot apart from przeczytać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
37,25,przeczytać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative text for przeczytać, and does przeczytać independently justify a slot apart from czytać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
38,26,pisać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative text; do + Genitive addressee for pisać, and does pisać independently justify a slot apart from napisać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
39,27,napisać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative text; do + Genitive addressee for napisać, and does napisać independently justify a slot apart from pisać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
40,30,spotykać się,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support z + Instrumental person for spotykać się, and does spotykać się independently justify a slot apart from spotkać się without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
41,31,spotkać się,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support z + Instrumental person for spotkać się, and does spotkać się independently justify a slot apart from spotykać się without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
42,36,oglądać,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative content for oglądać, and does oglądać independently justify a slot apart from obejrzeć without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
43,37,obejrzeć,medium,double-slotted aspect partner / independent-value test,compatible,no,yes,"Does contemporary evidence support Accusative content for obejrzeć, and does obejrzeć independently justify a slot apart from oglądać without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
44,44,skończyć,medium,double-slotted aspect partner / independent-value test,probably compatible - verify,no,yes,"Does contemporary evidence support Accusative task; z + Instrumental only in supported sense for skończyć, and does skończyć independently justify a slot apart from kończyć without pattern inheritance?","collapse to one family slot first, then use a verified diversity reserve"
45,1,chcieć,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support + infinitive; żeby-clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
46,4,robić,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support Accusative object; robić + activity as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
47,11,rozumieć,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support Accusative content/person; clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
48,17,mieszkać,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Does contemporary evidence support w + Locative; z + Instrumental co-resident as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
49,32,umówić się,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Which combinations of z + Instrumental, na + Accusative, and do + Genitive are governed for each appointment/agreement meaning, and which are adjuncts?",verified lexical-się or matched-domain reserve without identity inheritance
50,33,dzwonić,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support do + Genitive person; w sprawie + Genitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
51,35,powiedzieć,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Which recipient, object, że-clause, and żeby-clause combinations are governed in distinct scoped meanings rather than collapsed polysemy?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
52,38,gotować,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Does contemporary evidence support Accusative food; Dative beneficiary only if supported as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
53,40,rezerwować,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Does contemporary evidence support Accusative booking; dla + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
54,51,cieszyć się,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support z + Genitive cause; że clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",verified lexical-się or matched-domain reserve without identity inheritance
55,52,martwić się,medium,meaning-sensitive scope or competing frames,compatible,no,no,Does the proposed o + Accusative / clause scope remain distinct enough from released bać się to justify a separate lemma?,verified lexical-się or matched-domain reserve without identity inheritance
56,53,zgadzać się,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support z + Instrumental person/view; na + Accusative proposal as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",verified lexical-się or matched-domain reserve without identity inheritance
57,58,zapraszać,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support Accusative person; na + Accusative event; do + Genitive place as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
58,59,polecać,medium,meaning-sensitive scope or competing frames,compatible,no,no,"Does contemporary evidence support Dative recipient + Accusative item; + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
59,61,radzić,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Does contemporary evidence support Dative person + infinitive; Dative + clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",verified B1 reserve if learner value and evidence are at least as strong
60,68,pasować,medium,meaning-sensitive scope or competing frames,probably compatible - verify,no,no,"Do fit/suit and match meanings support the proposed Dative experiencer and do + Genitive relations, including the correct relation type?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
61,2,móc,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support + infinitive; permission question as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
62,3,musieć,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
63,12,wiedzieć,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support że/czy/interrogative clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
64,13,jeść,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support Accusative object; Genitive under negation is grammar-owned as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
65,14,pić,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support Accusative object as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
66,19,kochać,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support Accusative person/thing as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
67,57,przepraszać,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support Accusative person; za + Accusative reason as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
68,62,życzyć,low,routine sense-specific frame confirmation,probably compatible - verify,no,no,"Does contemporary evidence support Dative recipient + Genitive wished thing as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
69,66,korzystać,low,routine sense-specific frame confirmation,compatible,no,no,"Does contemporary evidence support z + Genitive resource as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
70,67,uczyć,low,routine sense-specific frame confirmation,probably compatible - verify,no,no,"Does contemporary evidence support Accusative person + Genitive subject; + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","verified reserve matching CEFR corridor, practical domain, and supported coverage need"
