reviewId,lemmaId,lemma,meaningId,patternId,relationType,teachingStatus,cefrRecognition,cefrProduction,exampleId,exampleOrigin,d1Verdict,severity,editorialAcceptanceRecommended,meaningFit,patternCorrectness,complementCorrectness,learnerExplanationAssessment,errorNotesAssessment,exampleAssessment,englishAssessment,cefrAssessment,statusAssessment,siblingPatternAssessment,provenanceAssessment,findingId,findingSummary,requiredCanonicalChange,nonblockingNote
P7-NR-011,vp-l-dziekowac-8e4ca359cb86,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,lexical-frame,active-production,A2,B1,vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - Dative siostrze plus za + Accusative kolacje; durable key no longer descriptive,"ACCURATE BUT LITERAL - 'I thank my sister for dinner' is role-transparent, slightly formal",PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-004,"Durable key 'thanks-for-cooperation' and the ID minted from it no longer describe the sentence (now 'Dziekuje siostrze za kolacje'). The English 'I thank my sister for dinner' is a literal, slightly formal rendering.",,"Durable key 'thanks-for-cooperation' and the ID minted from it no longer describe the sentence (now 'Dziekuje siostrze za kolacje'). The English 'I thank my sister for dinner' is a literal, slightly formal rendering. Nonblocking because: Wording is not the durable identity key under the Phase 1 stable-ID specification, and key opacity was accepted in Phase 4F-C2B/C2C. The English is grammatical, role-transparent and unambiguous; only its register is at issue."
P7-NR-012,vp-l-placic-d709669437d2,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,lexical-frame,active-production,A1,A2,vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - za + Accusative on both conjuncts; durable key no longer descriptive,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-005,Durable key 'how-much-for-everything' and the ID minted from it no longer describe the sentence (now 'Place za kawe i gazete').,,Durable key 'how-much-for-everything' and the ID minted from it no longer describe the sentence (now 'Place za kawe i gazete'). Nonblocking because: Same opaque-identifier condition already accepted in Phase 4F-C2B/C2C; no learner-facing field is affected.
P7-NR-013,vp-l-placic-d709669437d2,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,means-method,active-production,A1,A1,vp-e-placic-pay-instrumental-method-paying-cash-e1eba53e074b,repository-reuse:card:a1-numbers-prices-017.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - means-method relation fits the bare Instrumental instrument,"CORRECT - required:true is construction-scoped, not verb-scoped",ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-006,"The Instrumental means slot is required:true although WSJP shows CZYM co-occurring with, and not required by, za CO; the locked ROLE_PHRASES.means renders as 'how it is done', which reads as manner rather than payment instrument.",,"The Instrumental means slot is required:true although WSJP shows CZYM co-occurring with, and not required by, za CO; the locked ROLE_PHRASES.means renders as 'how it is done', which reads as manner rather than payment instrument. Nonblocking because: 'required' is scoped to the taught construction, not to the verb, and the corpus applies that convention consistently. The learner-facing surface is unambiguous: learnerExplanationEn says 'To say how you pay' with karta/gotowka and the errorNote targets *place z karta. The phrasebook is global and locked, so no canonical change is available."
P7-NR-014,vp-l-uzywac-a617dcf0b2fc,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,lexical-frame,active-production,A2,A2,vp-e-uzywac-use-genitive-object-using-an-app-4ea0e75b504a,repository-reuse:card:b1-media-technology-001.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-015,vp-l-prosic-82f143d28483,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-o-accusative-request-06d776fbfd20,lexical-frame,active-production,A1,A2,vp-e-prosic-request-o-accusative-request-passport-please-37568555b13c,repository-reuse:card:a2-official-matters-007.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-016,vp-l-prosic-82f143d28483,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,lexical-frame,active-production,A2,B1,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NO EXAMPLE - evidence note wording partly superseded by AB's Phase 4C acceptance,P7-D1-007,"The repository evidence note still reads 'a research candidate awaiting human external and native confirmation', which is partly superseded: AB (native-reviewer-001) accepted all 45 rows as presented on 2026-08-13. The locked ROLE_PHRASES.interlocutor ('the person you talk to') fits rozmawiac, not prosic. No canonical example.",,"The repository evidence note still reads 'a research candidate awaiting human external and native confirmation', which is partly superseded: AB (native-reviewer-001) accepted all 45 rows as presented on 2026-08-13. The locked ROLE_PHRASES.interlocutor ('the person you talk to') fits rozmawiac, not prosic. No canonical example. Nonblocking because: External verification genuinely remains outstanding for the whole corpus, so the note is imprecise rather than false, and it is an internal research annotation with no learner-facing render path. The row's pedagogical payload works: the generated headline separates the two Accusatives by diagnostic question."
P7-NR-017,vp-l-interesowac-sie-594d3cf1b5a6,interesować się,vp-m-interesowac-sie-be-interested-in-7a9b8150975b,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,lexical-frame,active-production,A2,A2,vp-e-interesowac-sie-be-interested-in-instrumental-topic-politics-and-sport-9678fabc81e9,repository-reuse:card:a2-leisure-culture-002.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-018,vp-l-dbac-15ed83f8434d,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,lexical-frame,active-production,B1,B1,vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE BUT SLIGHTLY UNIDIOMATIC - 'look after my fitness',PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",P7-D1-008,The English 'I look after my fitness every day' is a slightly unidiomatic rendering of 'Codziennie dbam o kondycje'.,,"The English 'I look after my fitness every day' is a slightly unidiomatic rendering of 'Codziennie dbam o kondycje'. Nonblocking because: Meaning, case and role are conveyed correctly and the Polish is natural contemporary usage; only the English collocation is at issue."
P7-NR-019,vp-l-tesknic-3c9b07c066c3,tęsknić,vp-m-tesknic-miss-d796ac98d4f5,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,lexical-frame,active-production,B1,B1,vp-e-tesknic-miss-za-instrumental-target-missing-you-b98f2f56ea9f,repository-reuse:card:b1-relationships-012.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-020,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,lexical-frame,active-production,A2,A2,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-021,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,lexical-frame,active-production,A2,A2,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - required:true is construction-scoped; WSJP parenthesises the slot,"ACCURATE - plural illustration is stylistic, not an encoded restriction",NONE PRESENT,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-009,"required:true is authored on a slot WSJP parenthesises, '(o CZYM)', and learnerExplanationEn illustrates with a plural subject ('rozmawiamy o pracy').",,"required:true is authored on a slot WSJP parenthesises, '(o CZYM)', and learnerExplanationEn illustrates with a plural subject ('rozmawiamy o pracy'). Nonblocking because: Adjudicated in Phase 4F-B3A: WSJP's plural-subject/singular-subject split idealises the entry rather than the language, the authored pattern licenses no error, and the plural is a stylistic choice, not an encoded restriction."
P7-NR-022,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,lexical-frame,active-production,B1,B1,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-023,vp-l-bac-sie-0fcafe1aef9f,bać się,vp-m-bac-sie-be-afraid-of-60cc08a05be5,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,lexical-frame,active-production,A2,B1,vp-e-bac-sie-be-afraid-of-genitive-stimulus-spiders-and-flying-05ebb1adaeeb,repository-reuse:card:b1-character-emotions-010.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,"CORRECT - key/role vocabulary mismatch only, no linguistic effect",CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-010,Pattern key says 'genitive-stimulus' while the complement role is 'target'.,,"Pattern key says 'genitive-stimulus' while the complement role is 'target'. Nonblocking because: ROLES is a closed ten-value enum in priority7_tooling.py with no 'stimulus' member, so there is no canonical change available inside the locked model. Kept as model-vocabulary debt for a post-pilot enum review."
P7-NR-024,vp-l-bac-sie-0fcafe1aef9f,bać się,vp-m-bac-sie-worry-about-3a50faed54bf,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,lexical-frame,recognition-only,B1,,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-025,vp-l-byc-8deae1e7376a,być,vp-m-byc-predicate-role-93c209d5654b,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,constructional-frame,active-production,A1,A2,vp-e-byc-predicate-role-instrumental-predicate-first-year-student-181cc5a0b335,repository-reuse:card:a2-work-education-016.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-026,vp-l-znac-a4c921e7688c,znać,vp-m-znac-be-acquainted-with-54b71d59f073,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,lexical-frame,active-production,A1,A1,vp-e-znac-be-acquainted-with-accusative-object-know-this-restaurant-966b2c8de5a3,repository-reuse:card:a1-first-verbs-012.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
