reviewId,lemmaId,lemma,lemmaAspect,lemmaReflexive,meaningId,meaningKey,meaningGlossesEn,meaningInternalScope,patternId,patternKey,relationType,complements,cefrRecognition,cefrProduction,teachingStatus,usagePriority,usageRegister,activityEligibility,learnerExplanationEn,errorNotes,examplePl,exampleEn,exampleId,exampleKey,exampleOrigin,evidenceSources,evidenceNotes,reviewState,releaseMode,contentRefs,siblingPatterns
P7-NR-011,vp-l-dziekowac-8e4ca359cb86,dziękować,imperfective,false,vp-m-dziekowac-thank-f19a15334790,thank,thank,"Expressing gratitude. The reason is za + Accusative; the person thanked, when named, is Dative.",vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dative-recipient-za-accusative,lexical-frame,"dative (recipient, required); za + accusative (topic, required)",A2,B1,active-production,common,neutral,,Name the person in the Dative and the reason with za + Accusative: dziękuję komuś za coś.,predicted-distractor: dziękuję mamę za pomoc -> The person thanked is Dative: dziękuję mamie za pomoc.,Dziękuję siostrze za kolację.,I thank my sister for dinner.,vp-e-dziekowac-thank-dative-recipient-za-accusative-thanks-for-cooperation-92656ebcc371,thanks-for-cooperation,editorial-generated:priority7-example-generation:2026-08-16,"wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/22696/dziekowac - Skladnia, KOMU + za CO frame | repository/complement-frame: data-grammar.js#grammar-cases-dative-005",Existing Dative drill combines a Dative recipient with za + Accusative.,reference-verified,solo-maintainer-reference-backed,drill:grammar-cases-dative-005(practice) | topic:grammar-cases-dative(support),"P7-NR-010 [thank] za-accusative-reason (za + accusative (topic, required)) active-production"
P7-NR-012,vp-l-placic-d709669437d2,płacić,imperfective,false,vp-m-placic-pay-dd4705572184,pay,pay,Handing over money in an everyday transaction. Covers what is paid for and how payment is made; excludes the figurative 'pay with one's health' sense.,vp-p-placic-pay-za-accusative-goods-73c6760c091d,za-accusative-goods,lexical-frame,"za + accusative (target, required)",A1,A2,active-production,core,neutral,,Use za + Accusative for what you are paying for: płacę za bilet.,,Płacę za kawę i gazetę.,I am paying for a coffee and a newspaper.,vp-e-placic-pay-za-accusative-goods-how-much-for-everything-dd5e5c88cfd4,how-much-for-everything,editorial-generated:priority7-example-generation:2026-08-16,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/15760/placic/1877686 (sense 'pieniedzmi') - Skladnia | medak-2011-headword-index/lemma: headword index entry 406 | repository/complement-frame: data-a1.js#a1-numbers-prices-015,"Contemporary Skladnia lists za CO in three of five frames as the thing paid for. | Listed form for płacić; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A1 price card uses za + Accusative.",reference-verified,solo-maintainer-reference-backed,card:a1-numbers-prices-015(support) | topic:grammar-cases-accusative(support),"P7-NR-013 [pay] instrumental-method (instrumental (means, required)) active-production"
P7-NR-013,vp-l-placic-d709669437d2,płacić,imperfective,false,vp-m-placic-pay-dd4705572184,pay,pay,Handing over money in an everyday transaction. Covers what is paid for and how payment is made; excludes the figurative 'pay with one's health' sense.,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,instrumental-method,means-method,"instrumental (means, required)",A1,A1,active-production,core,neutral,,"To say how you pay, use the bare Instrumental: płacę kartą, płacę gotówką.","predicted-distractor: płacę z kartą -> No preposition here: the means of payment is a bare Instrumental, płacę kartą.",Płacę gotówką.,I am paying in cash.,vp-e-placic-pay-instrumental-method-paying-cash-e1eba53e074b,paying-cash,repository-reuse:card:a1-numbers-prices-017.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/15760/placic/1877686 (sense 'pieniedzmi') - Skladnia | repository/complement-frame: data-a1.js#a1-numbers-prices-017 | repository/usage-register: data-a2.js#a2-quantities-money-022,"Contemporary Skladnia lists CZYM as an independent means slot that co-occurs with, and is not required by, the za CO slot. | Existing A1 card teaches the bare Instrumental means phrase. | Existing A2 money card treats card and cash payment as core everyday phrases.",reference-verified,solo-maintainer-reference-backed,card:a1-numbers-prices-017(support) | card:a2-quantities-money-022(support) | topic:grammar-cases-instrumental(support),"P7-NR-012 [pay] za-accusative-goods (za + accusative (target, required)) active-production"
P7-NR-014,vp-l-uzywac-a617dcf0b2fc,używać,imperfective,false,vp-m-uzywac-use-bf360f430fed,use,use,Employing a thing as a tool or means to do something.,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,genitive-object,lexical-frame,"genitive (object, required)",A2,A2,active-production,core,neutral,,What you use goes in the Genitive after używać: ask czego?,predicted-distractor: używam tę aplikację -> Używać takes the Genitive: używam tej aplikacji.,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,vp-e-uzywac-use-genitive-object-using-an-app-4ea0e75b504a,using-an-app,repository-reuse:card:b1-media-technology-001.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/15960/uzywac/4070089 - Skladnia | medak-2011-headword-index/lemma: headword index entry 767 | repository/complement-frame: data-b1.js#b1-media-technology-001,"Contemporary Skladnia gives a single CZEGO frame with an optional do CZEGO purpose slot. | Listed form for używać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing B1 card uses a Genitive object.",reference-verified,solo-maintainer-reference-backed,card:a2-ecology-024(support) | topic:grammar-cases-genitive(support),
P7-NR-015,vp-l-prosic-82f143d28483,prosić,imperfective,false,vp-m-prosic-request-12aaa8159096,request,ask for; request,Politely asking for a thing or an action. Excludes the invite sense (prosić na przyjęcie) and the call-to-the-phone sense.,vp-p-prosic-request-o-accusative-request-06d776fbfd20,o-accusative-request,lexical-frame,"o + accusative (target, required)",A1,A2,active-production,core,neutral,,Use o + Accusative for what you ask for: proszę o rachunek.,,Proszę o paszport.,"Your passport, please.",vp-e-prosic-request-o-accusative-request-passport-please-37568555b13c,passport-please,repository-reuse:card:a2-official-matters-007.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Skladnia | medak-2011-headword-index/lemma: headword index entry 488 | repository/complement-frame: data-a2.js#a2-official-matters-007,"Contemporary Skladnia lists o CO first among six frames for this sense. | Listed form for prosić; headword-inventory presence only, no detailed entry exposed in the demo. | Existing A2 card teaches o + Accusative in a service context.",reference-verified,solo-maintainer-reference-backed,card:a2-restaurant-012(support) | drill:politeness-conditional-004(practice) | topic:grammar-cases-accusative(support),"P7-NR-016 [request] accusative-person-o-accusative-thing (accusative (interlocutor, required); o + accusative (target, required)) active-production"
P7-NR-016,vp-l-prosic-82f143d28483,prosić,imperfective,false,vp-m-prosic-request-12aaa8159096,request,ask for; request,Politely asking for a thing or an action. Excludes the invite sense (prosić na przyjęcie) and the call-to-the-phone sense.,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,accusative-person-o-accusative-thing,lexical-frame,"accusative (interlocutor, required); o + accusative (target, required)",A2,B1,active-production,common,neutral,,The person asked is Accusative and the thing asked for takes o + Accusative.,"predicted-distractor: proszę mamie o pomoc -> The person asked is Accusative, not Dative: proszę mamę o pomoc.",,,,,,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Skladnia | wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Polaczenia i Cytaty | repository/complement-frame: data-a2.js#a2-restaurant-012,"Formal Skladnia establishes an o CO slot and, separately, a bare CO object slot; it encodes no combined schema. The combined frame is attested in the entry's own usage material instead. | Polaczenia attests human Accusative objects, and this sense's Cytaty include contemporary usage realising the Accusative person and the o + Accusative request together in one clause. | Existing A2 restaurant template shows a polite request with an addressee. The complete combined two-complement frame is a research candidate awaiting human external and native confirmation.",reference-verified,solo-maintainer-reference-backed,card:a2-restaurant-012(support) | topic:grammar-cases-accusative(support),"P7-NR-015 [request] o-accusative-request (o + accusative (target, required)) active-production"
P7-NR-017,vp-l-interesowac-sie-594d3cf1b5a6,interesować się,imperfective,true,vp-m-interesowac-sie-be-interested-in-7a9b8150975b,be-interested-in,be interested in,Having a hobby or field of interest one wants to know more about. The lexical się is part of the verb; interesować (to interest someone) is a different lemma.,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,instrumental-topic,lexical-frame,"instrumental (topic, required)",A2,A2,active-production,core,neutral,,The subject you are interested in takes the bare Instrumental: ask kim? czym?,"predicted-distractor: interesuję się o sport -> No preposition: use the bare Instrumental, interesuję się sportem.",Interesuję się polityką i sportem.,I am interested in politics and sport.,vp-e-interesowac-sie-be-interested-in-instrumental-topic-politics-and-sport-9678fabc81e9,politics-and-sport,repository-reuse:card:a2-leisure-culture-002.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/45141/interesowac-sie/4723955 (sense 'muzyka') - Skladnia | medak-2011-headword-index/lemma: headword index entry 141 | repository/complement-frame: data-grammar.js#grammar-cases-instrumental-014,"Sense 1 is the hobbies-and-interests sense and its Skladnia gives a single bare CZYM Instrumental frame; its collocation section confirms the sense ranges over fields of interest. | Listed form for interesować się; headword-inventory presence only, no detailed entry exposed in the demo. | Existing Instrumental drill teaches the bare Instrumental complement.",reference-verified,solo-maintainer-reference-backed,card:a2-leisure-culture-002(support) | drill:grammar-cases-instrumental-014(practice) | topic:grammar-cases-instrumental(support),
P7-NR-018,vp-l-dbac-15ed83f8434d,dbać,imperfective,false,vp-m-dbac-take-care-of-2b403d3e1b49,take-care-of,take care of; look after,"Making a sustained effort for someone's or something's good condition, including one's own health and appearance.",vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,o-accusative-target,lexical-frame,"o + accusative (target, required)",B1,B1,active-production,common,neutral,,Use o + Accusative for what you take care of: dbam o zdrowie.,,Codziennie dbam o kondycję.,I look after my fitness every day.,vp-e-dbac-take-care-of-o-accusative-target-care-every-day-171833c3174d,care-every-day,editorial-generated:priority7-example-generation:2026-08-16,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/22594/dbac - Skladnia | medak-2011-headword-index/lemma: headword index entry 60 | repository/complement-frame: data-b1.js#b1-healthy-lifestyle-012,"Contemporary Skladnia gives o KOGO/CO plus a zeby-clause frame. | Listed form for dbać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing B1 healthy-lifestyle card teaches the o + Accusative frame.",reference-verified,solo-maintainer-reference-backed,card:b1-healthy-lifestyle-012(support) | topic:grammar-cases-accusative(support),
P7-NR-019,vp-l-tesknic-3c9b07c066c3,tęsknić,imperfective,false,vp-m-tesknic-miss-d796ac98d4f5,miss,miss; long for,"Feeling bad because of separation from a person, place or time one is attached to.",vp-p-tesknic-miss-za-instrumental-target-f866502502c7,za-instrumental-target,lexical-frame,"za + instrumental (target, required)",B1,B1,active-production,core,neutral,,Use za + Instrumental for whoever or whatever you miss: tęsknię za domem.,predicted-distractor: tęsknię ciebie -> Tęsknić needs za with the Instrumental: tęsknię za tobą.,"Tęsknię za tobą, kiedy wyjeżdżasz.",I miss you when you go away.,vp-e-tesknic-miss-za-instrumental-target-missing-you-b98f2f56ea9f,missing-you,repository-reuse:card:b1-relationships-012.ex,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/10732/tesknic/4049588 (sense 'za matka') - Skladnia | medak-2011-headword-index/lemma: headword index entry 696 | repository/complement-frame: data-b1.js#b1-relationships-012,"Contemporary Skladnia lists do KOGO/CZEGO and za KIM/CZYM as alternants; only za + Instrumental is authored for the pilot. | Listed form for tęsknić; headword-inventory presence only, no detailed entry exposed in the demo. | Existing B1 relationships card teaches za + Instrumental.",reference-verified,solo-maintainer-reference-backed,card:b1-relationships-012(support) | topic:grammar-cases-instrumental(support),
P7-NR-020,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,imperfective,false,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk-with,talk; have a conversation,"A two-way spoken exchange. One meaning covers the conversation partner and the topic, which are realised by two different prepositional frames.",vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,z-instrumental-interlocutor,lexical-frame,"z + instrumental (interlocutor, required)",A2,A2,active-production,core,neutral,,Use z + Instrumental for the person you talk to: rozmawiam z koleżanką.,,,,,,,wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia | medak-2011-headword-index/lemma: headword index entry 603 | repository/complement-frame: data-grammar.js#grammar-cases-instrumental-005,"Contemporary Skladnia gives z KIM with an optional o KIM/CZYM topic slot. | Listed form for rozmawiać; headword-inventory presence only, no detailed entry exposed in the demo. | Existing Instrumental drill teaches z + Instrumental with this verb.",reference-verified,solo-maintainer-reference-backed,drill:grammar-cases-instrumental-005(practice) | topic:grammar-cases-instrumental(support),"P7-NR-021 [talk-with] o-locative-topic (o + locative (topic, required)) active-production | P7-NR-022 [talk-with] z-instrumental-o-locative (z + instrumental (interlocutor, required); o + locative (topic, required)) active-production"
P7-NR-021,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,imperfective,false,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk-with,talk; have a conversation,"A two-way spoken exchange. One meaning covers the conversation partner and the topic, which are realised by two different prepositional frames.",vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,o-locative-topic,lexical-frame,"o + locative (topic, required)",A2,A2,active-production,core,neutral,,Use o + Locative for the topic you talk about: rozmawiamy o pracy.,,,,,,,"wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia, o CZYM topic slot | repository/complement-frame: data-grammar.js#grammar-cases-locative-003",o CZYM is the sole complement slot of the plural-subject schema; with a singular subject the z KIM slot of the other schema is obligatory. | Existing Locative drill teaches o + Locative with this verb.,reference-verified,solo-maintainer-reference-backed,drill:grammar-cases-locative-003(practice) | topic:grammar-cases-locative(support),"P7-NR-020 [talk-with] z-instrumental-interlocutor (z + instrumental (interlocutor, required)) active-production | P7-NR-022 [talk-with] z-instrumental-o-locative (z + instrumental (interlocutor, required); o + locative (topic, required)) active-production"
P7-NR-022,vp-l-rozmawiac-dd7ecc80c231,rozmawiać,imperfective,false,vp-m-rozmawiac-talk-with-73fae3a5d72c,talk-with,talk; have a conversation,"A two-way spoken exchange. One meaning covers the conversation partner and the topic, which are realised by two different prepositional frames.",vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,z-instrumental-o-locative,lexical-frame,"z + instrumental (interlocutor, required); o + locative (topic, required)",B1,B1,active-production,common,neutral,,"Both together: z + Instrumental for the person, o + Locative for the topic.","predicted-distractor: rozmawiam z pracy -> Keep the two roles apart: z + Instrumental is the person, o + Locative is the topic.",,,,,,"wsjp-pan/complement-frame: wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia, z KIM + (o KIM/CZYM) frame | repository/contrast: data-grammar.js#grammar-cases-instrumental-005",The two frames are currently taught in separate case topics and are never shown together.,reference-verified,solo-maintainer-reference-backed,topic:grammar-cases-instrumental(support) | topic:grammar-cases-locative(support),"P7-NR-020 [talk-with] z-instrumental-interlocutor (z + instrumental (interlocutor, required)) active-production | P7-NR-021 [talk-with] o-locative-topic (o + locative (topic, required)) active-production"
