row,lemma,meaningKey,patternKey,patternId,releaseMode,authoredFrame,wsjpLocators,observedSkladnia,supportKind,licensingSchema,classification,referenceEvent,endState,rationale
11,dziękować,thank,dative-recipient-za-accusative,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,solo-maintainer-reference-backed,dative + za + accusative,"wsjp.pl/haslo/podglad/22696/dziekowac - Skladnia, KOMU + za CO frame",KOMU + za CO ; KOMU + że ZDANIE ; KOMU + CZYM ; MOWA WPROST,EXACT-FRAME,KOMU + za CO,VERIFIED,accept,reference-verified,The authored two-slot frame is the first listed schema.
12,płacić,pay,za-accusative-goods,vp-p-placic-pay-za-accusative-goods-73c6760c091d,solo-maintainer-reference-backed,za + accusative,wsjp.pl/haslo/podglad/15760/placic/1877686 (sense 'pieniedzmi') - Skladnia,CO + (CZYM) ; KOMU + (CO) + (za CO) ; (KOMU) + (CZYM) + za CO ; CZYM + (za CO) ; (CO) + na CO,EXACT-FRAME,(KOMU) + (CZYM) + za CO,VERIFIED,accept,reference-verified,za CO is obligatory in this schema; it appears in three of the five.
13,płacić,pay,instrumental-method,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/15760/placic/1877686 (sense 'pieniedzmi') - Skladnia,CO + (CZYM) ; KOMU + (CO) + (za CO) ; (KOMU) + (CZYM) + za CO ; CZYM + (za CO) ; (CO) + na CO,EXACT-FRAME,CZYM + (za CO),VERIFIED,accept,reference-verified,"The Instrumental means slot is obligatory here and the za CO slot optional, so the means frame stands independently."
14,używać,use,genitive-object,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/15960/uzywac/4070089 - Skladnia,CZEGO + (do CZEGO),EXACT-FRAME,CZEGO + (do CZEGO),VERIFIED,accept,reference-verified,Single Genitive schema with an optional purpose slot.
15,prosić,request,o-accusative-request,vp-p-prosic-request-o-accusative-request-06d776fbfd20,solo-maintainer-reference-backed,o + accusative,wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Skladnia,o CO ; żeby ZDANIE ; MOWA WPROST ; BEZOKOLICZNIK ; CO ; CZEGO,EXACT-FRAME,o CO,VERIFIED,accept,reference-verified,"o + Accusative is a standalone schema, listed first of six."
16,prosić,request,accusative-person-o-accusative-thing,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,solo-maintainer-reference-backed,accusative + o + accusative,wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Skladnia ; wsjp.pl/haslo/podglad/7501/prosic/4598076 (sense 'o przysluge') - Polaczenia i Cytaty,o CO ; żeby ZDANIE ; MOWA WPROST ; BEZOKOLICZNIK ; CO ; CZEGO,SUBFRAME,Cytaty: Accusative person + o + Accusative in one clause,VERIFIED,accept,reference-verified,"WSJP PAN re-inspected 2026-08-14. Skladnia encodes the two slots separately, but this sense's Cytaty realise the Accusative person and the o request together. Direct usage support for the frame."
17,interesować się,be-interested-in,instrumental-topic,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/45141/interesowac-sie/4723955 (sense 'muzyka') - Skladnia,CZYM,EXACT-FRAME,CZYM,VERIFIED,accept,reference-verified,Single bare Instrumental schema under the interests sense.
18,dbać,take-care-of,o-accusative-target,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,solo-maintainer-reference-backed,o + accusative,wsjp.pl/haslo/podglad/22594/dbac - Skladnia,o KOGO/CO ; żeby ZDANIE,EXACT-FRAME,o KOGO/CO,VERIFIED,accept,reference-verified,Single-sense entry; o + Accusative plus a zeby clause frame.
19,tęsknić,miss,za-instrumental-target,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,solo-maintainer-reference-backed,za + instrumental,wsjp.pl/haslo/podglad/10732/tesknic/4049588 (sense 'za matka') - Skladnia,do KOGO/CZEGO | za KIM/CZYM,EXACT-FRAME,do KOGO/CZEGO | za KIM/CZYM,VERIFIED,accept,reference-verified,za + Instrumental is an attested alternant of the single schema.
20,rozmawiać,talk-with,z-instrumental-interlocutor,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,solo-maintainer-reference-backed,z + instrumental,wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia,z KIM + (o KIM/CZYM) ; (o CZYM),EXACT-FRAME,z KIM + (o KIM/CZYM),VERIFIED,accept,reference-verified,z + Instrumental is the obligatory slot.
21,rozmawiać,talk-with,o-locative-topic,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,solo-maintainer-reference-backed,o + locative,"wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia, o CZYM topic slot",z KIM + (o KIM/CZYM) ; (o CZYM),EXACT-FRAME,(o CZYM),VERIFIED,accept,reference-verified,"The plural-subject schema has o CZYM as its only complement slot, which is the reading the record illustrates (rozmawiamy o pracy)."
22,rozmawiać,talk-with,z-instrumental-o-locative,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,solo-maintainer-reference-backed,z + instrumental + o + locative,"wsjp.pl/haslo/podglad/21480/rozmawiac - Skladnia, z KIM + (o KIM/CZYM) frame",z KIM + (o KIM/CZYM) ; (o CZYM),EXACT-FRAME,z KIM + (o KIM/CZYM),VERIFIED,accept,reference-verified,The combined frame is exactly the first schema with its optional slot filled.
23,bać się,be-afraid-of,genitive-stimulus,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,solo-maintainer-reference-backed,genitive,wsjp.pl/haslo/podglad/2148/bac-sie/5056328 (sense 'bandytow') - Skladnia,KOGO/CZEGO ; że ZDANIE | aby ZDANIE | czy ZDANIE ; BEZOKOLICZNIK,EXACT-FRAME,KOGO/CZEGO,VERIFIED,accept,reference-verified,Bare Genitive stimulus under the danger sense.
24,bać się,worry-about,o-accusative-concern,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,solo-maintainer-reference-backed,o + accusative,wsjp.pl/haslo/podglad/2148/bac-sie/5056329 (sense 'o dzieci') - Skladnia,o KOGO/CO,EXACT-FRAME,o KOGO/CO,VERIFIED,accept,reference-verified,The worry sense is numbered separately with o + Accusative.
25,być,predicate-role,instrumental-predicate,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/31129/byc/4691503 (sense 'aktorem') - Skladnia,JAKI ; CZYM ; z KOGO/CZEGO,EXACT-FRAME,CZYM,VERIFIED,accept,reference-verified,One of three predicative schemas for the role sense.
26,znać,be-acquainted-with,accusative-object,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,solo-maintainer-reference-backed,accusative,"wsjp.pl/haslo/podglad/36807/znac/4083225 (sense 'ludzi, fakty, miejsca') - Skladnia",KOGO/CO ; ZDANIE PYTAJNOZALEŻNE,EXACT-FRAME,KOGO/CO,VERIFIED,accept,reference-verified,Accusative object plus an indirect-question frame.
27,lubić,enjoy-thing-or-activity,accusative-object,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,solo-maintainer-reference-backed,accusative,wsjp.pl/haslo/podglad/37948/lubic/4064835 (sense 'podrozowac') - Skladnia,CO ; BEZOKOLICZNIK ; jak ZDANIE | żeby ZDANIE,EXACT-FRAME,CO,VERIFIED,accept,reference-verified,"The thing/activity sense lists CO; the people sense is numbered separately and lists KOGO, matching the recorded meaning scope."
28,lubić,enjoy-thing-or-activity,infinitive-activity,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,solo-maintainer-reference-backed,infinitive,"wsjp.pl/haslo/podglad/37948/lubic/4064835 (sense 'podrozowac') - Skladnia, BEZOKOLICZNIK frame",CO ; BEZOKOLICZNIK ; jak ZDANIE | żeby ZDANIE,EXACT-FRAME,BEZOKOLICZNIK,VERIFIED,accept,reference-verified,The same sense lists the bare infinitive frame.
29,mówić,tell-content,dative-recipient-accusative-content,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,solo-maintainer-reference-backed,dative + accusative,wsjp.pl/haslo/podglad/7908/mowic/4854655 (sense 'o milosci') - Skladnia,(KOMU) + CO ; (do KOGO) + CO ; (KOMU) + o CZYM ; (do KOGO) + o CZYM ; (KOMU) + że ZDANIE|żeby ZDANIE|ZDANIE PYTAJNOZALEŻNE ; (do KOGO) + że ZDANIE|żeby ZDANIE|ZDANIE PYTAJNOZALEŻNE ; MOWA WPROST,EXACT-FRAME,(KOMU) + CO,VERIFIED,accept,reference-verified,"The combination is one schema, with the Dative addressee marked optional."
30,mówić,tell-content,dative-recipient-ze-clause,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,solo-maintainer-reference-backed,dative + clause,"wsjp.pl/haslo/podglad/7908/mowic/4854655 (sense 'o milosci') - Skladnia, (KOMU) + ze ZDANIE frame",(KOMU) + CO ; (do KOGO) + CO ; (KOMU) + o CZYM ; (do KOGO) + o CZYM ; (KOMU) + że ZDANIE|żeby ZDANIE|ZDANIE PYTAJNOZALEŻNE ; (do KOGO) + że ZDANIE|żeby ZDANIE|ZDANIE PYTAJNOZALEŻNE ; MOWA WPROST,EXACT-FRAME,(KOMU) + że ZDANIE|żeby ZDANIE|ZDANIE PYTAJNOZALEŻNE,VERIFIED,accept,reference-verified,The clause realisation is the same schema shape with a ze clause.
31,pytać,ask-for-information,o-accusative-topic,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,solo-maintainer-reference-backed,o + accusative,wsjp.pl/haslo/podglad/33004/pytac/4871680 (sense 'zeby sie dowiedziec') - Skladnia,KOGO + o KOGO/CO ; KOGO + ZDANIE PYTAJNOZALEŻNE ; MOWA WPROST,SUBFRAME,Polaczenia: o phrase with no expressed addressee,VERIFIED,accept,reference-verified,"WSJP PAN re-inspected 2026-08-14. Skladnia pairs o KOGO/CO with KOGO; Polaczenia realises the o phrase with the addressee omitted. Subframe support, resting on one collocation rather than a class."
32,pytać,ask-for-information,accusative-person-o-accusative-topic,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,solo-maintainer-reference-backed,accusative + o + accusative,"wsjp.pl/haslo/podglad/33004/pytac/4871680 (sense 'zeby sie dowiedziec') - Skladnia, KOGO + o KOGO/CO frame",KOGO + o KOGO/CO ; KOGO + ZDANIE PYTAJNOZALEŻNE ; MOWA WPROST,EXACT-FRAME,KOGO + o KOGO/CO,VERIFIED,accept,reference-verified,"The combined two-slot frame is listed directly, unlike the prosic counterpart."
33,widzieć,perceive-visually,accusative-object,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,solo-maintainer-reference-backed,accusative,wsjp.pl/haslo/podglad/20375/widziec/4938152 (sense 'dziure') - Skladnia,KOGO/CO ; że ZDANIE | ZDANIE PYTAJNOZALEŻNE,EXACT-FRAME,KOGO/CO,VERIFIED,accept,reference-verified,"Sense 1 is the visual-perception sense; the encounter sense is numbered separately, as the record states."
34,mieć,possess,accusative-object,vp-p-miec-possess-accusative-object-7181f802bd57,solo-maintainer-reference-backed,accusative,wsjp.pl/haslo/podglad/42202/miec/4504388 (sense 'samochod') - Skladnia,CO ; (pieniądze) + na CO,EXACT-FRAME,CO,VERIFIED,accept,reference-verified,"Accusative object for the possession sense; the entry has nineteen numbered senses, exactly as the record states."
35,myśleć,think-about,o-locative-topic,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,solo-maintainer-reference-backed,o + locative,wsjp.pl/haslo/podglad/17097/myslec/4692666 (sense 'logicznie') - Skladnia,(o CZYM | nad CZYM) ; (ZDANIE PYTAJNOZALEŻNE) ; (MOWA WPROST),EXACT-FRAME,(o CZYM | nad CZYM),VERIFIED,accept,reference-verified,"o + Locative is one alternant of a single optional slot, as recorded; the opinion and intention senses are numbered separately."
36,znaleźć,find,accusative-object,vp-p-znalezc-find-accusative-object-d80c52211462,solo-maintainer-reference-backed,accusative,wsjp.pl/haslo/podglad/6372/znalezc/5029085 (sense 'prace') - Skladnia,KOGO/CO,EXACT-FRAME,KOGO/CO,VERIFIED,accept,reference-verified,Single Accusative schema for the cited sense.
37,podobać się,appeal-to,nominative-stimulus-dative-experiencer,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,solo-maintainer-reference-backed,nominative + dative,wsjp.pl/haslo/podglad/23408/podobac-sie/4701782 (sense 'z wygladu') - Skladnia,KOMU,EXACT-FRAME,KOMU,VERIFIED,accept,reference-verified,"The Skladnia table carries a subject column alongside KOMU, and a second schema places a clause in that subject position, so the stimulus-subject analysis is structural rather than editorial. This sense's Polaczenia list film, ksiazka and muzyka among the subjects, so it covers the learner treatment without appeal to any neighbouring sense."
38,ufać,trust,dative-object,vp-p-ufac-trust-dative-object-10988adac8cd,solo-maintainer-reference-backed,dative,wsjp.pl/haslo/podglad/2103/ufac/516898 (sense 'przyjacielowi') - Skladnia,KOMU,EXACT-FRAME,KOMU,VERIFIED,accept,reference-verified,Single KOMU schema restricted to a personal subject.
39,wierzyć,have-trust,dative-object,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,solo-maintainer-reference-backed,dative,wsjp.pl/haslo/podglad/2098/wierzyc/667887 (sense 'miec zaufanie') - Skladnia,KOMU/CZEMU ; w KOGO/CO,EXACT-FRAME,KOMU/CZEMU,VERIFIED,accept,reference-verified,The trust sense lists the Dative frame; the four senses the record excludes are numbered separately.
40,wierzyć,have-trust,w-accusative-target,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,solo-maintainer-reference-backed,w + accusative,"wsjp.pl/haslo/podglad/2098/wierzyc/667887 (sense 'miec zaufanie') - Skladnia, w KOGO/CO frame",KOMU/CZEMU ; w KOGO/CO,EXACT-FRAME,w KOGO/CO,VERIFIED,accept,reference-verified,The same trust sense lists the w + Accusative frame.
41,zajmować się,occupation-activity,instrumental-topic,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/19960/zajmowac-sie/5200684 (sense 'gotowaniem') - Skladnia,CZYM,EXACT-FRAME,CZYM,VERIFIED,accept,reference-verified,Bare Instrumental for the activity sense.
42,zajmować się,look-after-person,instrumental-object,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/19960/zajmowac-sie/5200711 (sense 'synem') - Skladnia,KIM/CZYM,EXACT-FRAME,KIM/CZYM,VERIFIED,accept,reference-verified,The caring sense is numbered separately with KIM/CZYM.
43,opiekować się,care-for,instrumental-object,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,solo-maintainer-reference-backed,instrumental,wsjp.pl/haslo/podglad/13572/opiekowac-sie - Skladnia,KIM/CZYM,EXACT-FRAME,KIM/CZYM,VERIFIED,accept,reference-verified,Single-sense entry with one bare Instrumental schema.
44,zależeć,depend-on,od-genitive-source,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,solo-maintainer-reference-backed,od + genitive,wsjp.pl/haslo/podglad/35063/zalezec/3938838 (sense 'cos od czegos') - Skladnia,od CZEGO ; ZDANIE PYTAJNOZALEŻNE,EXACT-FRAME,od CZEGO,VERIFIED,accept,reference-verified,"Sense 1 gives od + Genitive; the personal-dependency sense is numbered separately, as the record states."
45,zależeć,matter-to-someone,dative-experiencer-na-locative,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,solo-maintainer-reference-backed,dative + na + locative,wsjp.pl/haslo/podglad/35063/zalezec/3938840 (sense 'komus na czyms') - Skladnia,KOMU + na CZYM ; KOMU + żeby ZDANIE,EXACT-FRAME,KOMU + na CZYM,VERIFIED,accept,reference-verified,"The subject slot is printed empty, matching the record's impersonal analysis."
