"url","source_file","surface_type","title","main_heading","description","purpose","audience","call_to_action","public_claims","trust_signals","internal_links","crawlable","canonical","in_sitemap","robots_meta","og_complete","twitter_image","og_dimensions","structured_data","offline_precached","inconsistencies","required_live_checks"
"https://popolsku.app/grammar/zdrobnienia-diminutives/","grammar/zdrobnienia-diminutives/index.html","generated grammar page","Zdrobnienia (Diminutives) - Polish grammar explained | Po polsku","Zdrobnienia (Diminutives)","Kawka, chwileczkę, piwko - how Polish shrinks words to sound warm. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/zdrobnienia-diminutives/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/mianownik-nominative/","grammar/mianownik-nominative/index.html","generated grammar page","Mianownik (Nominative) - Polish grammar explained | Po polsku","Mianownik (Nominative)","The dictionary case: the subject of the sentence. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/mianownik-nominative/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/tryb-przypuszczajacy-conditional/","grammar/tryb-przypuszczajacy-conditional/index.html","generated grammar page","Tryb przypuszczający (Conditional) - Polish grammar explained | Po polsku","Tryb przypuszczający (Conditional)","Chciałbym, czy mógłby pan - the -bym ending that turns blunt into polite. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/tryb-przypuszczajacy-conditional/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/narzednik-instrumental/","grammar/narzednik-instrumental/index.html","generated grammar page","Narzędnik (Instrumental) - Polish grammar explained | Po polsku","Narzędnik (Instrumental)","The &#x27;with / by&#x27; case: means, transport, and being someone. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/narzednik-instrumental/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/panowie-panie-panstwo-plural-formal-address/","grammar/panowie-panie-panstwo-plural-formal-address/index.html","generated grammar page","Panowie, Panie, Państwo (Plural formal address) - Polish grammar explained | Po polsku","Panowie, Panie, Państwo (Plural formal address)","Addressing a group formally - and the past tense where the three forms split. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/panowie-panie-panstwo-plural-formal-address/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/dopelniacz-genitive/","grammar/dopelniacz-genitive/index.html","generated grammar page","Dopełniacz (Genitive) - Polish grammar explained | Po polsku","Dopełniacz (Genitive)","The &#x27;of / no / from&#x27; case: absence, possession, quantity. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/dopelniacz-genitive/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/wolacz-vocative/","grammar/wolacz-vocative/index.html","generated grammar page","Wołacz (Vocative) - Polish grammar explained | Po polsku","Wołacz (Vocative)","The address case: calling someone by name or title. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/wolacz-vocative/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/przeczenie-negation/","grammar/przeczenie-negation/index.html","generated grammar page","Przeczenie (Negation) - Polish grammar explained | Po polsku","Przeczenie (Negation)","Nigdy nic nikomu nie mówię - why Polish stacks its negatives. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/przeczenie-negation/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/zeby-so-that-want-to/","grammar/zeby-so-that-want-to/index.html","generated grammar page","Żeby (So that / want to) - Polish grammar explained | Po polsku","Żeby (So that / want to)","Chcę, żebyś przyszedł - wanting, asking, and doing things for a purpose. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/zeby-so-that-want-to/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/liczebniki-numbers-meet-cases/","grammar/liczebniki-numbers-meet-cases/index.html","generated grammar page","Liczebniki (Numbers meet cases) - Polish grammar explained | Po polsku","Liczebniki (Numbers meet cases)","dwa piwa but pięć piw - the number rules Polish is infamous for. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/liczebniki-numbers-meet-cases/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/zaimki-pronouns-determiners/","grammar/zaimki-pronouns-determiners/index.html","generated grammar page","Zaimki (Pronouns &amp; Determiners) - Polish grammar explained | Po polsku","Zaimki (Pronouns &amp; Determiners)","mój, ten, jaki - pointing and owning in Nominative. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/zaimki-pronouns-determiners/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/kazdy-i-wszyscy-every-vs-all/","grammar/kazdy-i-wszyscy-every-vs-all/index.html","generated grammar page","Każdy i Wszyscy (Every vs All) - Polish grammar explained | Po polsku","Każdy i Wszyscy (Every vs All)","każdy takes a singular verb, wszyscy a plural - plus the wszystko trap. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/kazdy-i-wszyscy-every-vs-all/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/narodowosci-nationalities/","grammar/narodowosci-nationalities/index.html","generated grammar page","Narodowości (Nationalities) - Polish grammar explained | Po polsku","Narodowości (Nationalities)","The tricky &#x27;oni&#x27; plurals for 15 common nationalities in Poland. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/narodowosci-nationalities/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/jesli-i-gdyby-conditions/","grammar/jesli-i-gdyby-conditions/index.html","generated grammar page","Jeśli i gdyby (Conditions) - Polish grammar explained | Po polsku","Jeśli i gdyby (Conditions)","Real ifs vs what-ifs - and the future tense English hides. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/jesli-i-gdyby-conditions/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/przymiotniki-adjectives-traits/","grammar/przymiotniki-adjectives-traits/index.html","generated grammar page","Przymiotniki (Adjectives &amp; Traits) - Polish grammar explained | Po polsku","Przymiotniki (Adjectives &amp; Traits)","Describing people: the &#x27;oni&#x27; plural for character traits. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/przymiotniki-adjectives-traits/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/korespondencja-formal-writing/","grammar/korespondencja-formal-writing/index.html","generated grammar page","Korespondencja (Formal writing) - Polish grammar explained | Po polsku","Korespondencja (Formal writing)","Emails, cover letters, and the Witam trap. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/korespondencja-formal-writing/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/stopniowanie-comparison/","grammar/stopniowanie-comparison/index.html","generated grammar page","Stopniowanie (Comparison) - Polish grammar explained | Po polsku","Stopniowanie (Comparison)","Bigger, better, cheapest - comparing with -szy, bardziej, and naj-. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/stopniowanie-comparison/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/celownik-dative/","grammar/celownik-dative/index.html","generated grammar page","Celownik (Dative) - Polish grammar explained | Po polsku","Celownik (Dative)","The &#x27;to / for&#x27; case: indirect objects and how you feel. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/celownik-dative/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/ktory-relative-clauses/","grammar/ktory-relative-clauses/index.html","generated grammar page","Który (Relative clauses) - Polish grammar explained | Po polsku","Który (Relative clauses)","The man who..., the film that... - który declines like an adjective. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar B1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/ktory-relative-clauses/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/miejscownik-locative/","grammar/miejscownik-locative/index.html","generated grammar page","Miejscownik (Locative) - Polish grammar explained | Po polsku","Miejscownik (Locative)","The location case: where things are, what you talk about. Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A1 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/miejscownik-locative/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/grammar/zawody-professions/","grammar/zawody-professions/index.html","generated grammar page","Zawody (Professions) - Polish grammar explained | Po polsku","Zawody (Professions)","How professions change for groups of men (the &#x27;oni&#x27; plural). Clear explanations with tables, examples with Polish pronunciation audio, and free practice drills - Grammar A2 on Po polsku.","Explains one grammar topic with tables, notes, examples and audio","Learners searching a specific grammar topic","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/grammar/zawody-professions/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/","vocabulary/index.html","redirect stub","Po polsku guide","","","Redirects legacy section index to /guide/","(crawlers/legacy links)","Moved to the Po polsku guide","","","/guide/","no (noindex)","https://popolsku.app/guide/","no","noindex","no","no","no","","no","Stale 'Po polsku guide' wording in title and link text; meta-refresh not 301","Requires live-browser verification of redirect status"
"https://popolsku.app/vocabulary/polish-proverbs/","vocabulary/polish-proverbs/index.html","generated vocabulary page","Polish proverbs explained - with literal translations and audio | Po polsku","Polish proverbs explained - with literal translations and audio","Classic Polish proverbs. Drop one of these and you&#x27;ll sound like you grew up here. 13 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/polish-proverbs/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/polish-party-slang/","vocabulary/polish-party-slang/index.html","generated vocabulary page","Polish urban and party slang | Po polsku","Polish urban and party slang","Urban and party slang for nights out and the day after. 10 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/polish-party-slang/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/everyday-polish-slang/","vocabulary/everyday-polish-slang/index.html","generated vocabulary page","Everyday Polish slang - what Poles actually say | Po polsku","Everyday Polish slang - what Poles actually say","The everyday slang Poles actually use, so you stop sounding like a textbook. 20 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/everyday-polish-slang/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/polish-exclamations/","vocabulary/polish-exclamations/index.html","generated vocabulary page","Polish exclamations and reactions - ale masakra, tragedia, dramat | Po polsku","Polish exclamations and reactions - ale masakra, tragedia, dramat","Everyday exclamations - the mild, clean cousins of Polish swearing. 17 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/polish-exclamations/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/polish-idioms/","vocabulary/polish-idioms/index.html","generated vocabulary page","Polish idioms explained - with literal translations and audio | Po polsku","Polish idioms explained - with literal translations and audio","Vivid, common Polish idioms for describing people and situations. 27 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/polish-idioms/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
"https://popolsku.app/vocabulary/polish-corporate-slang/","vocabulary/polish-corporate-slang/index.html","generated vocabulary page","Polish corporate slang - office Polish decoded | Po polsku","Polish corporate slang - office Polish decoded","Office and corporate slang for open-space life and team projects. 12 expressions with meanings, usage notes, real example sentences, and Polish pronunciation audio - free on Po polsku.","Explains a set of expressions with literal translations and audio","Learners searching Polish slang/idioms","Open the app","C-003;C-007","Genuinely free. No account. Works offline.","/;/guide/","yes","https://popolsku.app/vocabulary/polish-corporate-slang/","yes","","yes","no","no","LearningResource","no","Breadcrumb says Guide; no og:image dimensions; no twitter:image; no BreadcrumbList; page ending asserts 'Works offline' but the page itself is not precached and is unavailable offline before a first visit (C-003)","Requires live-browser verification of social card rendering"
