"verification_order","lemma","phase3_disposition","phase3_representation_fit","evidence_strength","human_freeze_status","full_pattern_in_phase4","aspect_partner","aspect_anchor","authoring_constraint","freeze_rationale","reserve_backfill","notes"
"11","przyjechać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","przyjeżdżać","","Author do/na only as destination realizations, not exclusive government; exclude source, vehicle, route, and time from the lexical pattern.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"12","wyjść","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","wychodzić","","Keep literal exit separate from sport/result meanings and label every concrete source/destination form as a generalized-role realization.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"13","wyjechać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","wyjeżdżać","","Author only the source-role realization; do not add destination, vehicle, route, or time frames and do not imply exclusive z government.","Human-approved full-pattern retention: the reviewed 12-lemma motion block was approved without expansion.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"14","przynosić","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Keep the exact imperfective identity and Accusative object; do not author a Dative recipient or inherit any construction from przynieść.","Human-approved full-pattern retention: the narrowed Accusative-only full-pattern slot was retained without restoring Dative or inheriting from przynieść.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"15","odpowiadać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Author the exact answer sense with alternative na-question and że-content schemas; exclude an unverified Dative person and unrelated meanings.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"16","zamawiać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","zamówić","","Keep beneficiary schemas alternative, label u + Genitive as a realization rather than exclusive provider government, and do not build a maximal frame.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"17","zaczynać","KEEP VERIFIED","compatible","A","ASPECT-PARTNER METADATA ONLY","no","zacząć","zacząć","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","Human-approved family collapse: zacząć is the full-pattern anchor and zaczynać remains a verified aspect-partner metadata identity only; linguistic evidence stays valid and syntax must not transfer.","no","No separate Phase 4 editorial record. Preserve the exact lemma identity and evidence historically; metadata relationship never transfers syntax."
"18","zacząć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","zaczynać","","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"19","kończyć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","skończyć","","The frames are direct, but independent pair opportunity cost cannot be settled before later-queue skończyć receives its own exact-form review.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"20","pamiętać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Both exact sense inventories and their construction boundaries are explicit; no independently inspectable lemma-level valency source was available for corroboration.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"21","zapominać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Keep recall and failure-to-act senses separate and omit the unverified żeby schema.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"22","próbować","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","No independent lemma-level valency corroboration was inspectable, but both exact sense schemas are direct and unambiguous.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"23","pozwalać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Author the listed alternative schemas separately; do not freely combine Dative, na + Accusative, infinitive, and żeby positions or transfer participants across senses.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"24","unikać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Author direct Genitive only and omit infinitive government.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"25","wymagać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must keep the demander/source restrictions and two meanings visible rather than flatten them.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"26","należeć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","The two meanings require separate product patterns or explicit sense labels even though the surface construction is shared.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"27","kłócić się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must preserve lexical się and the singular/plural alternation without presenting every complement as simultaneously required.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"28","pokazywać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Optional GDZIE is intentionally not converted into a concrete product pattern; other pokazywać senses were not inspected.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"29","radzić sobie","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must preserve the full lexical identity radzić sobie and not strip sobie or merge the entry with radzić.","Human-approved full-pattern retention: the lexical coping identity and sobie remain independently valuable beside radzić.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"30","kupować","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","kupić","","The independent imperfective evidence is clear, but final two-slot opportunity cost must wait for authorized exact-form review of kupić in Batch 4.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"31","kupić","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","kupować","","The lemma evidence is direct; final two-slot value remains a Phase 3B product decision because its constructions duplicate kupować.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"32","dawać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","dać","","The direct construction is clear; final allocation of two family slots remains a Phase 3B product decision.","Human-approved full-pattern retention: the strong aspect-family recommendation was approved.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"33","dać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","dawać","","The direct construction is clear; final allocation of two family slots remains a Phase 3B product decision.","Human-approved full-pattern retention: the strong aspect-family recommendation was approved.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"34","brać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","wziąć","","Later authoring must encode udział as required lexical material and keep participation separate from generic taking.","Human-approved full-pattern retention: the strong aspect-family recommendation was approved.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"35","wziąć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","brać","","Later authoring must encode udział as required lexical material and keep participation separate from generic taking.","Human-approved full-pattern retention: the strong aspect-family recommendation was approved.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"36","czytać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","przeczytać","","The lemma is independently verified; whether its completion partner merits a second slot is deferred to Phase 3B.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"37","przeczytać","KEEP VERIFIED","compatible","A","ASPECT-PARTNER METADATA ONLY","no","czytać","czytać","The completion meaning is pedagogically real, but its marginal slot value over explicit aspect metadata remains a Phase 3B decision.","Human-approved family collapse: czytać is the full-pattern anchor and przeczytać remains a verified aspect-partner metadata identity only; linguistic evidence stays valid and syntax must not transfer.","no","No separate Phase 4 editorial record. Preserve the exact lemma identity and evidence historically; metadata relationship never transfers syntax."
"38","pisać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","napisać","","Later authoring must preserve the creation/correspondence sense split and schema alternatives; final two-slot allocation remains Phase 3B.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"39","napisać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","pisać","","Later authoring must preserve the creation/correspondence sense split and schema alternatives; final two-slot allocation remains Phase 3B.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"40","spotykać się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","spotkać się","","The independent imperfective result is clear; pair opportunity cost cannot be assessed until order 41 receives authorized review.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"41","spotkać się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","spotykać się","","The lemma result is exact; final two-slot allocation remains subject to the common Phase 3 synthesis rubric.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"42","oglądać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","obejrzeć","","Later authoring must gloss the optional w-position narrowly and keep it distinct from free viewing-location and medium adjuncts.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"43","obejrzeć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","oglądać","","The result meaning is pedagogically real, but marginal value over explicit aspect-partner metadata remains a Phase 3B decision.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"44","skończyć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","kończyć","","Later authoring must keep completion and cessation meanings separate; final family allocation remains subject to synthesis.","Human-approved full-pattern retention: the reviewer explicitly accepted the second-slot opportunity cost for this borderline aspect family.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"45","chcieć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must encode the sense and participant-control differences rather than offer one unrestricted chcieć template.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"46","robić","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must separate making from activity performance and avoid treating the broad lemma as a license for arbitrary noun frames.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"47","rozumieć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring should label content comprehension and empathic person understanding separately despite identical Accusative morphology.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"48","mieszkać","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Label w + Locative as a residence-place realization rather than exclusive government; restrict z + Instrumental to the selected co-resident role.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"49","umówić się","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Preserve lexical się, keep appointment and agreement senses separate, label do as a realization, and do not merge alternatives into a maximal frame.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"50","dzwonić","KEEP WITH NARROWING","compatible with narrowing","A","FROZEN FULL-PATTERN LEMMA","yes","","","Label do/na targets as realizations, retain direct content clauses, and do not encode w sprawie + Genitive as a governed construction.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"51","powiedzieć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must label the communicative relation and preserve the schema alternatives; directly listed JAK cannot be represented in the locked model.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"52","gotować","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring should keep optionality explicit and avoid extending the schema to every food-process sense.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"53","rezerwować","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","zarezerwować","","Later authoring must distinguish Dative from dla + Genitive alternatives and keep booking separate from resource/time allocation.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"54","cieszyć się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must distinguish the semantic contribution of z, na, Instrumental, and the proposition rather than presenting interchangeable labels.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"55","martwić się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Final synthesis should weigh the overlap with the released bać się concern record against the added Instrumental and clause inventory.","Human-approved full-pattern retention: distinct worry semantics and independently verified Instrumental/clause coverage justify retention alongside released bać się.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"56","zgadzać się","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must label consent versus opinion agreement and keep matching/correspondence outside these records.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"57","zapraszać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must keep event/activity and destination/institution readings distinct and avoid concretizing the GDZIE alternative.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"58","polecać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must not gloss the sense-1 infinitive as ordinary recommendation; it is directive/instructional in the exact source.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"59","radzić","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must encode the Dative required/optional distinction across schemas and keep advice separate from coping.","Human-approved full-pattern retention: the non-reflexive advice identity remains independently valuable beside radzić sobie.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"60","pasować","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later product authoring must choose sense-specific role wording; the locked model can encode the forms but generic 'fits' wording would obscure the relations.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"61","móc","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must label modal meaning where useful and keep the permission question as sentence-level packaging over the infinitive frame.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"62","musieć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring should distinguish personal and impersonal sentence realization only when pedagogically useful, without multiplying verb patterns.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"63","wiedzieć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must preserve nominal/topic versus propositional/interrogative content and explain czy only as one interrogative-dependent clause realization.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"64","jeść","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Phase 4 authoring must teach positive Accusative as the lexical frame and handle negation separately; examples should not make negation obscure the selected object case.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"65","pić","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring should keep ordinary liquid consumption distinct from alcohol-use and partitive/quantity interpretations.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"66","kochać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must label person-love, attachment to ideas/places, and strong liking separately; the surface Accusative does not erase the meaning split.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"67","przepraszać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must preserve required coexistence in KOGO + za CO and not attach the optionality from the clause schema to the nominal one.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"68","życzyć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must distinguish nominal wished content from a wished event and keep życzyć separate from życzyć sobie.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"69","korzystać","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring should label resource use versus benefit while preserving the same exact z + Genitive form.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
"70","uczyć","KEEP VERIFIED","compatible","A","FROZEN FULL-PATTERN LEMMA","yes","","","Later authoring must choose a single exact sense/schema per pattern, preserve content alternatives, and keep non-reflexive uczyć completely separate from uczyć się.","Human-approved retention as one of the 68 frozen Phase 4 full-pattern additions; the Phase 3 evidence and authoring constraint remain binding.","no","Phase 3 linguistic disposition is unchanged. Phase 4 must begin from this frozen identity and obey the carried authoring constraint."
