qaOrder,lemma,patternId,exampleId,pl,normalized,hash,file,fileSize,technicalStatus,humanQaStatus,humanQaNote,exact_polish
24,dojechać,vp-p-dojechac-transport-endpoint-arrival-do-genitive-endpoint-ecef47297665,vp-e-dojechac-transport-endpoint-arrival-do-genitive-endpoint-primary-036ab9765b28,Dojedziemy do hotelu.,Dojedziemy do hotelu.,c1a58702404f,audio/c1a58702404f.mp3,13536,PASS,PENDING,,Dojedziemy do hotelu.
25,dojechać,vp-p-dojechac-transport-endpoint-arrival-instrumental-vehicle-4b60dab3d102,vp-e-dojechac-transport-endpoint-arrival-instrumental-vehicle-primary-cd5ed5bb33c6,Dojadę pociągiem.,Dojadę pociągiem.,093ec34565c3,audio/093ec34565c3.mp3,13248,PASS,PENDING,,Dojadę pociągiem.
26,dojechać,vp-p-dojechac-transport-endpoint-arrival-na-accusative-endpoint-365c720ffd8b,vp-e-dojechac-transport-endpoint-arrival-na-accusative-endpoint-primary-f93ab7dc7c95,Dojedziemy na stację.,Dojedziemy na stację.,c08710b2f3cf,audio/c08710b2f3cf.mp3,13824,PASS,PENDING,,Dojedziemy na stację.
27,dojechać,vp-p-dojechac-transport-endpoint-arrival-na-locative-equipment-06893dc5e42e,vp-e-dojechac-transport-endpoint-arrival-na-locative-equipment-primary-d2401289ae56,Dojedziemy na rowerach.,Dojedziemy na rowerach.,d543bc006fa8,audio/d543bc006fa8.mp3,13680,PASS,PENDING,,Dojedziemy na rowerach.
28,dojść,vp-p-dojsc-abstract-conclusion-do-genitive-result-d3070d27068c,vp-e-dojsc-abstract-conclusion-do-genitive-result-primary-56dc8949173e,Doszliśmy do wniosku.,Doszliśmy do wniosku.,0b97e1c1967a,audio/0b97e1c1967a.mp3,13824,PASS,PENDING,,Doszliśmy do wniosku.
29,dzwonić,vp-p-dzwonic-telephone-contact-do-genitive-call-target-d2309de4431a,vp-e-dzwonic-telephone-contact-do-genitive-call-target-primary-a5e451a71983,Dzwonię do mamy.,Dzwonię do mamy.,8fb4d3789b66,audio/8fb4d3789b66.mp3,12384,PASS,PENDING,,Dzwonię do mamy.
30,dzwonić,vp-p-dzwonic-telephone-contact-na-accusative-call-target-0ae19ad592ad,vp-e-dzwonic-telephone-contact-na-accusative-call-target-primary-d13073f9bed2,Dzwonię na policję.,Dzwonię na policję.,76b537b20503,audio/76b537b20503.mp3,13392,PASS,PENDING,,Dzwonię na policję.
31,dzwonić,vp-p-dzwonic-telephone-contact-ze-reported-content-clause-6ea196f24a13,vp-e-dzwonic-telephone-contact-ze-reported-content-clause-primary-9209229ceaf5,"Dzwonię, że się spóźnię.","Dzwonię, że się spóźnię.",057b6fb7e09d,audio/057b6fb7e09d.mp3,16704,PASS,PENDING,,"Dzwonię, że się spóźnię."
32,dzwonić,vp-p-dzwonic-telephone-contact-zeby-requested-content-clause-360a70685311,vp-e-dzwonic-telephone-contact-zeby-requested-content-clause-primary-8bbf007e3208,"Dzwonię, żebyś odebrał paczkę.","Dzwonię, żebyś odebrał paczkę.",f30200191d71,audio/f30200191d71.mp3,18576,PASS,PENDING,,"Dzwonię, żebyś odebrał paczkę."
33,gotować,vp-p-gotowac-meal-preparation-accusative-dish-dative-beneficiary-b32989555f49,vp-e-gotowac-meal-preparation-accusative-dish-dative-beneficiary-primary-858c941a9b26,Gotuję obiad mojej mamie.,Gotuję obiad mojej mamie.,fd4902354994,audio/fd4902354994.mp3,15264,PASS,PENDING,,Gotuję obiad mojej mamie.
34,iść,vp-p-isc-directed-on-foot-motion-infinitive-purpose-754c7f868226,vp-e-isc-directed-on-foot-motion-infinitive-purpose-primary-ca4502decaa8,Idę kupić chleb.,Idę kupić chleb.,6ef40296fd5b,audio/6ef40296fd5b.mp3,12672,PASS,PENDING,,Idę kupić chleb.
35,iść,vp-p-isc-directed-on-foot-motion-na-accusative-destination-dc13ba1c603c,vp-e-isc-directed-on-foot-motion-na-accusative-destination-primary-363050fea4ea,Idę na basen.,Idę na basen.,ab8c5faeed0d,audio/ab8c5faeed0d.mp3,12096,PASS,PENDING,,Idę na basen.
36,jechać,vp-p-jechac-directed-transport-travel-do-genitive-destination-1c8370c75b81,vp-e-jechac-directed-transport-travel-do-genitive-destination-primary-606084db91a7,Jadę do Gdańska.,Jadę do Gdańska.,5a01f4fb05af,audio/5a01f4fb05af.mp3,13536,PASS,PENDING,,Jadę do Gdańska.
37,jechać,vp-p-jechac-directed-transport-travel-instrumental-vehicle-8b5a4541aab0,vp-e-jechac-directed-transport-travel-instrumental-vehicle-primary-b9abe680770c,Jadę autobusem.,Jadę autobusem.,2d146d29e71a,audio/2d146d29e71a.mp3,13392,PASS,PENDING,,Jadę autobusem.
38,jechać,vp-p-jechac-directed-transport-travel-na-locative-equipment-88ad01d95fed,vp-e-jechac-directed-transport-travel-na-locative-equipment-primary-41a7cc50e4ab,Jadę na rowerze.,Jadę na rowerze.,3de26703beef,audio/3de26703beef.mp3,12672,PASS,PENDING,,Jadę na rowerze.
39,jeść,vp-p-jesc-food-consumption-accusative-food-instrumental-implement-5b86d393b969,vp-e-jesc-food-consumption-accusative-food-instrumental-implement-primary-1943118ab7bc,Dziecko je zupę łyżką.,Dziecko je zupę łyżką.,3e3078aaafef,audio/3e3078aaafef.mp3,14976,PASS,PENDING,,Dziecko je zupę łyżką.
40,jeździć,vp-p-jezdzic-habitual-transport-travel-do-genitive-destination-f24ed51ba286,vp-e-jezdzic-habitual-transport-travel-do-genitive-destination-primary-37375e399bca,Jeżdżę do Gdyni.,Jeżdżę do Gdyni.,b2b65b728f8e,audio/b2b65b728f8e.mp3,12672,PASS,PENDING,,Jeżdżę do Gdyni.
41,jeździć,vp-p-jezdzic-habitual-transport-travel-instrumental-vehicle-c97f8b3c593b,vp-e-jezdzic-habitual-transport-travel-instrumental-vehicle-primary-31bd7ac9d066,Jeżdżę tramwajem.,Jeżdżę tramwajem.,f8ee0887e0b0,audio/f8ee0887e0b0.mp3,13392,PASS,PENDING,,Jeżdżę tramwajem.
42,jeździć,vp-p-jezdzic-habitual-transport-travel-na-locative-equipment-36786ae0bfad,vp-e-jezdzic-habitual-transport-travel-na-locative-equipment-primary-e2605d5fdde7,Jeżdżę na nartach.,Jeżdżę na nartach.,93e0c386d595,audio/93e0c386d595.mp3,13248,PASS,PENDING,,Jeżdżę na nartach.
43,kłócić się,vp-p-klocic-sie-interpersonal-quarrelling-interrogative-disputed-content-f491d9e2e3a0,vp-e-klocic-sie-interpersonal-quarrelling-interrogative-disputed-content-primary-cac7215b080e,"Kłócimy się, czy powinniśmy wyjechać.","Kłócimy się, czy powinniśmy wyjechać.",a8379ed88ca5,audio/a8379ed88ca5.mp3,19440,PASS,PENDING,,"Kłócimy się, czy powinniśmy wyjechać."
44,kłócić się,vp-p-klocic-sie-interpersonal-quarrelling-o-accusative-topic-a4ea8c9274d1,vp-e-klocic-sie-interpersonal-quarrelling-o-accusative-topic-primary-98e0526f2dad,Kłócimy się o drobiazgi.,Kłócimy się o drobiazgi.,87601020e134,audio/87601020e134.mp3,14688,PASS,PENDING,,Kłócimy się o drobiazgi.
45,kłócić się,vp-p-klocic-sie-interpersonal-quarrelling-z-instrumental-interlocutor-41ea4095f880,vp-e-klocic-sie-interpersonal-quarrelling-z-instrumental-interlocutor-primary-c6307172287a,Kłócę się z bratem.,Kłócę się z bratem.,966ff0477baf,audio/966ff0477baf.mp3,13248,PASS,PENDING,,Kłócę się z bratem.
46,kłócić się,vp-p-klocic-sie-interpersonal-quarrelling-ze-content-clause-d38a95fb5d4f,vp-e-klocic-sie-interpersonal-quarrelling-ze-content-clause-primary-ce557e9591b6,"Kłócimy się, że nikt nie sprząta.","Kłócimy się, że nikt nie sprząta.",9848a2b4dc84,audio/9848a2b4dc84.mp3,18864,PASS,PENDING,,"Kłócimy się, że nikt nie sprząta."
47,kochać,vp-p-kochac-idea-or-place-attachment-accusative-cherished-idea-or-place-2c2609c5a594,vp-e-kochac-idea-or-place-attachment-accusative-cherished-idea-or-place-primary-18477c904f8a,Kocham swoje rodzinne miasto.,Kocham swoje rodzinne miasto.,cd9a0160998a,audio/cd9a0160998a.mp3,16128,PASS,PENDING,,Kocham swoje rodzinne miasto.
48,kochać,vp-p-kochac-person-love-accusative-loved-person-7c04963d1f20,vp-e-kochac-person-love-accusative-loved-person-primary-957e7cb3525a,Bardzo kocham swoją babcię.,Bardzo kocham swoją babcię.,d3395ce2eade,audio/d3395ce2eade.mp3,15696,PASS,PENDING,,Bardzo kocham swoją babcię.
49,kochać,vp-p-kochac-strong-liking-accusative-strongly-liked-thing-1d94dc42f06c,vp-e-kochac-strong-liking-accusative-strongly-liked-thing-primary-4b0e60ac5d8c,Moja siostra kocha czekoladę.,Moja siostra kocha czekoladę.,decd88f47e8c,audio/decd88f47e8c.mp3,15696,PASS,PENDING,,Moja siostra kocha czekoladę.
50,kochać,vp-p-kochac-strong-liking-infinitive-strongly-liked-activity-b0293aa54d72,vp-e-kochac-strong-liking-infinitive-strongly-liked-activity-primary-c733662da394,Dzieci kochają biegać po plaży.,Dzieci kochają biegać po plaży.,5aa059de6ad2,audio/5aa059de6ad2.mp3,16416,PASS,PENDING,,Dzieci kochają biegać po plaży.
51,kończyć,vp-p-konczyc-activity-completion-accusative-task-8de4c064e4d0,vp-e-konczyc-activity-completion-accusative-task-primary-18c8a3d2975d,Kończę pracę.,Kończę pracę.,8b19ac00de55,audio/8b19ac00de55.mp3,12096,PASS,PENDING,,Kończę pracę.
52,kończyć,vp-p-konczyc-activity-completion-infinitive-b729a1f633f2,vp-e-konczyc-activity-completion-infinitive-primary-acdb53af9f85,Kończę czytać książkę.,Kończę czytać książkę.,3cfc7433c9bd,audio/3cfc7433c9bd.mp3,14544,PASS,PENDING,,Kończę czytać książkę.
53,korzystać,vp-p-korzystac-benefit-from-advantage-z-genitive-source-of-benefit-3ed1d40fee1b,vp-e-korzystac-benefit-from-advantage-z-genitive-source-of-benefit-primary-edc2b4e6fec6,Studenci chętnie korzystają ze zniżek studenckich.,Studenci chętnie korzystają ze zniżek studenckich.,068a5a439252,audio/068a5a439252.mp3,21888,PASS,PENDING,,Studenci chętnie korzystają ze zniżek studenckich.
54,korzystać,vp-p-korzystac-resource-use-z-genitive-used-resource-b20e558e1cc5,vp-e-korzystac-resource-use-z-genitive-used-resource-primary-5e968a0b5228,Codziennie korzystam z komunikacji miejskiej.,Codziennie korzystam z komunikacji miejskiej.,1e72309024e1,audio/1e72309024e1.mp3,19584,PASS,PENDING,,Codziennie korzystam z komunikacji miejskiej.
55,kupić,vp-p-kupic-completed-purchase-seller-price-schema-7b9a8b90790d,vp-e-kupic-completed-purchase-seller-price-schema-primary-e19c854b7ef0,Kupię chleb od piekarza za pięć złotych.,Kupię chleb od piekarza za pięć złotych.,2f09d514256b,audio/2f09d514256b.mp3,19872,PASS,PENDING,,Kupię chleb od piekarza za pięć złotych.
56,kupować,vp-p-kupowac-process-purchase-dative-beneficiary-schema-36249b76d19e,vp-e-kupowac-process-purchase-dative-beneficiary-schema-primary-b8314fbe9ae8,Kupuję dzieciom zabawki.,Kupuję dzieciom zabawki.,aba503da5aa6,audio/aba503da5aa6.mp3,14976,PASS,PENDING,,Kupuję dzieciom zabawki.
57,kupować,vp-p-kupowac-process-purchase-dla-beneficiary-schema-9a60bb2ae949,vp-e-kupowac-process-purchase-dla-beneficiary-schema-primary-51238d348e65,Kupuję zabawki dla dzieci.,Kupuję zabawki dla dzieci.,cd9d66232c05,audio/cd9d66232c05.mp3,15408,PASS,PENDING,,Kupuję zabawki dla dzieci.
58,kupować,vp-p-kupowac-process-purchase-seller-price-schema-a0eeafb1f2aa,vp-e-kupowac-process-purchase-seller-price-schema-primary-8c41bd5ab9e1,Kupuję warzywa od rolnika za dziesięć złotych.,Kupuję warzywa od rolnika za dziesięć złotych.,f6c377e1814f,audio/f6c377e1814f.mp3,21168,PASS,PENDING,,Kupuję warzywa od rolnika za dziesięć złotych.
59,martwić się,vp-p-martwic-sie-worry-concern-instrumental-worry-cause-8c1de1d4ecd8,vp-e-martwic-sie-worry-concern-instrumental-worry-cause-primary-f5f886d69663,Martwię się twoim zdrowiem.,Martwię się twoim zdrowiem.,de7960dec234,audio/de7960dec234.mp3,15408,PASS,PENDING,,Martwię się twoim zdrowiem.
60,martwić się,vp-p-martwic-sie-worry-concern-interrogative-worry-content-815ae5fc17d2,vp-e-martwic-sie-worry-concern-interrogative-worry-content-primary-a0a0af7fa00e,"Martwię się, jak sobie poradzimy.","Martwię się, jak sobie poradzimy.",9817533abed5,audio/9817533abed5.mp3,18864,PASS,PENDING,,"Martwię się, jak sobie poradzimy."
61,martwić się,vp-p-martwic-sie-worry-concern-o-accusative-concern-object-b7216564fc00,vp-e-martwic-sie-worry-concern-o-accusative-concern-object-primary-2f9e0179379e,Martwię się o egzamin.,Martwię się o egzamin.,d8bef8993e4b,audio/d8bef8993e4b.mp3,14688,PASS,PENDING,,Martwię się o egzamin.
62,martwić się,vp-p-martwic-sie-worry-concern-ze-worry-proposition-c0f15eecb7d7,vp-e-martwic-sie-worry-concern-ze-worry-proposition-primary-ee89ad62dc74,"Martwię się, że się spóźnimy.","Martwię się, że się spóźnimy.",40793df42111,audio/40793df42111.mp3,17712,PASS,PENDING,,"Martwię się, że się spóźnimy."
63,mieszkać,vp-p-mieszkac-long-term-residence-w-locative-residence-optional-co-resident-c110c6ab2579,vp-e-mieszkac-long-term-residence-w-locative-residence-optional-co-resident-primary-f0c16b6019ba,Mieszkam w Warszawie z bratem.,Mieszkam w Warszawie z bratem.,2d34772993cd,audio/2d34772993cd.mp3,16992,PASS,PENDING,,Mieszkam w Warszawie z bratem.
64,móc,vp-p-moc-ability-possibility-infinitive-possible-action-84e8b6ee11e4,vp-e-moc-ability-possibility-infinitive-possible-action-primary-85312aaf9318,Mogę podnieść tę walizkę.,Mogę podnieść tę walizkę.,81c5a8ecc879,audio/81c5a8ecc879.mp3,15408,PASS,PENDING,,Mogę podnieść tę walizkę.
65,móc,vp-p-moc-permission-infinitive-permitted-action-b8a9116140d4,vp-e-moc-permission-infinitive-permitted-action-primary-f6d69896eddf,Czy mogę otworzyć okno?,Czy mogę otworzyć okno?,f09318502577,audio/f09318502577.mp3,14544,PASS,PENDING,,Czy mogę otworzyć okno?
66,musieć,vp-p-musiec-necessity-obligation-infinitive-required-action-722332298e98,vp-e-musiec-necessity-obligation-infinitive-required-action-primary-014dfa786c80,Muszę dziś iść do lekarza.,Muszę dziś iść do lekarza.,c55a23061791,audio/c55a23061791.mp3,15120,PASS,PENDING,,Muszę dziś iść do lekarza.
67,należeć,vp-p-nalezec-organization-membership-do-genitive-organization-0916d413dd02,vp-e-nalezec-organization-membership-do-genitive-organization-primary-e70e59d05235,Należę do klubu sportowego.,Należę do klubu sportowego.,c2fdb5c1b3f6,audio/c2fdb5c1b3f6.mp3,16128,PASS,PENDING,,Należę do klubu sportowego.
68,należeć,vp-p-nalezec-ownership-do-genitive-owner-e9d0d98f7018,vp-e-nalezec-ownership-do-genitive-owner-primary-d313d04ecc2e,Ten dom należy do sąsiadki.,Ten dom należy do sąsiadki.,a9443da0e00c,audio/a9443da0e00c.mp3,16416,PASS,PENDING,,Ten dom należy do sąsiadki.
69,napisać,vp-p-napisac-completed-text-creation-accusative-created-text-b3a4842c18b1,vp-e-napisac-completed-text-creation-accusative-created-text-primary-3d56f9ec9062,Napisałem powieść.,Napisałem powieść.,138c5fdea448,audio/138c5fdea448.mp3,13968,PASS,PENDING,,Napisałem powieść.
70,napisać,vp-p-napisac-completed-written-correspondence-dative-accusative-content-0099f1f5d08c,vp-e-napisac-completed-written-correspondence-dative-accusative-content-primary-d237a1c062c1,Napisałem koledze wiadomość.,Napisałem koledze wiadomość.,48eaf661eb95,audio/48eaf661eb95.mp3,16272,PASS,PENDING,,Napisałem koledze wiadomość.
71,napisać,vp-p-napisac-completed-written-correspondence-dative-direct-speech-459bcb5ef942,vp-e-napisac-completed-written-correspondence-dative-direct-speech-primary-e079442a1e74,Napisałem koledze: „Wracam jutro”.,Napisałem koledze: „Wracam jutro”.,41285fe7ee96,audio/41285fe7ee96.mp3,20736,PASS,PENDING,,Napisałem koledze: „Wracam jutro”.
72,napisać,vp-p-napisac-completed-written-correspondence-dative-interrogative-clause-30c2fb672660,vp-e-napisac-completed-written-correspondence-dative-interrogative-clause-primary-7ef646a6ee37,"Napisałem koledze, o której wrócę.","Napisałem koledze, o której wrócę.",b05d84608195,audio/b05d84608195.mp3,19152,PASS,PENDING,,"Napisałem koledze, o której wrócę."
73,napisać,vp-p-napisac-completed-written-correspondence-dative-topic-7f32c62f76d8,vp-e-napisac-completed-written-correspondence-dative-topic-primary-bca90f7d1ab9,Napisałem koledze o wakacjach.,Napisałem koledze o wakacjach.,68dfa5801107,audio/68dfa5801107.mp3,16992,PASS,PENDING,,Napisałem koledze o wakacjach.
74,napisać,vp-p-napisac-completed-written-correspondence-dative-ze-clause-3d0dc0008a01,vp-e-napisac-completed-written-correspondence-dative-ze-clause-primary-08e84f861744,"Napisałem koledze, że wrócę jutro.","Napisałem koledze, że wrócę jutro.",485aa2820de7,audio/485aa2820de7.mp3,20016,PASS,PENDING,,"Napisałem koledze, że wrócę jutro."
75,napisać,vp-p-napisac-completed-written-correspondence-dative-zeby-clause-252806ca0b80,vp-e-napisac-completed-written-correspondence-dative-zeby-clause-primary-7687c86bff87,"Napisałem koledze, żeby zadzwonił.","Napisałem koledze, żeby zadzwonił.",b0b33b4669ee,audio/b0b33b4669ee.mp3,19440,PASS,PENDING,,"Napisałem koledze, żeby zadzwonił."
76,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-accusative-content-c37a0dbb9619,vp-e-napisac-completed-written-correspondence-do-genitive-accusative-content-primary-68138fe88bcb,Napisałem do koleżanki wiadomość.,Napisałem do koleżanki wiadomość.,c975894d4742,audio/c975894d4742.mp3,17568,PASS,PENDING,,Napisałem do koleżanki wiadomość.
77,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-direct-speech-6fd40016514e,vp-e-napisac-completed-written-correspondence-do-genitive-direct-speech-primary-6dd5f6482ef7,Napisałem do koleżanki: „Wracam jutro”.,Napisałem do koleżanki: „Wracam jutro”.,399b2398f8f9,audio/399b2398f8f9.mp3,22608,PASS,PENDING,,Napisałem do koleżanki: „Wracam jutro”.
78,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-interrogative-clause-7ca526317b3b,vp-e-napisac-completed-written-correspondence-do-genitive-interrogative-clause-primary-6afec32d313d,"Napisałem do koleżanki, o której wrócę.","Napisałem do koleżanki, o której wrócę.",78cf114f0fcc,audio/78cf114f0fcc.mp3,20736,PASS,PENDING,,"Napisałem do koleżanki, o której wrócę."
79,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-topic-f0c0592d836d,vp-e-napisac-completed-written-correspondence-do-genitive-topic-primary-1c0954a964cc,Napisałem do koleżanki o wakacjach.,Napisałem do koleżanki o wakacjach.,6dedf61c1d3c,audio/6dedf61c1d3c.mp3,18432,PASS,PENDING,,Napisałem do koleżanki o wakacjach.
80,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-ze-clause-af39109457d0,vp-e-napisac-completed-written-correspondence-do-genitive-ze-clause-primary-0788d2fcf1d8,"Napisałem do koleżanki, że wracam jutro.","Napisałem do koleżanki, że wracam jutro.",ea77343a565a,audio/ea77343a565a.mp3,21456,PASS,PENDING,,"Napisałem do koleżanki, że wracam jutro."
81,napisać,vp-p-napisac-completed-written-correspondence-do-genitive-zeby-clause-0306b3230fca,vp-e-napisac-completed-written-correspondence-do-genitive-zeby-clause-primary-05e157545e25,"Napisałem do koleżanki, żeby zadzwoniła.","Napisałem do koleżanki, żeby zadzwoniła.",e60499ab39c3,audio/e60499ab39c3.mp3,21312,PASS,PENDING,,"Napisałem do koleżanki, żeby zadzwoniła."
