reviewId,lemma,meaningId,patternId,pattern,relationType,cefrRecognition,cefrProduction,teachingStatus,supportClass,b1Verdict,b1Severity,b1FindingRefs,b1Rationale,b1ProposedChange,b2Verdict,b2Severity,b2FindingId,b2Rationale,b2ProposedChange,agreementClass,treatmentDivergence,b3aDisposition,b3aSeverity,b3aPrimaryCategory,b3aSecondaryCategories,b3aRationale,b3aProposedChange,noteDisposition,deferReopenCriteria,ownerPhase
P7-NR-011,dziękować,vp-m-dziekowac-thank-f19a15334790,vp-p-dziekowac-thank-dative-recipient-za-accusative-057197dd300f,dziękować + Dative + za + Accusative,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME 'KOMU + za CO'. The existing canonical example is a B1 workplace sentence ('owocną współpracę') supporting an A2-recognition pattern, which is why 4C accepted a simpler replacement. That replacement is one of the five authorship-blocked rows.",None in B1. The accepted replacement stays pending for 4F-C.,ACCEPT,NONE,,The full recipient-plus-reason frame adds a real production contrast without duplicating the shorter A1 formula; B1 production is suitably conservative.,Use the already accepted replacement example in 4F-C; this dependency does not alter the verdict.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,F-01 plus an already-accepted 4C replacement. Both are tracked: this is one of the five named example-group rows and the replacement is recorded and pending. Restating it as row-level editorial debt duplicates an existing dependency without adding information.,,DROP NOTE,,NONE
P7-NR-012,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-za-accusative-goods-73c6760c091d,płacić + za + Accusative,lexical-frame,A1,A2,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,EXACT-FRAME; za + Accusative is the thing paid for and is listed in three of five schemas. Existing example is level-matched A1. Carries an authorship-blocked accepted replacement.,None in B1. The accepted replacement stays pending for 4F-C.,ACCEPT,NONE,,"The goods/service target is clearly separated from payment method, and za + Accusative is a useful core transactional pattern.",Use the already accepted replacement example in 4F-C; this dependency does not alter the verdict.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"As row 011: F-01 plus a tracked, accepted 4C replacement. The pattern itself is clean on both reviews, the existing example is level-matched A1, and za + Accusative is listed in three of five schemas.",,DROP NOTE,,NONE
P7-NR-013,płacić,vp-m-placic-pay-dd4705572184,vp-p-placic-pay-instrumental-method-ef4313d0d5ce,płacić + Instrumental,means-method,A1,A1,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-06,"The construction and the means-method relation type are both right, and the sibling row 12 prevents any 'płacić always takes Instrumental' reading. The label is the problem: role 'means' renders as the fixed phrase 'how it is done', which reads as manner. The Instrumental here is strictly the payment instrument (kartą, gotówką), not the manner of paying, and a learner who generalises manner will produce nonsense.","Add a pattern-level usage.note giving the payment-method reading (the schema already permits usage.note and no pattern uses it). Do not repoint the shared 'means' phrase, which is global. Keep active-production: the phrases are core A1 transactional Polish.",ACCEPT,NONE,,"The means role, means-method relationType, learner wording how you pay, and cash/card examples all convey payment method rather than generic manner; active A1 teaching is justified.",,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,MODEL_LIMITATION,LABEL_OR_NOTE,"B2 is better supported on the verdict; B1 is better supported on the observation. F-06 is real: ROLE_PHRASES.means renders as 'how it is done', which reads as manner, while the Instrumental here is strictly the payment instrument. But B1's remedy fails on inspection. usage.note is accepted and type-checked by pp-verb-patterns.js and has no render path anywhere in the runtime, so adding one would place canonical text that no learner ever sees; and the phrasebook is global and locked by design ('One closed role -> one fixed English phrasing'), which B1 itself refuses to repoint for a single row. The learner-facing surface is meanwhile not ambiguous: learnerExplanationEn already says 'To say how you pay' with kart/gotowka, and the error note already targets *place z karta. No canonical change. Kept as locked-phrasebook debt with F-15.",,KEEP NOTE,,POST-PILOT
P7-NR-014,używać,vp-m-uzywac-use-bf360f430fed,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,używać + Genitive,lexical-frame,A2,A2,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-13,EXACT-FRAME 'CZEGO + (do CZEGO)'; leaving the do-purpose slot unauthored is consistent narrowing. The canonical example comes from a B1 card while the pattern is A2/A2.,Consider an A2-level example. No structural change.,ACCEPT,NONE,,The tool/object meaning and bare Genitive are clear and useful at A2; the application example demonstrates the governed form adequately.,,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,EXAMPLE,,"F-13 verified: the canonical example is reused from b1-media-technology-001 while the pattern is A2/A2, so the worked sentence sits above the pattern's own band. Same disposal as row 007: move the example, not the level. No structural change; B2's clean read of the frame stands.",,KEEP NOTE,,4F-C
P7-NR-015,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-o-accusative-request-06d776fbfd20,prosić + o + Accusative,lexical-frame,A1,A2,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME, 'o CO' listed first among six schemas. 'Proszę o paszport' with no addressee is the canonical service-counter phrase, so the short frame is the right one to teach first, and row 16 carries the fuller one.",,ACCEPT,NONE,,The short request frame is a high-value standalone construction; omission of the person addressed is natural and the full sibling remains available for explicit participant teaching.,,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. 'o CO' is listed first among six schemas and 'Prosze o paszport' is the canonical service-counter phrase, so the short frame is rightly taught first, with row 016 carrying the fuller one.",,NONE,,NONE
P7-NR-016,prosić,vp-m-prosic-request-12aaa8159096,vp-p-prosic-request-accusative-person-o-accusative-thing-b7a8d9ce1a99,prosić + Accusative + o + Accusative,lexical-frame,A2,B1,active-production,SUBFRAME,ACCEPT WITH NOTE,LOW,F-01; F-15,"SUBFRAME. Pedagogically this is the pair's payoff row: two Accusatives with different roles is exactly what learners get wrong, and the generated headline separates them ('kogo? o co?'). The role phrase for the person is 'the person you talk to', which fits rozmawiać better than prosić — you are not conversing with them, you are asking them for something. No canonical example yet (draft B-04).","Consider a usage.note naming the person as the one asked. Shared role phrasing is global, so do not repoint it for this row alone.",ACCEPT,NONE,,The full KOGO + o CO contrast is pedagogically valuable at B1 and coexists coherently with the shorter transactional frame; the two Accusative roles are explained distinctly.,Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,MODEL_LIMITATION,LABEL_OR_NOTE,"F-15 is the same class as F-06 and gets the same disposal. ROLE_PHRASES.interlocutor is 'the person you talk to', which fits rozmawiac and not prosic. The phrasebook is global and locked, and usage.note has no render path, so B1's own suggested vehicle would not reach a learner. No canonical change is available or warranted. The row's actual pedagogical payload already works: the generated headline separates the two Accusatives by diagnostic question (kogo? / o co?), which is what learners get wrong.",,KEEP NOTE,,POST-PILOT
P7-NR-017,interesować się,vp-m-interesowac-sie-be-interested-in-7a9b8150975b,vp-p-interesowac-sie-be-interested-in-instrumental-topic-1ab788e84e01,interesować się + Instrumental,lexical-frame,A2,A2,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'CZYM' from the hobbies sense, level-matched A2 example, and an error note that pre-empts the *interesuję się o transfer error. Nothing outstanding.",,ACCEPT,NONE,,"Lexical się, the interest topic, and bare Instrumental are all explicit; the politics-and-sport example is natural and sufficiently transparent.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. EXACT-FRAME 'CZYM' from the hobbies sense, level-matched A2 example, error note pre-empting the *interesuje sie o transfer.",,NONE,,NONE
P7-NR-018,dbać,vp-m-dbac-take-care-of-2b403d3e1b49,vp-p-dbac-take-care-of-o-accusative-target-d3e3eb63129c,dbać + o + Accusative,lexical-frame,B1,B1,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'o KOGO/CO'. B1 placement is defensible for a mid-frequency verb, and the example ('dbać o siebie') is level-matched and idiomatic.",,ACCEPT WITH NOTE,LOW,P7-B2-001,"The frame and B1 teaching decision are sound, but the sole canonical example uses o siebie, whose form does not visibly distinguish Accusative for a learner studying the case pattern.","Keep the natural existing example, but add or substitute a case-transparent noun phrase such as dbać o kondycję or dbać o zdrowie before production use.",COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,EXAMPLE,,"B2's LOW note is the one B2-only finding and it is worth keeping, but it needs correcting on the linguistics. 'o siebie' does distinguish Accusative from Locative (o sobie), which is the live confusion in a corpus that teaches o + Locative on rozmawiac (021) and myslec (035), so the example is less opaque than B2 states. It is nonetheless not case-transparent for a learner drilling noun endings, since siebie is an irregular pronoun with no visible Accusative morphology. B2's own alternative 'dbac o zdrowie' does not fix that either: zdrowie is neuter and its Accusative is identical to its Nominative. Keep the natural existing example; 4F-C should add a feminine -e noun (dbac o kondycje, dbac o forme), which is the only shape that makes the Accusative visible. Useful editorial debt, not release debt.",,KEEP NOTE,,4F-C
P7-NR-019,tęsknić,vp-m-tesknic-miss-d796ac98d4f5,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,tęsknić + za + Instrumental,lexical-frame,B1,B1,active-production,EXACT-FRAME,ACCEPT,NONE,,EXACT-FRAME. Authoring only the za + Instrumental alternant and leaving do + Genitive to native review is recorded and consistent with the pilot's narrowing policy. Level-matched example and a well-aimed error note.,,ACCEPT,NONE,,"The separation/missing meaning, za + Instrumental label, B1 level, and personal-pronoun example form a clear production-ready treatment.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. Authoring only the za + Instrumental alternant and leaving do + Genitive to native review is recorded and consistent with the narrowing policy.",,NONE,,NONE
P7-NR-020,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-interlocutor-8398fa7449ca,rozmawiać + z + Instrumental,lexical-frame,A2,A2,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,EXACT-FRAME 'z KIM + (o KIM/CZYM)'; isolating the interlocutor slot is sound because the z KIM slot is the obligatory one in that schema. No canonical example yet (draft B-05).,None. Example authoring in 4F-C.,ACCEPT,NONE,,The interlocutor-only frame is independently useful at A2 and its sibling patterns make clear that a topic can be added rather than being obligatorily absent.,Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"F-01 only, handled at phase level. Isolating the interlocutor slot is sound because z KIM is the obligatory slot of that schema; both reviewers agree the frame is clean.",,DROP NOTE,,NONE
P7-NR-021,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-o-locative-topic-b1c59475ac05,rozmawiać + o + Locative,lexical-frame,A2,A2,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-03,"This row is source-defensible and still pedagogically misleading. The phase's own evidence records that the bare o-topic slot is the sole complement of the plural-subject schema, and that a singular subject makes the z KIM slot obligatory. The pattern is nonetheless authored as an independent active-production A2 frame with no record of that restriction: only the plural verb in the explanation string encodes it, and nothing stops a learner producing *Rozmawiam o pracy.","Record the reciprocal/plural-subject condition in usage.note, or narrow the pattern so the condition is structural. Reconsider active-production until it is represented.",ACCEPT,NONE,,"The topic-only frame is natural, concise, and complementary to the partner frame; the preposition/case explanation is learner-clear.",Add the planned canonical example in 4F-C before learner activation.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,LABEL_OR_NOTE,,"B2 is better supported and B1's CHANGES NEEDED is overturned. F-03 reads a lexicographic artifact as a usage restriction. WSJP separates a plural-subject reciprocal schema from a singular-subject z KIM schema, but that separation idealises the entry, not the language: 'Nie rozmawiam o pracy w domu' and 'Nie lubie rozmawiac o polityce' are ordinary Polish with a singular subject and no expressed partner. The authored pattern therefore licenses no error, and narrowing or downgrading a core A2 frame on that basis would be a real pedagogical loss for no correctness gain. The note is kept only to record that the explanation's plural ('rozmawiamy o pracy') is a stylistic choice and not an encoded restriction, so F-03 does not recur.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-022,rozmawiać,vp-m-rozmawiac-talk-with-73fae3a5d72c,vp-p-rozmawiac-talk-with-z-instrumental-o-locative-4e586b18cf98,rozmawiać + z + Instrumental + o + Locative,lexical-frame,B1,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME for the combined schema, and the error note correctly targets the role confusion between the two slots. B1 for a frame whose parts are both A2 is defensible as a combination step, though it is at the cautious end. No canonical example yet (B-07).",None. Example authoring in 4F-C.,ACCEPT,NONE,,"The combined frame usefully consolidates two A2 subframes at B1; each participant has a distinct preposition and case, so the sibling overlap is purposeful.",Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,F-01 only. B1 at the cautious end for a frame whose parts are both A2 is defensible as a combination step and B2 reads it as purposeful consolidation. No residue.,,DROP NOTE,,NONE
P7-NR-023,bać się,vp-m-bac-sie-be-afraid-of-60cc08a05be5,vp-p-bac-sie-be-afraid-of-genitive-stimulus-4f1d684a5144,bać się + Genitive,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-17,"EXACT-FRAME 'KOGO/CZEGO', level-matched example, good error note. Minor internal mismatch: the pattern key calls the participant a stimulus while the complement role is 'target', because the closed role enum has no stimulus value.",None available within the closed enum. Record as a model-vocabulary limitation.,ACCEPT,NONE,,"The feared stimulus is clearly distinguished from concern for someone, lexical się is preserved, and the example visibly supplies Genitive complements.",,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,MODEL_LIMITATION,,"F-17 is a genuine internal mismatch: the pattern key says genitive-stimulus while the complement role is 'target'. It is unfixable inside the locked closed role enum, which has no stimulus value, so there is no canonical change to make. Kept as model-vocabulary debt with F-11 so a post-pilot enum review has the full list.",,KEEP NOTE,,POST-PILOT
P7-NR-024,bać się,vp-m-bac-sie-worry-about-3a50faed54bf,vp-p-bac-sie-worry-about-o-accusative-concern-c4b9b8d6811b,bać się + o + Accusative,lexical-frame,B1,,recognition-only,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME under a separately numbered sense, and splitting it from row 23 is right: the participant mapping genuinely differs. Role 'topic' for the person worried about is the least bad fit in the closed enum. Recognition-only at B1 is appropriate for a contrast row. No canonical example yet (draft B-08).",None. Example authoring in 4F-C.,ACCEPT,NONE,,The concern meaning merits its own sense and o + Accusative pattern; recognition-only B1 treatment is proportionate for this secondary contrast.,Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"F-01 only. Splitting from row 023 is right because the participant mapping genuinely differs, and recognition-only at B1 is proportionate for a secondary contrast row.",,DROP NOTE,,NONE
P7-NR-025,być,vp-m-byc-predicate-role-93c209d5654b,vp-p-byc-predicate-role-instrumental-predicate-3b90a83fbb30,być + Instrumental,constructional-frame,A1,A2,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'CZYM' and the correct relation type: this is the specification's named constructional-frame fixture. The typed contrast to the out-of-corpus 'to jest' construction is recorded, so the corpus boundary is visible rather than implied.",,ACCEPT,NONE,,"The constructional-frame relation avoids treating the predicate as an ordinary object, the scope correctly excludes to jest, and the profession example is strong.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. The specification's named constructional-frame fixture, with the out-of-corpus 'to jest' construction typed as an explicit contrast.",,NONE,,NONE
P7-NR-026,znać,vp-m-znac-be-acquainted-with-54b71d59f073,vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,znać + Accusative,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'KOGO/CO', A1 core, level-matched example, and a negation contrast reference that anticipates the Genitive-under-negation shift. Nothing outstanding.",,ACCEPT,NONE,,"The acquaintance/knowledge scope is clear against umieć and wiedzieć, and tę restaurację gives a case-transparent core A1 example.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. A1 core, case-transparent example ('te restauracje'), and a negation contrast that anticipates the Genitive-under-negation shift.",,NONE,,NONE
